Index,Source,Target,Weight
1,ABW,AGO,2884.52821974045
2,ABW,ARE,177028.407343336
3,ABW,ARG,176.598282740642
4,ABW,ATG,1299.55906922438
5,ABW,AUT,11792.3695615786
6,ABW,BEL,2935.27072304828
7,ABW,BGR,233.64568216898
8,ABW,BHR,1675.22510435998
9,ABW,BHS,10357.9499663096
10,ABW,BMU,11434.8830442482
11,ABW,BRA,7288.76587214865
12,ABW,BRB,9958.02068032878
13,ABW,CAN,39200.2267934733
14,ABW,CHE,94620.4302207514
15,ABW,CHN,1421.82510086949
16,ABW,COL,22301289.2894917
17,ABW,CRI,13031.0860554291
18,ABW,CYM,111.16722906706
19,ABW,DEU,18277.6722532175
20,ABW,DMA,10338.2546509483
21,ABW,DNK,402448.978163065
22,ABW,DOM,23735.8136129097
23,ABW,ECU,340.00545526172
24,ABW,ESP,69178.4566454002
25,ABW,FIN,4604.09040261476
26,ABW,FRA,135659.980753543
27,ABW,GBR,271670.984030744
28,ABW,GRC,788.300397056185
29,ABW,GRD,20375.5933284197
30,ABW,GTM,14314.408869805
31,ABW,GUY,3679073.98551907
32,ABW,HKG,659262.10231118
33,ABW,HUN,44963.8529362886
34,ABW,IDN,200.620264770702
35,ABW,IND,329899.149980854
36,ABW,IRL,28269.6440888984
37,ABW,ITA,124424.336797515
38,ABW,JAM,12612.3229411063
39,ABW,KOR,52989.9747706773
40,ABW,LBN,23319.5925627697
41,ABW,LKA,20484.478119529
42,ABW,MEX,2588766.74470026
43,ABW,NAM,14.9595407016167
44,ABW,NGA,13074.9287951211
45,ABW,NLD,2248305.58553355
46,ABW,NOR,1747.95279136708
47,ABW,NZL,17436.4553110301
48,ABW,PAK,132426.410862084
49,ABW,PAN,706009.905608304
50,ABW,PER,5660.75209218781
51,ABW,POL,24941.1637660361
52,ABW,PRT,18211.7245695811
53,ABW,PRY,9.59393205167084
54,ABW,ROU,205.97450930979
55,ABW,SAU,2825826.19353285
56,ABW,SGP,1742.11294962939
57,ABW,SLV,2.84976933835507
58,ABW,SRB,43.7081186864275
59,ABW,SUR,90946.7099583335
60,ABW,SVK,3242606.67830759
61,ABW,SVN,22812.9643286951
62,ABW,SWE,782.697016240585
63,ABW,THA,88649.8124807044
64,ABW,TTO,2289.89019204128
65,ABW,TUR,10458.9157204752
66,ABW,URY,223.252328626534
67,ABW,USA,7696776.9002932
68,ABW,VCT,49.0955813957166
69,ABW,VEN,14410.9815209615
70,ABW,ZAF,3135.87962370812
71,ABW,ZMB,16710.0150143508
72,AFG,AGO,12509.2605084872
73,AFG,ALB,150.17060585808
74,AFG,AND,3502.19998890619
75,AFG,ARE,16874274.4322466
76,AFG,ARG,75617.1302047809
77,AFG,AUS,340209.154326371
78,AFG,AUT,929592.876099834
79,AFG,AZE,22597.0667651999
80,AFG,BEL,219612.44937501
81,AFG,BGR,79375.5506820765
82,AFG,BHR,466533.528062547
83,AFG,BIH,3679.48055537953
84,AFG,BRA,139326.621611978
85,AFG,BRB,361.684682130188
86,AFG,BRN,2636.97592544901
87,AFG,CAN,3686351.10798549
88,AFG,CHE,721438.229869431
89,AFG,CHL,35934.1708428002
90,AFG,CHN,27956262.9970533
91,AFG,CIV,4471.79729146181
