reporterISO,partnerISO,primaryValue
ABW,AGO,2884.528219740455
ABW,ARE,177028.40734333583
ABW,ARG,176.5982827406417
ABW,ATG,1299.5590692243825
ABW,AUT,11792.369561578571
ABW,BEL,2935.270723048276
ABW,BGR,233.64568216898002
ABW,BHR,1675.2251043599847
ABW,BHS,10357.94996630959
ABW,BIH,643.4385792937578
ABW,BLZ,33252.223196953506
ABW,BMU,11434.883044248216
ABW,BRA,7288.765872148651
ABW,BRB,9958.02068032878
ABW,BRN,118.45730618276897
ABW,CAN,39200.22679347326
ABW,CHE,94620.43022075137
ABW,CHN,1421.825100869487
ABW,CMR,679.4121092974351
ABW,COL,22301289.289491653
ABW,CRI,13031.086055429074
ABW,CUW,1883606.720294509
ABW,CYM,111.16722906705972
ABW,CZE,4437.248209046121
ABW,DEU,18277.67225321753
ABW,DMA,10338.2546509483
ABW,DNK,402448.97816306463
ABW,DOM,23735.81361290966
ABW,ECU,340.0054552617196
ABW,ESP,69178.45664540022
ABW,EST,134.935704008739
ABW,FIN,4604.090402614765
ABW,FRA,135659.98075354332
ABW,GBR,271670.98403074447
ABW,GRC,788.3003970561846
ABW,GRD,20375.593328419713
ABW,GTM,14314.408869805009
ABW,GUY,3679073.9855190744
ABW,HKG,659262.1023111799
ABW,HND,546817.3815298581
ABW,HUN,44963.85293628857
ABW,IDN,200.62026477070228
ABW,IND,329899.149980854
ABW,IRL,28269.644088898367
ABW,ITA,124424.3367975153
ABW,JAM,12612.32294110628
ABW,JOR,24255870.330314312
ABW,KOR,52989.974770677254
ABW,KWT,42857.08009289001
ABW,LBN,23319.592562769667
ABW,LKA,20484.47811952897
ABW,LUX,202.73224106563043
ABW,LVA,44.897416595885204
ABW,MAR,1745.0584397476637
ABW,MEX,2588766.7447002586
ABW,MOZ,6119.136616099851
ABW,MUS,10.640304413023912
ABW,NAM,14.959540701616678
ABW,NGA,13074.928795121055
ABW,NLD,2248305.585533546
ABW,NOR,1747.9527913670788
ABW,NZL,17436.455311030062
ABW,PAK,132426.4108620839
ABW,PAN,706009.9056083044
ABW,PER,5660.752092187811
ABW,PHL,142.0513857308894
ABW,POL,24941.16376603613
ABW,PRT,18211.724569581074
ABW,PRY,9.593932051670837
ABW,ROU,205.97450930978962
ABW,SAU,2825826.19353285
ABW,SGP,1742.1129496293852
ABW,SLV,2.8497693383550735
ABW,SRB,43.70811868642751
ABW,SUR,90946.70995833352
ABW,SVK,3242606.6783075873
ABW,SVN,22812.96432869511
ABW,SWE,782.6970162405845
ABW,THA,88649.81248070444
ABW,TTO,2289.8901920412804
ABW,TUR,10458.91572047524
ABW,URY,223.25232862653442
ABW,USA,7696776.900293205
ABW,VCT,49.09558139571656
ABW,VEN,14410.981520961484
