reporterISO,partnerISO,primaryValue
ABW,ARE,642380.3507450562
ABW,ARG,330.8391984097717
ABW,ARM,70.39332380428948
ABW,ATG,2457.660395511713
ABW,AUT,570261.9867118555
ABW,BEL,28324.783648177618
ABW,BGR,3174.099992281095
ABW,BHR,1854.0805206801995
ABW,BHS,5504.720227613882
ABW,BIH,1101.0147215506922
ABW,BMU,531.8559570083261
ABW,BOL,18.846940777587545
ABW,BRA,1420.588161110661
ABW,BRB,9439.254701695001
ABW,CAN,13866.306384472908
ABW,CHE,62995.163576048995
ABW,CHN,97903.73208381457
ABW,COL,22951861.801916484
ABW,CRI,516.5946467136746
ABW,CUW,557045.2801910313
ABW,CYM,868.4651463371562
ABW,CZE,3868.805768119283
ABW,DEU,74770.62757336437
ABW,DNK,22077.914711879643
ABW,DOM,76798.05094715237
ABW,ECU,1206.062857709771
ABW,ESP,50218.7253611774
ABW,EST,50.90087530506956
ABW,FIN,1294.504012002678
ABW,FRA,53160.49911449318
ABW,GBR,59234.27868903682
ABW,GHA,611.05834093206
ABW,GRC,493.19145800310525
ABW,GRD,2598.958266388884
ABW,GUY,5372943.505636646
ABW,HKG,287897.9172076338
ABW,HRV,214.855124864498
ABW,HUN,8792.097872744589
ABW,IDN,1439.4351018882487
ABW,IND,317766.8693499478
ABW,IRL,70255.49329934186
ABW,IRN,651757.3671942214
ABW,ITA,41254.93280029603
ABW,JAM,98314.97233158154
ABW,JOR,7002989.823585179
ABW,KEN,1474.8089250337027
ABW,KOR,7223.090053010426
ABW,KWT,29122.65569313824
ABW,LBN,5597.5414109435005
ABW,LVA,15.877605258078626
ABW,MAR,0.278463549988856
ABW,MDV,4677.746150225065
ABW,MEX,3960502.7314315187
ABW,MLT,753.6802093988565
ABW,MOZ,8406.152575368747
ABW,MWI,19.49056380514216
ABW,NGA,210.04632792509653
ABW,NLD,3176440.8011726122
ABW,NOR,165.0779984032921
ABW,NZL,23142.476151751845
ABW,PAK,63458.36625306033
ABW,PAN,94.23470388793773
ABW,PER,3916.5153851771875
ABW,PHL,808.062585839066
ABW,POL,4624.096919781104
ABW,PRT,94012.54321765431
ABW,PYF,1289.832797730953
ABW,SAU,1242468.5824314237
ABW,SGP,15831.703533814813
ABW,SLV,0.0047117351943968865
ABW,SUR,527469.0083173083
ABW,SVK,12489.556678784435
ABW,SVN,47053.63844714967
ABW,SWE,27671.555277255706
ABW,SYC,1812.6544736775427
ABW,THA,14663.648830397682
ABW,TTO,715.0359708549717
ABW,TUR,105.54286835449025
ABW,URY,285.5311527804513
ABW,USA,8697915.954426035
ABW,VCT,886.0041094247792
ABW,VEN,415779.82746551826
ABW,ZAF,2233.715391110184
ABW,ZWE,3766.6694843103414
AFG,AGO,20714.32535376264
AFG,AND,3685.5089032398164
AFG,ARE,16368386.702166026
AFG,ARG,12255.538926884325
AFG,ARM,1322.8856201196472
AFG,AUS,444543.1530398733
AFG,AUT,1289973.4378435973
AFG,AZE,10447.080724570913
AFG,BEL,257183.16383644124
AFG,BFA,1125.2033565181675
AFG,BGR,88.65506707073293
AFG,BHR,392099.72442349204
AFG,BHS,17296.30872511153
AFG,BIH,385.0712704972799
AFG,BMU,112.72826452594549
AFG,BOL,8936.748143212573
AFG,BRA,164175.7011135651
AFG,BRN,23338.00656589005
AFG,BWA,49588.21462149527
AFG,CAN,3239384.2138763275
AFG,CHE,876454.9869529948
AFG,CHL,2479.216112852559
AFG,CHN,19796951.924934126
AFG,CIV,2288.645742353502
AFG,COD,805.9008417318767
AFG,COG,19560.27345616974
AFG,COL,330573.0042182291
AFG,CRI,109.4017794787013
AFG,CUB,41417.24548131373
AFG,CYM,49.04916337367158
AFG,CYP,57337.74307838751
AFG,CZE,723792.2595402388
AFG,DEU,5599890.6331093805
