Index,Source,Target,Weight
1,ABW,ARE,289289.317116344
2,ABW,ARG,28.3127117398919
3,ABW,ATG,1227.87695414694
4,ABW,AUT,58706.8119532713
5,ABW,BEL,15585.7216461162
6,ABW,BGR,1050.9732271235
7,ABW,BHR,32337.8899812788
8,ABW,BHS,6529.92575423686
9,ABW,BMU,34.3509677981626
10,ABW,BOL,96.316893302817
11,ABW,BRB,8437.18809848778
12,ABW,CAN,12099929.5684726
13,ABW,CHE,213075.381992319
14,ABW,CHL,1183.71288096981
15,ABW,CHN,3778.60645779789
16,ABW,COL,9526827.11901131
17,ABW,CRI,438.789064710165
18,ABW,CUB,11006195.8004102
19,ABW,DEU,31612.7308531161
20,ABW,DMA,663.565159231314
21,ABW,DNK,5659.90000712727
22,ABW,DOM,4335880.11566212
23,ABW,ESP,35110.2782291233
24,ABW,FIN,4550.71208752945
25,ABW,FRA,36801.1917373749
26,ABW,GBR,40127.9332198767
27,ABW,GHA,7389.04077519954
28,ABW,GRC,1091.17566759254
29,ABW,GRD,14123.0445556575
30,ABW,GUY,109621.368787659
31,ABW,HKG,799098.02767316
32,ABW,HUN,274.807742385301
33,ABW,IDN,1580.68125258733
34,ABW,IND,213552.349474068
35,ABW,IRL,751.858954617772
36,ABW,ISR,663403.065602016
37,ABW,ITA,5494.63535411483
38,ABW,JAM,55999.3341529525
39,ABW,KNA,62.4119513521586
40,ABW,KOR,7983454.21584992
41,ABW,LBN,43864.4511543799
42,ABW,LCA,15793.3405056899
43,ABW,MEX,758629.315677241
44,ABW,MYS,10295.2255058839
45,ABW,NGA,369.900345726437
46,ABW,NIC,2568171.03579563
47,ABW,NLD,6005096.75399243
48,ABW,NZL,36857.8982076693
49,ABW,PAK,121482.588897195
50,ABW,PAN,2063068.20494176
51,ABW,POL,64.9447984934013
52,ABW,PRT,561.015175474746
53,ABW,SAU,685981.117820707
54,ABW,SDN,27642093.3608506
55,ABW,SGP,23180251.014746
56,ABW,SLV,6572773.61640941
57,ABW,SUR,279179.86540145
58,ABW,SVK,3687.14163869656
59,ABW,SVN,51552.0216988987
60,ABW,SWE,187953.598206199
61,ABW,SYC,1570.71571478876
62,ABW,THA,486304.203612133
63,ABW,TTO,25606.9359226807
64,ABW,TUR,154.579355091732
65,ABW,URY,187089.829702567
66,ABW,USA,19302642.8902244
67,ABW,VCT,18236.6641942457
68,ABW,VEN,6382395.21988424
69,ABW,ZAF,9947.58619749232
70,AFG,AGO,37508.6268396216
71,AFG,ALB,129.843437873824
72,AFG,ARE,55654109.4508403
73,AFG,ARG,24848.4273721246
74,AFG,AUS,322263.153542011
75,AFG,AUT,139659.235509891
76,AFG,AZE,252.146838315951
77,AFG,BEL,1172730.59692639
78,AFG,BGD,5425.31134396103
79,AFG,BGR,46852.5994411662
80,AFG,BHR,201948.09231588
81,AFG,BIH,1638.16545026207
82,AFG,BLR,456867.871715563
83,AFG,BRA,123774.587984858
84,AFG,BRB,8894.48535730082
85,AFG,BRN,2114.57955938866
86,AFG,CAN,1526070.35932629
87,AFG,CHE,1236386.65069764
88,AFG,CHL,140172.991267949
89,AFG,CHN,6285945.67065806
90,AFG,CIV,19358.0279217264
91,AFG,CMR,4890.24939812554
92,AFG,COG,5295.20329628839
93,AFG,COL,535395.917752569
94,AFG,CRI,2822.79829308822
95,AFG,CZE,75007.4851227755
96,AFG,DEU,5395465.67251383
97,AFG,DNK,106428.767297675
98,AFG,DOM,48014.403918955
99,AFG,DZA,6151.55521127881
100,AFG,ECU,26384.4684685905
101,AFG,EGY,227890.153059996
102,AFG,ESP,1043447.25963352
103,AFG,EST,1586.72487598432
104,AFG,ETH,469.688296978484
105,AFG,FIN,2031141.471892
106,AFG,FRA,4474079.24342659
107,AFG,GAB,1160.99132597294
108,AFG,GBR,1309890.35028271
109,AFG,GEO,626.448938525399
110,AFG,GHA,10529.4148390495
111,AFG,GRC,263.700571641314
112,AFG,GTM,26365.4412528335
113,AFG,HKG,34644.1640429974
114,AFG,HRV,4204.77315204385
115,AFG,HUN,15722.0085741216
116,AFG,IDN,28999.3017087576
117,AFG,IND,221868515.351572
118,AFG,IRL,132875.347146649
119,AFG,IRN,10948440.2891306
120,AFG,IRQ,7816575.29814653
121,AFG,ISR,1073.46774369258
122,AFG,ITA,896582.989674784
123,AFG,JOR,1845438.09555581
124,AFG,JPN,126953.415810222
125,AFG,KAZ,1830814.88266006
126,AFG,KEN,2524.72152715677
127,AFG,KGZ,128409.28496825
128,AFG,KNA,1259.73103597327
129,AFG,KOR,158225.925017056
130,AFG,KWT,103002.310859728
131,AFG,LBN,555413.230380899
132,AFG,LKA,61090.1599255192
133,AFG,LTU,45979.3071317125
134,AFG,LUX,11368.0808362287
135,AFG,MAR,4692.59714981814
136,AFG,MDG,615.384169757288
137,AFG,MEX,1549643.0062462
138,AFG,MKD,1264.84020569938
139,AFG,MNE,18.479210473796
140,AFG,MOZ,79929.7002433727
141,AFG,MUS,2146.17064161778
142,AFG,MYS,206732.032446211
143,AFG,NGA,5511.56072002963
144,AFG,NIC,4705.78201738005
145,AFG,NLD,1603842.57994536
146,AFG,NOR,128150.902355811
147,AFG,NZL,39038.9790937797
148,AFG,PAK,222675987.628856
149,AFG,PER,13105.1518472575
150,AFG,PHL,2333.18214091583
151,AFG,POL,280956.565621172
152,AFG,PYF,3376.51764504296
153,AFG,QAT,141901.9114384
154,AFG,ROU,58415.9891456178
155,AFG,RUS,1611642.28439365
156,AFG,SAU,4605685.67924113
157,AFG,SDN,2859.71806919704
158,AFG,SGP,396975.053417488
159,AFG,SLV,596.295229605074
160,AFG,SRB,6067.23968735048
161,AFG,SVK,9126.60021405172
162,AFG,SVN,15353.1757920662
163,AFG,SWE,161534.417547915
164,AFG,SWZ,1966.27623346042
165,AFG,SYC,1274.80144962697
166,AFG,THA,32195.3372220536
167,AFG,TJK,769249.196473657
168,AFG,TKM,739148.066003418
169,AFG,TTO,6.41289630081949
170,AFG,TUN,53776.4583369753
171,AFG,TUR,11811731.9691251
172,AFG,TZA,41308.1122450343
173,AFG,UKR,76373.3386431564
174,AFG,USA,7886632.2559737
175,AFG,UZB,667163.959842043
176,AFG,YEM,40995.1963977479
177,AFG,ZAF,111192.140859504
178,AFG,ZWE,924.395278125994
179,AGO,AFG,1206.78707012048
180,AGO,ARE,644170919.200987
181,AGO,ARG,3629976.82451227
182,AGO,ARM,16366.9694638869
183,AGO,ATG,29398.9269130408
184,AGO,AUS,1022102.68250326
185,AGO,AUT,336628.041255846
186,AGO,AZE,76943.8974836064
187,AGO,BEL,152415208.689571
188,AGO,BEN,4118902.54960535
189,AGO,BFA,1449205.15937317
190,AGO,BGD,67479.4866318243
191,AGO,BGR,84939.2408914516
192,AGO,BHR,2784.17277673467
193,AGO,BHS,78251.2201752624
194,AGO,BOL,33583.0358110186
195,AGO,BRA,147407459.665597
196,AGO,BRN,28128.8857561232
197,AGO,BWA,60463.9052846554
198,AGO,CAN,579503124.909892
199,AGO,CHE,2102495.74232412
200,AGO,CHL,5154717.62265239
201,AGO,CHN,11109698474.4444
202,AGO,CIV,25512514.8340641
203,AGO,CMR,7352946.08679441
204,AGO,COD,65258791.5602011
205,AGO,COG,172691947.144542
206,AGO,COL,245816737.331612
207,AGO,CPV,126802.824387798
208,AGO,CRI,637.382207494908
209,AGO,CUB,1571162.03047255
210,AGO,CYP,6284.08768585058
211,AGO,CZE,2222.61496331549
212,AGO,DEU,26981391.6430114
213,AGO,DNK,974672.895021597
214,AGO,DOM,3599405.53288251
215,AGO,DZA,1203141.91180524
216,AGO,ECU,936043.830857157
217,AGO,EGY,41936507.9709862
218,AGO,ESP,574851088.028671
219,AGO,ETH,64399.2675533954
220,AGO,FIN,11968.3119353161
221,AGO,FRA,198907387.471309
222,AGO,GAB,6141698.53921147
223,AGO,GBR,200312611.366915
224,AGO,GHA,10737337.803984
225,AGO,GIN,1064676.93921731
226,AGO,GNB,108183.461965386
227,AGO,GNQ,2883458.87644921
228,AGO,GRC,89752.8361049355
229,AGO,GUY,9328.93385518936
230,AGO,HKG,98455490.7652967
231,AGO,IDN,223216534.36903
232,AGO,IND,2210419903.80954
233,AGO,IRL,133802.698218208
234,AGO,ISR,81234329.1911747
235,AGO,ITA,247168439.321361
236,AGO,JOR,28482698.3359786
237,AGO,JPN,151554405.738267
238,AGO,KAZ,306261.758885577
239,AGO,KEN,840184.220321339
240,AGO,KOR,106249683.357664
241,AGO,KWT,27281152.9444425
242,AGO,LBN,516705.271704637
243,AGO,LBR,1336864.91041082
244,AGO,LBY,19549.3289981282
245,AGO,MAR,663222.365019583
246,AGO,MDG,5797.82021630464
247,AGO,MEX,397247.37661878
248,AGO,MLI,545384.264057023
249,AGO,MLT,2469.42129960657
250,AGO,MOZ,991557.171811572
251,AGO,MRT,751410.776467442
252,AGO,MUS,54166.050374992
253,AGO,MYS,306823154.723448
254,AGO,NAM,6471002.84141863
255,AGO,NER,18306.8582500058
256,AGO,NGA,4678409.81903645
257,AGO,NIC,8127.7932254007
258,AGO,NLD,49993205.5887424
259,AGO,NOR,26575709.4576354
260,AGO,NZL,67526.1127032716
261,AGO,OMN,103033.935219457
262,AGO,PAK,381075.300591099
263,AGO,PAN,98984656.977776
264,AGO,PER,40881674.6719379
265,AGO,PHL,3046472.47297047
266,AGO,PNG,9301.9951821614
267,AGO,POL,1145582.76997998
268,AGO,PRT,179691897.243761
269,AGO,QAT,76882.575638748
270,AGO,ROU,58263.8411949656
271,AGO,RUS,551858.941110162
272,AGO,SAU,1175064.1070117
273,AGO,SDN,7310.85206841833
