Index,Source,Target,Weight,Is_directed
319,107,6,1,0
320,107,10,1,0
321,107,69,1,0
322,108,0,1,0
323,108,183,1,0
324,122,44,1,0
325,122,238,1,0
326,123,163,1,0
327,123,164,1,0
328,127,0,1,0
329,127,42,1,0
330,127,11,1,0
331,127,107,1,0
332,127,19,1,0
333,127,128,1,0
334,127,129,1,0
335,127,130,1,0
336,127,131,1,0
337,127,132,1,0
338,127,133,1,0
339,127,134,1,0
340,127,135,1,0
341,127,136,1,0
342,127,137,1,0
343,127,138,1,0
344,127,139,1,0
345,127,140,1,0
346,127,41,1,0
347,144,1,1,0
348,144,102,1,0
349,144,125,1,0
350,145,146,1,0
351,146,158,1,0
352,147,148,1,0
353,147,149,1,0
354,148,94,1,0
355,148,165,1,0
356,149,250,1,0
357,149,251,1,0
358,150,3,1,0
359,150,52,1,0
360,151,6,1,0
361,151,10,1,0
362,151,15,1,0
363,151,21,1,0
364,151,152,1,0
365,151,68,1,0
366,153,6,1,0
367,153,153,1,0
368,154,6,1,0
369,154,10,1,0
370,154,63,1,0
371,155,4,1,0
372,155,6,1,0
373,155,13,1,0
374,155,46,1,0
375,155,47,1,0
376,155,49,1,0
377,155,22,1,0
378,156,6,1,0
379,156,10,1,0
380,156,65,1,0
381,157,6,1,0
382,157,10,1,0
383,157,76,1,0
384,157,91,1,0
385,159,6,1,0
386,159,10,1,0
387,159,67,1,0
388,160,6,1,0
389,160,46,1,0
390,160,49,1,0
391,160,23,1,0
392,160,161,1,0
393,160,54,1,0
394,160,60,1,0
395,160,85,1,0
396,161,47,1,0
397,161,177,1,0
398,162,1,1,0
399,162,6,1,0
400,162,10,1,0
401,162,12,1,0
402,163,0,1,0
403,163,10,1,0
404,163,50,1,0
405,163,185,1,0
406,163,183,1,0
407,163,186,1,0
408,163,187,1,0
409,164,123,1,0
410,164,172,1,0
411,165,205,1,0
412,165,230,1,0
413,165,197,1,0
414,165,148,1,0
415,165,236,1,0
416,165,149,1,0
417,165,317,1,0
418,165,179,1,0
419,165,260,1,0
420,165,175,1,0
421,165,223,1,0
422,165,214,1,0
423,165,221,1,0
424,165,318,1,0
425,165,280,1,0
426,165,302,1,0
427,166,6,1,0
428,166,8,1,0
429,166,145,1,0
430,166,46,1,0
431,166,47,1,0
432,166,49,1,0
433,166,22,1,0
434,166,54,1,0
435,166,60,1,0
436,166,85,1,0
437,167,6,1,0
438,167,10,1,0
439,167,84,1,0
440,168,6,1,0
441,168,10,1,0
442,168,83,1,0
443,169,47,1,0
444,169,49,1,0
445,169,141,1,0
446,169,22,1,0
447,169,54,1,0
448,169,60,1,0
449,169,85,1,0
450,170,6,1,0
451,170,10,1,0
452,170,74,1,0
453,171,3,1,0
454,171,8,1,0
455,171,141,1,0
456,171,23,1,0
457,171,172,1,0
458,171,173,1,0
459,171,54,1,0
460,174,148,1,0
461,174,175,1,0
462,176,171,1,0
463,178,148,1,0
464,178,179,1,0
465,179,3,1,0
466,179,125,1,0
467,179,272,1,0
468,179,88,1,0
469,180,6,1,0
470,180,10,1,0
471,180,80,1,0
472,181,44,1,0
473,181,75,1,0
474,182,6,1,0
475,182,145,1,0
476,184,3,1,0
477,184,20,1,0
478,185,172,1,0
479,186,163,1,0
480,186,172,1,0
481,186,164,1,0
482,188,92,1,0
483,188,2,1,0
484,188,123,1,0
485,188,18,1,0
486,188,125,1,0
487,188,163,1,0
488,188,172,1,0
489,188,53,1,0
490,188,173,1,0
491,189,6,1,0
492,189,10,1,0
493,189,66,1,0
494,190,47,1,0
495,190,191,1,0
496,190,192,1,0
497,193,50,1,0
498,193,114,1,0
499,194,6,1,0
500,194,153,1,0
501,194,47,1,0
502,194,49,1,0
503,194,22,1,0
504,194,51,1,0
505,195,6,1,0
506,195,10,1,0
507,195,11,1,0
508,195,129,1,0
509,195,78,1,0
510,196,197,1,0
511,196,148,1,0
512,198,2,1,0
513,198,15,1,0
514,198,21,1,0
515,198,57,1,0
516,198,59,1,0
517,198,104,1,0
518,199,3,1,0
519,199,13,1,0
520,199,50,1,0
521,199,112,1,0
522,200,201,1,0
523,200,202,1,0
524,203,6,1,0
525,203,10,1,0
526,203,82,1,0
527,204,205,1,0
528,204,148,1,0
529,205,225,1,0
530,206,3,1,0
531,206,75,1,0
532,207,6,1,0
533,207,10,1,0
534,207,71,1,0
535,208,92,1,0
536,208,94,1,0
537,208,18,1,0
538,209,6,1,0
539,209,10,1,0
540,209,79,1,0
541,210,6,1,0
542,210,86,1,0
543,211,3,1,0
544,211,53,1,0
545,212,6,1,0
546,212,46,1,0
547,213,148,1,0
548,213,214,1,0
549,215,109,1,0
550,215,116,1,0
551,216,3,1,0
552,216,111,1,0
553,216,57,1,0
554,216,118,1,0
555,219,3,1,0
556,219,62,1,0
557,220,148,1,0
558,220,221,1,0
559,222,148,1,0
560,222,223,1,0
561,224,3,1,0
562,224,48,1,0
563,226,3,1,0
564,226,8,1,0
565,226,141,1,0
566,226,23,1,0
567,226,60,1,0
568,227,6,1,0
569,227,153,1,0
570,227,47,1,0
571,227,49,1,0
572,227,22,1,0
573,227,55,1,0
574,228,114,1,0
575,228,116,1,0
576,229,230,1,0
577,229,148,1,0
578,231,112,1,0
579,231,118,1,0
580,232,3,1,0
581,232,51,1,0
582,233,3,1,0
583,233,55,1,0
584,234,112,1,0
585,234,116,1,0
586,235,148,1,0
587,235,236,1,0
588,237,6,1,0
589,237,10,1,0
590,237,81,1,0
591,238,6,1,0
592,238,119,1,0
593,238,161,1,0
594,238,122,1,0
595,239,6,1,0
596,239,153,1,0
597,239,47,1,0
598,239,22,1,0
599,239,62,1,0
600,240,6,1,0
601,240,153,1,0
602,240,47,1,0
603,240,22,1,0
604,240,56,1,0
605,241,47,1,0
606,241,22,1,0
607,241,64,1,0
608,242,3,1,0
609,242,7,1,0
610,242,8,1,0
611,242,13,1,0
612,242,47,1,0
613,242,141,1,0
614,242,51,1,0
615,242,29,1,0
616,242,55,1,0
617,242,56,1,0
618,242,62,1,0
619,242,64,1,0
620,243,109,1,0
621,243,118,1,0
622,244,92,1,0
623,244,44,1,0
624,244,97,1,0
625,244,143,1,0
626,245,44,1,0
627,245,238,1,0
628,246,0,1,0
629,246,49,1,0
630,246,211,1,0
631,247,248,1,0
632,249,50,1,0
633,249,115,1,0
634,250,251,1,0
635,251,3,1,0
636,251,172,1,0
637,251,173,1,0
638,251,88,1,0
639,252,20,1,0
640,252,24,1,0
641,253,19,1,0
642,253,188,1,0
643,254,6,1,0
644,254,153,1,0
645,255,49,1,0
646,255,142,1,0
647,256,257,1,0
648,258,6,1,0
649,258,10,1,0
650,258,74,1,0
651,259,148,1,0
652,259,260,1,0
653,261,11,1,0
654,261,131,1,0
655,262,263,1,0
656,264,1,1,0
657,264,6,1,0
658,264,10,1,0
659,264,12,1,0
660,265,7,1,0
661,265,31,1,0
662,266,3,1,0
663,266,44,1,0
664,267,3,1,0
665,267,4,1,0
666,267,59,1,0
667,268,0,1,0
668,268,269,1,0
669,270,271,1,0
670,273,3,1,0
671,273,8,1,0
672,273,141,1,0
673,273,23,1,0
674,273,85,1,0
675,274,152,1,0
676,275,42,1,0
677,275,106,1,0
678,276,42,1,0
679,276,105,1,0
680,277,6,1,0
681,277,13,1,0
682,278,20,1,0
683,278,26,1,0
684,279,148,1,0
685,279,280,1,0
686,281,3,1,0
687,281,73,1,0
688,282,6,1,0
689,282,10,1,0
690,282,63,1,0
691,283,6,1,0
692,283,10,1,0
693,283,67,1,0
694,284,6,1,0
695,284,10,1,0
696,284,82,1,0
697,284,91,1,0
698,285,6,1,0
699,285,10,1,0
700,285,76,1,0
701,286,6,1,0
702,286,10,1,0
703,286,80,1,0
704,287,6,1,0
705,287,10,1,0
706,287,90,1,0
707,288,6,1,0
708,288,10,1,0
709,288,77,1,0
710,289,6,1,0
711,289,10,1,0
712,289,68,1,0
713,290,6,1,0
714,290,10,1,0
715,290,78,1,0
716,291,6,1,0
717,291,10,1,0
718,291,81,1,0
719,292,6,1,0
720,292,10,1,0
721,292,66,1,0
722,293,6,1,0
723,293,10,1,0
724,293,65,1,0
725,294,6,1,0
726,294,10,1,0
727,294,69,1,0
728,294,87,1,0
729,295,6,1,0
730,295,10,1,0
731,295,83,1,0
732,296,6,1,0
733,296,10,1,0
734,296,72,1,0
735,297,6,1,0
736,297,10,1,0
737,297,70,1,0
738,298,6,1,0
739,298,10,1,0
740,298,79,1,0
741,299,6,1,0
742,299,10,1,0
743,299,84,1,0
744,300,6,1,0
745,300,10,1,0
746,300,71,1,0
747,301,148,1,0
748,301,302,1,0
749,303,116,1,0
750,303,117,1,0
751,304,115,1,0
752,304,116,1,0
753,305,11,1,0
754,305,139,1,0
755,306,307,1,0
756,308,92,1,0
757,308,18,1,0
758,308,101,1,0
759,309,30,1,0
760,309,35,1,0
761,310,17,1,0
762,310,20,1,0
763,311,110,1,0
764,311,116,1,0
765,312,0,1,0
766,312,313,1,0
767,314,120,1,0
768,314,121,1,0
769,315,16,1,0
770,315,33,1,0
771,316,2,1,0
772,316,7,1,0
773,316,32,1,0
774,319,30,1,0
775,319,34,1,0
776,320,22,1,0
777,320,36,1,0
778,321,50,1,0
779,321,124,1,0
780,322,0,1,0
781,322,38,1,0
782,323,6,1,0
783,323,38,1,0
784,324,47,1,0
785,324,191,1,0
786,325,94,1,0
787,325,123,1,0
788,325,143,1,0
789,326,11,1,0
790,326,135,1,0
791,327,4,1,0
792,327,6,1,0
793,327,10,1,0
794,327,87,1,0
795,327,37,1,0
796,328,114,1,0
797,328,118,1,0
798,329,330,1,0
799,332,333,1,0
800,332,334,1,0
801,333,331,1,0
802,333,332,1,0
803,335,336,1,0
804,335,337,1,0
805,338,11,1,0
806,338,136,1,0
807,339,11,1,0
808,339,137,1,0
809,340,11,1,0
810,340,138,1,0
811,341,11,1,0
812,341,128,1,0
813,341,140,1,0
814,342,92,1,0
815,342,100,1,0
816,343,92,1,0
817,343,18,1,0
818,343,96,1,0
819,344,47,1,0
820,344,192,1,0
821,345,148,1,0
822,345,318,1,0
823,346,271,1,0
824,346,201,1,0
825,346,202,1,0
826,347,336,1,0
827,347,337,1,0
828,348,125,1,0
829,348,349,1,0
830,350,257,1,0
831,350,248,1,0
832,351,333,1,0
833,351,334,1,0
834,352,14,1,0
835,352,40,1,0
836,353,4,1,0
837,353,39,1,0
838,354,148,1,0
839,354,317,1,0
840,355,11,1,0
841,355,19,1,0
842,355,41,1,0
843,356,186,1,0
844,356,187,1,0
845,357,11,1,0
846,357,130,1,0
