Index,Source,Target,Weight,Is_directed
1,1,2,3.77142857142857,0
2,1,3,3.43809523809524,0
3,2,3,1.6047619047619,0
4,1,4,3.27142857142857,0
5,2,4,2.27142857142857,0
6,3,4,3.93809523809524,0
7,1,5,1.6047619047619,0
8,2,5,2.27142857142857,0
9,3,5,1.6047619047619,0
10,4,5,2.77142857142857,0
11,1,6,2.48571428571429,0
12,2,6,2.31904761904762,0
13,3,6,3.15238095238095,0
14,4,6,1.48571428571429,0
15,5,6,0.819047619047619,0
16,1,7,2.1047619047619,0
17,2,7,1.43809523809524,0
18,3,7,1.27142857142857,0
19,4,7,1.27142857142857,0
20,5,7,1.27142857142857,0
21,6,7,0.485714285714286,0
22,1,8,1.65238095238095,0
23,2,8,0.485714285714286,0
24,3,8,0.985714285714286,0
25,4,8,0.485714285714286,0
26,5,8,0.485714285714286,0
27,6,8,0.7,0
28,7,8,1.15238095238095,0
29,1,9,0.2,0
30,2,9,0.2,0
31,3,9,0.2,0
32,4,9,0.2,0
33,5,9,0.2,0
34,6,9,0.2,0
35,7,9,0.2,0
36,8,9,0.2,0
37,1,10,0.2,0
38,2,10,0.2,0
39,3,10,0.2,0
40,4,10,0.2,0
41,5,10,0.2,0
42,6,10,0.2,0
43,7,10,0.2,0
44,8,10,0.2,0
45,9,10,0.2,0
