Index,Source,Target
1,OMDB,FACT
2,SKBO,LEMD
3,SBGR,EIDW
4,WSSS,EGLL
5,VHHH,YSSY
6,VHHH,EBLG
7,VHHH,KLAX
8,KLAX,RCTP
9,OMDB,SBGR
10,RCTP,KJFK
11,YSSY,OMDB
12,YBBN,OMDB
13,YMML,OTHH
14,SBGR,OMDB
15,SBKP,KMIA
16,YSSY,OTHH
17,RCTP,CYYZ
18,KSEA,RCTP
19,EDDF,RKSI
20,WSSS,VOMM
21,RCTP,LTBA
22,VHHH,OMDB
23,WSSS,KLAX
24,EGLL,VHHH
25,KSFO,RKSI
26,VHHH,YSSY
27,EGLL,VHHH
28,KDFW,RKSI
29,VHHH,EHAM
30,EDDF,KSFO
31,VHHH,KLAX
32,EHAM,RJBB
33,VHHH,NZAA
34,RPLL,KLAX
35,RCTP,LTBW
36,RKSI,KATL
37,RJBB,OMDB
38,YPPH,OMDB
39,PANC,VHHH
40,RPLL,LTBW
41,WMKK,EHAM
42,WSSS,KSFO
43,YPPH,OTHH
44,EGLL,KDFW
45,RKSI,EHAM
46,RKSI,OMDB
47,EGLL,KLAX
48,RCTP,EDDF
49,RKSI,KLAX
50,EDDM,KORD
51,RJBB,LFPG
52,RCTP,KLAX
53,RJBB,EHAM
54,LSZH,KORD
55,EGLL,KATL
56,VHHH,UUEE
57,KLAX,RKSI
58,WSSS,LFPG
59,EGLL,KLAX
60,LEMD,MROC
61,PANC,RCTP
62,RKSI,OTHH
63,EPWA,KORD
64,EGLL,KSFO
65,WSSS,EGLL
66,RKSI,YSSY
67,EGLL,KMIA
68,EGLL,KSEA
69,WSSS,LTBW
70,RCTP,KSFO
71,EGLL,WBSB
72,RKSI,EHAM
73,KIAD,OMDB
74,EPWA,KJFK
75,EGLL,KLAX
76,RPLL,OMAA
77,WMKK,LTBW
78,EGLL,KATL
79,RCTP,KSEA
80,LSZH,KEWR
81,SBGL,KMIA
82,KLAX,RKSI
83,RPLL,OMDB
84,RCTP,KLAX
85,RCTP,CYVR
86,WSSS,EGLL
87,RCTP,KLAX
88,WMKK,EGLL
89,VHHH,EGLL
90,WSSS,NZCH
91,RCTP,EHAM
92,VHHH,YSSY
93,EDDF,RKSI
94,RKSI,KSEA
95,VHHH,PANC
96,EDDF,KATL
97,RJTT,EDDF
98,VHHH,EGLL
99,WSSS,EHAM
100,KATL,RKSI
101,VHHH,EDDF
102,WSSS,EDDF
103,VHHH,YMML
104,FACT,OMDB
105,EGLL,KPHL
106,EGLL,VABB
107,EHAM,KJFK
108,FACT,OTHH
109,EDDF,RKSI
110,VHHH,KLAX
111,VHHH,EGLL
112,EGLL,KORD
113,RCTP,LFPG
114,LFPG,SKMA
115,KMIA,EHAM
116,EDDF,RKSI
117,VHHH,PANC
118,EGLL,KJFK
119,CYYC,CYYZ
120,UUEE,RKSI
121,LEMD,SKBO
122,KIAD,RKSI
123,VHHH,LFPG
124,ELLX,SBGR
125,KORD,ELLX
126,FACT,EGLL
127,EHAM,RKSI
128,KTYS,KOPF
129,VHHH,KSFO
130,EGLL,VIDP
131,EPWA,CYYZ
132,LIMC,KEWR
133,EGLL,KBOS
134,KJFK,RKSI
135,VHHH,PANC
136,VHHH,CYVR
137,RKSI,EDDF
138,EDDF,RJTT
139,KDEN,KSFO
140,LIRF,KEWR
141,UUEE,VHHH
142,EINN,KORD
143,KMIA,LEMD
144,CYYZ,VIDP
145,ETAR,KWRI
146,VHHH,EHAM
147,KSEA,RKSI
148,OTHH,YMML
149,KDTW,RKSI
150,VHHH,EGLL
151,KATL,RKSI
152,SPJC,LEMD
153,SBGR,KMIA
154,OTHH,YMML
155,KORD,RKSI
156,VHHH,EDDF
157,EGLL,CYYZ
158,RCTP,CYVR
159,OTHH,RPLL
160,KDFW,RKSI
161,KLAX,YSSY
162,EGLL,KLAX
163,EDDF,RKSI
164,OTHH,WSSS
165,KSFO,VIDP
166,KJFK,VIDP
167,WMKK,OMDB
168,EGLL,KIAD
169,OTHH,YSSY
170,EDDP,8KY6
171,LFPG,RJTT
172,LFPG,KORD
173,EGLL,KORD
174,LFPG,RJTT
175,KMIA,KPHX
176,EGLL,OMDB
177,EINN,KTEB
178,PANC,RKSI
179,EHAM,RKSI
180,RCTP,PANC
181,KJFK,LTBW
182,KJFK,RKSI
183,SBGR,KMIA
184,EGLL,KJFK
185,KBOS,KSFO
186,PANC,VHHH
187,KLAX,RCTP
188,VHHH,LSZH
189,ESSA,OTHH
190,KLAX,EBLG
191,KJFK,EBLG
192,KORD,VIDP
193,EHAM,OMDB
194,VABB,KEWR
195,EGLL,VHHH
196,LEMD,LROP
197,WMKK,OTHH
198,EDDF,KORD
199,RKSI,KSFO
200,SBGR,LEMD
201,KLAX,RKSI
202,KLAX,RKSI
203,KSAT,KSEA
204,CYVR,VIDP
205,KSFO,KBOS
206,LIMC,RKSI
207,KSFO,KPHL
208,71KY,OBBI
209,KATL,RKSI
210,ELLX,OMDW
211,KSFO,RKSI
212,OTHH,VHHH
213,SBGR,EGLL
214,KTPA,KPHX
215,VHHH,VIDP
216,KSFO,RCTP
217,EGLL,RJTK
218,VHHH,YSSY
219,KSFO,KEWR
220,KSEA,RKSI
221,KEWR,KSFO
222,KTEB,KVNY
223,PANC,RKSI
224,CYYZ,CYVR
225,RCTP,PANC
226,VHHH,OMDW
227,EDDF,OMDB
228,EGLL,RKSI
229,EDDF,KJFK
230,KSNA,KTEB
231,KSFO,KMIA
232,VHHH,OMDB
233,KLAX,ELLX
234,VGTJ,OMDB
235,KBWI,KOAK
236,UAAA,RKSI
237,EDDF,VIDP
238,EDDF,RKSI
239,EDDF,KORD
240,PANC,KPHX
241,EDDP,VHHH
242,KPHL,KPHX
243,VGTJ,OERK
244,KLAX,KBWI
245,VIDP,CYYZ
246,EDDK,VHHH
247,KSAN,KPHL
248,KATL,KSFO
249,KLAX,KJFK
250,KLAX,KPHL
251,ELLX,KORD
252,CYVR,YMML
253,PANC,VHHH
254,LPPT,KEWR
255,VHHH,OTHH
256,EGLL,OMDB
257,KBWI,KSAN
258,PANC,KORD
259,KPHL,KLAX
260,SBGR,LFPG
261,KSFO,KATL
262,LPPT,CYUL
263,KSDL,KTEB
264,PANC,KSEA
265,EHAM,RCTP
266,KEWR,KLAX
267,KSEA,RKSI
268,KSJC,KJFK
269,KCLT,KLAX
270,VGTJ,OMSJ
271,LPPT,KBOS
272,KSJC,KTEB
273,KSEA,KJFK
274,KLAS,KEWR
275,LFPG,RKSI
276,KSFO,RKSI
277,KSEA,KJFK
278,EDDK,VHHH
279,EBLG,KJFK
280,KLAS,KEWR
281,KSAN,KDTW
282,EGLL,CYYZ
283,CYVR,RKSI
284,KMIA,SKMA
285,CYYJ,CYYZ
286,SBGR,LSZH
287,KCLT,KPHX
288,EDDF,OTHH
289,KEWR,KSAN
290,KSFO,KDTW
291,KJFK,PANC
292,KCLT,KLAS
293,EGLL,OMAA
294,KAUS,KSEA
295,KJFK,KLAX
296,PANC,KORD
297,EGLL,OTHH
298,KATL,SKMA
299,MROC,KDFW
300,EDDF,RKSI
301,CYVR,VHHH
302,LEMD,LLBG
303,KTEB,KMIA
304,KJFK,RKSI
305,KORD,KSEA
306,KJFK,RKSI
307,UUWW,UNEE
308,KTEB,KDAL
309,EHAM,RKSI
310,KPHX,KPHL
311,TLPL,KATL
312,KLAX,KDTW
313,KSAN,KJFK
314,CYYC,CYYZ
315,KSEA,KRDU
316,KLAX,RJTT
317,TJSJ,KEWR
318,KDFW,KSEA
319,KLAS,KBOS
320,KORD,KSAN
321,EHAM,WSSS
322,TBPB,KMIA
323,EDDF,OMDB
324,KSAN,KJFK
325,KSWF,KHHR
326,KSEA,KORD
327,KSTL,KSMF
328,KSEA,KATL
329,PANC,KORD
330,EHAM,RCTP
331,KLAX,KEWR
332,CYVR,CYYZ
333,KPHX,KMIA
334,KSEA,02XS
335,UUDD,OMDB
336,VABB,EDDF
337,KMIA,KLAX
338,KDFW,EDDF
339,OTHH,LIMC
340,KSEA,KBNA
341,KLAX,RKSI
342,KSDF,KBFI
343,KPHL,KPHX
344,KSAN,KORD
345,KMSP,KSFO
346,CYVR,CYYZ
347,KEWR,KLAS
348,LFPG,OTHH
349,SBGR,LPPT
350,KORD,KSFO
351,KLAX,KJFK
352,KSFO,KBOS
353,KEWR,MROC
354,EGLL,VHHH
355,PANC,KMIA
356,EGLL,WSSS
357,KSDF,KRIR
358,KPHL,TJIG
359,KSEA,KDFW
360,KOAK,KAPA
361,VOBL,EDDP
362,YSSY,VHHH
363,VHHH,OMDB
364,LFPG,VABB
365,KSDF,KRIR
366,TJSJ,KJFK
367,VABB,EGLL
368,NZAA,WSSS
369,KORD,OMDB
370,MROC,KMIA
371,KMCI,KSEA
372,KLAX,KATL
373,KLAS,KATL
374,RCTP,KLAX
375,KDFW,PANC
376,KATL,KSEA
377,KBOS,KLAX
378,LEMD,LROP
379,KRSW,KMSP
380,KEWR,VIDP
381,KPSP,KMSP
382,KATL,KSLC
383,TJSJ,KEWR
384,KSDF,KBOI
385,KPHX,KDTW
386,KSNA,KATL
