Index,Source,Target
1,YMML,WSSS
2,KEWR,EIDW
3,KORD,EDDF
4,WSSS,EHAM
5,WSSS,LIMC
6,OMDB,KLAX
7,EDDF,RKSI
8,YSSY,RKSI
9,VHHH,EBLG
10,EDDF,RKSI
11,EHAM,EGSS
12,YSSY,VHHH
13,WSSS,KLAX
14,YSSY,OMAA
15,RCTP,KJFK
16,KCVG,RKSI
17,WSSS,KSFO
18,KSFO,RKSI
19,YSSY,OTHH
20,YMML,OMDB
21,RCTP,CYYZ
22,RPLL,KLAX
23,KLAX,RKSI
24,EGKK,EGKR
25,VHHH,OMDB
26,KDFW,RKSI
27,YPPH,EGLL
28,EDDF,KSFO
29,KJFK,RKSI
30,VHHH,EHAM
31,PANC,RCTP
32,KORD,RKSI
33,EGLL,VHHH
34,KLAX,RKSI
35,KSFO,WSSS
36,EGLL,RJTK
37,PANC,VHHH
38,SKBO,LEMD
39,OMDB,LFPG
40,RKSI,KLAX
41,RPLL,LTBW
42,RJBB,OMDB
43,EPWA,RKSI
44,OMDB,YSSY
45,RKSI,KLAX
46,EGLL,KSEA
47,EGLL,KLAX
48,EDDM,KORD
49,RKSI,OMDB
50,KLAX,RKSI
51,WSSS,EGLL
52,EGLL,KSFO
53,LFPG,KLAX
54,KLAX,YMML
55,RCTP,KLAX
56,EGLL,KLAX
57,WSSS,LFPG
58,RKSI,OTHH
59,EDDM,RKSI
60,PANC,RKSI
61,OMDB,YMML
62,EDDF,KATL
63,EDDP,KCVG
64,RKSI,EHAM
65,EDDF,KATL
66,EHAM,KATL
67,EPWA,KORD
68,RCTP,EDDF
69,RPLL,OTHH
70,WMKK,LTBW
71,RCTP,KSFO
72,RPLL,KSFO
73,RPLL,OMAA
74,EDDF,KORD
75,WSSS,EGLL
76,EGLL,KLAX
77,RCTP,KLAX
78,WSSS,EHAM
79,EFHK,VHHH
80,VHHH,YMML
81,VHHH,EGLL
82,WSSS,EDDF
83,RCTP,EHAM
84,VHHH,EDDF
85,EGLL,KORD
86,RKSI,KLAX
87,RCTP,LFPG
88,RCTP,KLAX
89,EDDF,RKSI
90,OMDB,RPLL
91,VHHH,EGLL
92,KATL,RKSI
93,LEMD,KMIA
94,EPWA,KJFK
95,OTHH,YMML
96,VIDP,UUEE
97,VHHH,KLAX
98,EPWA,CYYZ
99,EKCH,KORD
100,EHAM,KJFK
101,KDFW,RKSI
102,KEWR,VABB
103,VHHH,EGLL
104,EDDF,RKSI
105,VHHH,PANC
106,CYYZ,RKSI
107,OTHH,WMKK
108,VHHH,PANC
109,KATL,RKSI
110,PANC,VHHH
111,LEMD,KJFK
112,LFPG,KORD
113,LPPT,SBGR
114,EGLL,KORD
115,UUEE,VHHH
116,EGLL,VIDP
117,EDDF,RJTT
118,KJFK,RKSI
119,WSSS,EGLL
120,PANC,RJBB
121,EDDP,VHHH
122,EHAM,KORD
123,EGLL,KIAD
124,EDDF,RKSI
125,LIRF,KEWR
126,ELLX,KATL
127,RKSI,UUEE
128,WSSS,EHAM
129,KLAX,RKSI
130,EGLL,CYYZ
131,LFPG,CYUL
132,VHHH,EGLL
133,SPJC,LEMD
134,KORD,RKSI
135,VHHH,EHAM
136,OTHH,YMML
137,KDTW,RKSI
138,OTHH,WSSS
139,PANC,KMIA
140,KMIA,KCVG
141,VHHH,EDDF
142,VHHH,PANC
143,KDFW,RKSI
144,WSSS,YSSY
145,KJFK,VIDP
146,WSSS,OMAA
147,VHHH,KLAX
148,OTHH,YSSY
149,VHHH,EGLL
150,PANC,RKSI
151,LFPG,RKSI
152,LFPG,RJTT
153,VHHH,OMDB
154,KSEA,RKSI
155,WMKK,OMAA
156,LFPG,RJTT
157,WSSS,OTHH
158,EGLL,KJFK
159,LIMC,RKSI
160,KLAX,RCTP
161,CYUL,CYVR
162,VHHH,LSZH
163,EGLL,VHHH
164,PANC,RJBB
165,KLAX,YSSY
166,WSSS,OMDB
167,OBBI,RPLL
168,EDDF,VABB
169,VIDP,KEWR
170,EDDK,KSDF
171,EGLL,OMDB
172,VABB,KEWR
173,EDDF,OMDB
174,WMKK,OTHH
175,PANC,RKSI
176,KJFK,EBLG
177,KLAX,RKSI
178,KORD,PANC
179,KJFK,RKSI
180,PANC,RJBB
181,VHHH,PANC
182,PANC,VHHH
183,KSEA,RKSI
184,KDEN,KLAX
185,KBOS,KSFO
186,EDDF,RKSI
187,KSFO,RKSI
188,KEWR,KPDX
189,KLAX,RKSI
190,SBGR,EGLL
191,KJFK,PANC
192,OMDW,VHHH
