Index,Source,Target
1,KJFK,SBGR
2,SAEZ,SBGL
3,NZAA,OMDB
4,VHHH,CYYZ
5,VHHH,EBLG
6,FAGM,EHAM
7,YSSY,OTHH
8,VHHH,KJFK
9,YSSY,OMDB
10,YBBN,OMDB
11,YPPH,EGLL
12,YPPH,WMKK
13,SBKP,KMIA
14,YMML,OTHH
15,RJBB,KLAX
16,RCTP,KJFK
17,YMML,OMDB
18,LSGG,VTBD
19,YMML,KLAX
20,YBBN,KLAX
21,RCTP,CYYZ
22,YPAD,OMDB
23,YPPH,WMKK
24,LEMD,SAEZ
25,EGLL,YPPH
26,EDDF,SKBO
27,LEMD,SPJC
28,LSZH,MROC
29,EGKK,EGKR
30,FACT,LOWW
31,RPLL,KJFK
32,EGKK,KLAX
33,EGLL,KLAX
34,WSSS,KLAX
35,RCTP,KRIR
36,RKSI,WMKK
37,WSSS,KSFO
38,LLBG,KJFK
39,EGLL,KSAN
40,EGLL,KLAX
41,RCTP,LTBW
42,EHAM,RJBB
43,EGLL,KLAX
44,RPLL,KLAX
45,KJFK,SAEZ
46,RPLL,LTBW
47,RCTP,KIAH
48,LEMD,SKMA
49,VHHH,NZAA
50,EKCH,VTBS
51,RKSI,WMKK
52,EGLL,KLAX
53,YPPH,OMDB
54,RJBB,OMDB
55,LFPG,KLAX
56,LEMD,SKBO
57,EGLL,VOMM
58,RPLL,KSFO
59,RKSI,KLAX
60,EFHK,KLAX
61,EDDF,TBPB
62,PANC,RCTP
63,RKSI,OMDB
64,ESSA,VTBS
65,LFPG,KATL
66,EGKK,KSFO
67,EGLL,KSEA
68,YPPH,OTHH
69,RPLL,RJBB
70,KDFW,SAEZ
71,EFHK,VTBS
72,PANC,RCTP
73,EGLL,KPHX
74,EGGW,VHHH
75,VHHH,LTBW
76,LFPG,RJTT
77,LFPG,VTBS
78,KIAD,OMDB
79,EGLL,KLAX
80,WSSS,EGLL
81,RKSI,UUEE
82,KJFK,OTHH
83,RKSI,OTHH
84,WSSS,LFPG
85,WSSS,EGLL
86,OMDB,VOMM
87,VTBS,UUEE
88,EGLL,KLAX
89,RPLL,OTHH
90,FAGM,EHAM
91,RCTP,KSFO
92,RPLL,OMDB
93,EGLL,KATL
94,EGLL,KSFO
95,KJFK,OMDB
96,WMKK,EGLL
97,VHHH,YSSY
98,VTBS,LTBW
99,LEBL,LFPG
100,CYYC,CYYZ
101,EGLL,KIAH
102,RCTP,OMDB
103,WMKK,LTBW
104,WSSS,LTBW
105,WMKK,EHAM
106,KEWR,OMDB
107,EDDF,KIAD
108,EGLL,VTBS
109,EHAM,KATL
110,RCTP,LFPG
111,FAGM,KIAD
112,VHHH,EGLL
113,WSSS,EFHK
114,RCTP,EDDF
115,WSSS,EGLL
116,RCTP,KSFO
117,VHHH,YSSY
118,WSSS,EDDF
119,EGLL,KORD
120,RCTP,KLAX
121,VHHH,EGLL
122,VGZR,VTBS
123,WMKK,EGLL
124,WBSB,OMDB
125,EDDF,CYYZ
126,WSSS,EKCH
127,EPWA,KORD
128,VHHH,YMML
129,FACT,LTBW
130,RCTP,CYVR
131,VABB,KJFK
132,RCTP,CYVR
133,WSSS,EDDM
134,LSZH,KEWR
135,WSSS,EHAM
136,LEMD,SPJC
137,WSSS,UUDD
138,LFPG,SKMA
139,EHAM,KJFK
140,RCTP,KLAX
141,KDEN,KIAD
142,EGLL,KLAX
143,RKSI,UUEE
144,EDDF,TBPB
145,EPWA,KJFK
146,WSSS,LSZH
147,EGLL,KEWR
148,VTBS,EFHK
149,EDDF,KSFO
150,WBSB,EGLL
151,WSSS,EGLL
152,EHAM,VTBS
153,UUEE,VTBS
154,EIDW,KIAD
155,LPPT,KJFK
156,VHHH,EDDF
157,RCTP,KSEA
158,EGLL,KIAD
159,FACT,EDDF
160,VHHH,KLAX
161,EGLL,KSFO
162,EDDF,RKSI
163,VHHH,PANC
164,KATL,KLAX
165,FACT,EDDF
166,EGLL,KORD
167,FACT,OMDB
168,WSSS,KEWR
169,EGLL,KJFK
170,SPJC,LEMD
171,FAGM,EDDF
172,VHHH,OMDB
173,VHHH,LSZH
174,EGLL,KIAH
175,VTBS,LTBW
176,KLAX,PANC
177,KTEB,KVNY
178,EGLL,KSFO
179,WSSS,YSSY
180,VHHH,EFHK
181,LSZH,VTBS
182,VHHH,OTHH
