Index,Source,Target
1,KLAX,KJFK
2,SBGR,EHAM
3,KLAX,EHAM
4,YSSY,VHHH
5,OTHH,KLAX
6,KLAX,YSSY
7,OTHH,SBGR
8,RCTP,KJFK
9,WSSS,YBBN
10,RCTP,CYYZ
11,KDFW,RKSI
12,RPLL,KLAX
13,YMML,OTHH
14,EDDF,RKSI
15,RCTP,EHAM
16,VHHH,EHAM
17,YSSY,OTHH
18,LFPG,WSSS
19,OTHH,KORD
20,YMML,OMDB
21,KLAX,YSSY
22,KLAX,RKSI
23,VHHH,KLAX
24,KSFO,WSSS
25,KLAX,RCTP
26,KLAX,RKSI
27,RCTP,CYVR
28,RKSI,EHAM
29,RKSI,KLAX
30,OTHH,EBBR
31,WSSS,EGLL
32,LHBP,RKSI
33,PANC,VHHH
34,UUEE,VHHH
35,EBLG,VHHH
36,EHAM,KATL
37,EDDF,KATL
38,VHHH,EDDF
39,RCTP,KLAX
40,VHHH,EGLL
41,RCTP,EDDF
42,RCTP,KSFO
43,EGLL,KLAX
44,RJTT,EDDF
45,RCTP,KLAX
46,WSSS,EGLL
47,PANC,RCTP
48,WSSS,EHAM
49,VHHH,OMDB
50,PANC,VHHH
51,WSSS,EHAM
52,RCTP,KLAX
53,RKSI,CYVR
54,KDFW,RKSI
55,RKSI,KLAX
56,VHHH,EGLL
57,VHHH,EGLL
58,WSSS,EKCH
59,KJFK,PANC
60,RKSI,OTHH
61,VHHH,PANC
62,RCTP,EHAM
63,OTHH,RPLL
64,RKSI,KSFO
65,KLAX,YSSY
66,EGLL,KIAD
67,KATL,UT13
68,EGLL,CYYZ
69,OTHH,WSSS
70,KLAX,RKSI
71,OTHH,WMKK
72,ELLX,KORD
73,OTHH,VHHH
74,KMIA,SBGR
75,WSSS,YSSY
76,PANC,RJBB
77,VHHH,EGLL
78,KLAX,RKSI
79,KDFW,RKSI
80,EGLL,VHHH
81,KORD,RKSI
82,VHHH,EBLG
83,RKSI,LOWW
84,VHHH,EGCC
85,RKSI,EDDF
86,VABB,KJFK
87,KATL,PANC
88,EIDW,OTHH
89,PANC,RJBB
90,KJFK,PANC
91,SBKP,KMIA
92,EDDF,SBKP
93,KJFK,RKSI
94,EDDF,RKSI
95,KSJC,KORD
96,VIDP,KEWR
97,WSSS,OTHH
98,PANC,KATL
99,EGLL,VHHH
100,KATL,RKSI
101,KSFO,YSSY
102,KORD,PANC
103,SBGR,LFPG
104,EHAM,KORD
105,KDFW,EDDF
106,EGLL,RKSI
107,LIMC,KEWR
108,WSSS,OTHH
109,EDDP,OBBI
110,WMKK,OTHH
111,LSZH,CYUL
112,EDDF,VIDP
113,KLAX,RCTP
114,KSEA,RCTP
115,KORD,PANC
116,SBGR,EGLL
117,KMIA,SBKP
118,PANC,VHHH
119,VIDP,CYYZ
120,KEWR,KSFO
121,PANC,KLCK
122,KJFK,KSFO
123,KLAX,KBOS
124,OMSJ,WSSS
125,ELLX,OTHH
126,KJFK,KLAX
127,LPPT,KEWR
128,PANC,KSEA
129,WSSS,VOBL
130,KOPF,KLAX
131,VIDP,LFPG
132,LPPT,CYYZ
133,ELLX,SBGR
134,LFPG,RKSI
135,EHAM,WSSS
136,EDDT,OERK
137,LPPT,KMIA
138,PANC,VHHH
139,EDDF,VABB
140,EINN,KORD
141,OTHH,VGZR
142,WSSS,YSSY
143,KLAX,KBOS
144,PANC,KATL
145,EGLL,OMAA
146,KCVG,PANC
147,KVNY,KTEB
148,OBBI,EDDP
149,SBKP,LPPT
150,KJFK,KLAX
151,KLAX,KORD
152,KDFW,PANC
153,RKSI,PANC
154,EDDF,VOBL
155,KSFO,KFLL
156,KBWI,KLAS
157,OMDW,RCTP
158,CYVR,YSSY
159,RJBB,KOAK
160,KSAN,KJFK
161,RPLL,OTHH
162,LHBP,OTHH
163,KSMF,KJFK
164,KLAS,KJFK
165,KSFO,KJFK
166,KTPA,KLAS
167,KSFO,KBOS
168,EDDF,RKSI
169,EGLL,WSSS
170,EHAM,RKSI
171,KATL,KSEA
172,EHAM,WMKK
173,EDDF,SBGR
174,EGLL,OMDB
175,KBOS,KLAX
176,EHAM,SBGR
177,PANC,KLAX
178,KSJC,KAPA
179,ELLX,KATL
180,RCTP,PANC
181,KSEA,KJFK
182,VOBL,LFPG
183,EDDF,SBGR
184,KORD,OMDB
185,KPHX,KJFK
186,RKSI,LOWW
187,KPHL,KLAX
188,VABB,KEWR
189,KPHL,KPHX
190,KPDX,KATL
191,LFPG,OMDB
192,OTHH,VOBL
193,EDDF,SBGR
194,KDFW,PANC
195,PANC,RCTP
196,KEWR,LIRF
197,CYHM,CYVR
198,KOAK,KMDW
199,KSFO,KORD
200,KLAX,KDCA
201,KSDF,KBFI
202,KDTW,KSEA
203,KDTW,KLAX
204,KJFK,EDDF
205,KEWR,KLAX
206,KJFK,KSFO
207,EDDK,VHHH
208,KJFK,KLAX
209,RKSI,EDDF
210,EDDF,OMDB
211,KSMF,KATL
212,LMML,OTHH
