Index,Source,Target
1,RJBB,YSSY
2,PANC,RCTP
3,SBGR,EIDW
4,KLAX,EDDF
5,KLAX,YSSY
6,NZAA,OMDB
7,VHHH,CYYZ
8,YSSY,OMDB
9,YBBN,OMDB
10,KCVG,RKSI
11,YSSY,OTHH
12,VHHH,KJFK
13,UUEE,EHAM
14,YMML,OTHH
15,KLAX,RKSI
16,VHHH,EBLG
17,KJFK,RKSI
18,YMML,OMDB
19,RCTP,KJFK
20,YMML,KHHR
21,YPPH,EGLL
22,RCTP,CYYZ
23,KORD,YSSY
24,YPPH,WMKK
25,YPAD,OMDB
26,LSZH,KSFO
27,EGLL,YPPH
28,RPLL,KJFK
29,RJTT,KLAX
30,LEMD,SPJC
31,EDDF,SKBO
32,YBBN,OMDB
33,EHAM,SPJC
34,WSSS,YPPH
35,WSSS,KLAX
36,EGKK,KSFO
37,RPLL,CYVR
38,RCTP,KRIR
39,EGLL,KSJC
40,EHAM,VHHH
41,OMDB,EIDW
42,VTBS,WSAP
43,LFPG,KLAX
44,EGKK,KLAX
45,EGLL,KLAX
46,EGLL,KSAN
47,KJFK,SBGR
48,EGLL,KLAX
49,RPLL,KLAX
50,EGLL,KLAX
51,EGLL,KLAX
52,FAGM,OTHH
53,EPWA,MDBG
54,RPLL,KSFO
55,RCTP,KIAH
56,RCTP,LTBW
57,RPLL,LTBW
58,LEMD,SKMA
59,YPPH,OMDB
60,WSSS,NZAA
61,LGAV,KEWR
62,ELLX,SBGR
63,SBGL,CYYZ
64,LFPG,KATL
65,YPPH,OTHH
66,EGLL,KPHX
67,RJBB,OMDB
68,EGLL,KMIA
69,EFHK,VTBS
70,VHHH,LTBW
71,KJFK,OTHH
72,EGLL,KLAS
73,EKCH,VTBS
74,EGLL,KSEA
75,KLAX,EBLG
76,EDDM,KORD
77,RCTP,LTBA
78,EKCH,KORD
79,WSSS,EGLL
80,KSFO,NZAA
81,LFPG,VTBS
82,WMKK,LEMD
83,MROC,EDDF
84,KIAD,OMDB
85,OMDB,VOMM
86,RJTT,KLAX
87,KEWR,VABB
88,LEMD,KMIA
89,RPLL,OTHH
90,EGLL,VOMM
91,EGLL,VTBS
92,WSSS,EGLL
93,CYYC,CYYZ
94,RCTP,KSFO
95,RPLL,OMDB
96,VTBS,UUEE
97,WMKK,EGLL
98,VCBI,LTBW
99,EGLL,KATL
100,EGLL,KSFO
101,RCTP,OMDB
102,UAAA,RKSI
103,WMKK,LTBW
104,VTBS,LTBW
105,EGLL,KIAH
106,EDDM,KSFO
107,KMIA,SBGL
108,WSSS,LTBW
109,RCTP,KSFO
110,WSSS,EFHK
111,RCTP,KSEA
112,VHHH,EGLL
113,SAEZ,LSZH
114,RCTP,LFPG
115,VHHH,KSEA
116,EDDM,VTBS
117,LFPG,KIAD
118,VCBI,VABB
119,ESSA,VTBS
120,WSSS,EGLL
121,EGLL,KLAX
122,WMKK,EHAM
123,FACT,LTBW
124,OMDB,RPLL
125,RCTP,EDDF
126,VHHH,OMDW
127,RCTP,YMML
128,VHHH,EGLL
129,WMKK,EGLL
130,RCTP,YSSY
131,WSSS,EKCH
132,SAEZ,LEBL
133,KIAD,KORD
134,RCTP,CYVR
135,EHAM,KATL
136,KORD,KLAX
137,LEMD,SKBO
138,WSSS,EDDF
139,EDDF,CYYZ
140,EDDF,KIAD
141,RCTP,YBBN
142,RJTT,EDDF
143,WSSS,EDDL
144,EGLL,KORD
145,RCTP,KLAX
146,UUEE,VTBS
147,VHHH,EGLL
148,VHHH,YMML
149,RCTP,KLAX
150,VTBS,EFHK
151,WSSS,EHAM
152,RCTP,EHAM
153,WBSB,EGLL
154,LEMD,MDBG
155,WSSS,LSZH
156,WBSB,OMDB
157,WSSS,UUDD
158,EGLL,KDFW
159,EHAM,KJFK
