Index,Source,Target
1,KMIA,KLAX
2,WSSS,EGLL
3,WSSS,KLAX
4,VHHH,CYYZ
5,KCVG,RKSI
6,RKSI,UUDD
7,WSSS,KSFO
8,RCTP,KJFK
9,KSFO,RKSI
10,KDFW,RKSI
11,RCTP,CYYZ
12,YMML,OMDB
13,YMML,OTHH
14,YSSY,OTHH
15,WSSS,EDDF
16,EDDF,RJTT
17,RKSI,YSSY
18,KJFK,RKSI
19,RKSI,KLAX
20,KLAX,RKSI
21,SKBO,LEMD
22,FAOR,EBBR
23,VHHH,EHAM
24,KLAX,RCTP
25,RPLL,KSFO
26,OMDB,EDDF
27,RCTP,LTBW
28,LEMD,MROC
29,RCTP,CYVR
30,RKSI,KLAX
31,VHHH,KLAX
32,RJBB,OMDB
33,RKSI,OMDB
34,WSSS,EGLL
35,WSSS,LFPG
36,RCTP,KSFO
37,RKSI,KLAX
38,EHAM,KATL
39,PANC,VHHH
40,RCTP,EDDF
41,RKSI,EHAM
42,EDDF,KATL
43,VHHH,PANC
44,RCTP,EHAM
45,RJTT,EDDF
46,RCTP,KLAX
47,EPWA,CYYZ
48,RCTP,LFPG
49,EGLL,KLAX
50,RCTP,KLAX
51,RKSI,EHAM
52,VHHH,EGLL
53,RCTP,KSFO
54,PANC,RKSI
55,WSSS,EGLL
56,RCTP,OMDB
57,VHHH,EDDF
58,OTHH,YPPH
59,VHHH,OMDB
60,RPLL,OMDB
61,RCTP,KLAX
62,WSSS,EHAM
63,RCTP,EHAM
64,EPWA,KJFK
65,EGLL,KORD
66,RPLL,OTHH
67,WSSS,EHAM
68,VHHH,LSZH
69,VHHH,PANC
70,RKSI,OTHH
71,VHHH,EGLL
72,UUEE,RKSI
73,KLAX,RKSI
74,EDDF,RKSI
75,UUEE,VHHH
76,EGLL,CYYZ
77,KATL,RKSI
78,KJFK,VIDP
79,KLAX,YSSY
80,OTHH,WMKK
81,EGLL,KIAD
82,OMDB,VHHH
83,VHHH,EGLL
84,EDDF,KORD
85,VHHH,PANC
86,KSFO,RKSI
87,VHHH,CYVR
88,LPPR,KEWR
89,LFPG,RJTT
90,PANC,RJBB
91,RKSI,EDDF
92,RKSI,PANC
93,PANC,RKSI
94,KIAD,RKSI
95,KORD,RKSI
96,WMKK,OMDB
97,OTHH,YSSY
98,VABB,KJFK
99,WSSS,OMDB
100,EDDF,RKSI
101,EDDP,KCVG
102,VHHH,OMDW
103,OTHH,YMML
104,PANC,RKSI
105,KSFO,RKSI
106,VABB,KEWR
107,OBBI,RPLL
108,PANC,RJBB
109,KSFO,VIDP
110,KJFK,RKSI
111,LFPG,KORD
112,KJFK,PANC
113,EGLL,VHHH
114,KDTW,RKSI
115,KJFK,RKSI
116,OMDB,WSSS
117,EGLL,RJTK
118,BIKF,KBOS
119,KJFK,EBLG
120,KORD,RKSI
121,KORD,PANC
122,PANC,VHHH
123,WSSS,OTHH
124,RKSI,EHAM
125,CYVR,VIDP
126,KSDF,KONT
127,RKSI,UUEE
128,EDDF,RKSI
129,LFPG,RJTT
130,VHHH,PANC
131,EHAM,RKSI
132,VIDP,KEWR
133,PANC,RJBB
134,EDDF,SBKP
135,KSFO,RCTP
136,SBGR,LFPG
137,PANC,RCTP
138,EDDF,KJFK
139,WMKK,OTHH
140,EHAM,KORD
141,KORD,PANC
142,KEWR,KSFO
143,RCTP,PANC
