Index,Source,Target
1,KLAX,EDDF
2,FAGM,EHAM
3,VHHH,EBLG
4,EDDN,EHAM
5,VHHH,CYYZ
6,YSSY,OTHH
7,VHHH,KJFK
8,KLAX,EHAM
9,YMML,OTHH
10,RCTP,CYYZ
11,RJBB,KPDX
12,YPPH,EGLL
13,RPLL,KJFK
14,EGLL,YPPH
15,WSSS,KLAX
16,RCTP,KRIR
17,EGLL,KLAX
18,KJFK,RKSI
19,RCTP,KIAH
20,EHAM,RJBB
21,KORD,RKSI
22,EDDF,VTBS
23,RPLL,KSFO
24,YPPH,EGLL
25,EGLL,KSEA
26,EFHK,VTBS
27,PANC,VHHH
28,RKSI,KLAX
29,KIAH,EBLG
30,YPPH,OTHH
31,LEMD,KMIA
32,EGLL,KSFO
33,RPLL,OTHH
34,RKSI,OTHH
35,LFPG,VTBS
36,KMIA,SKBO
37,VTBS,UUEE
38,KCVG,KDEN
39,WSSS,EGLL
40,EGLL,VTBS
41,EGLL,KLAX
42,EGLL,KSFO
43,WMKK,EGLL
44,RCTP,YBBN
45,WMKK,EHAM
46,EPWA,KORD
47,WSSS,EGLL
48,RCTP,CYVR
49,EDDF,CYYZ
50,PANC,VHHH
51,RCTP,LFPG
52,RKSI,EHAM
53,WSSS,EHAM
54,EGLL,KSFO
55,VHHH,EGLL
56,VHHH,YMML
57,LSZH,KEWR
58,VHHH,YSSY
59,VTBS,EFHK
60,VHHH,EGLL
61,EDDF,RKSI
62,RCTP,EDDF
63,KATL,KU42
64,RKSI,UUEE
65,VHHH,PANC
66,VHHH,LSZH
67,CYYZ,RKSI
68,VHHH,OTHH
69,OTHH,WMKK
70,KMIA,SKMA
71,ELLX,OMDW
72,KJFK,RKSI
73,VHHH,LSZH
74,RCTP,KLAX
75,KATL,RKSI
76,EDDF,KORD
77,VHHH,CYVR
78,FACT,EGLL
79,LFPG,SKMA
80,FACT,OTHH
81,KJFK,RKSI
82,KSEA,RKSI
83,VTBS,EDDF
84,OTHH,YSSY
85,EHAM,KJFK
86,PANC,VHHH
87,EGLL,CYVR
88,LIMC,RKSI
89,EGLL,KIAD
90,PANC,RJBB
91,VTBS,LFPG
92,VHHH,EDDF
93,OTHH,YMML
94,PANC,RKSI
95,VHHH,EGLL
96,KATL,PANC
97,VTBS,EBBR
98,PANC,RJBB
99,KORD,PANC
100,KPVD,KEWR
101,WSSS,FACT
102,VTBS,EKCH
103,WMKK,OTHH
104,EDDF,RJTK
105,VTBS,ENGM
106,KSFO,RKSI
107,EHAM,KORD
108,EGLL,CYYZ
109,ELLX,KATL
110,VHHH,OMDW
111,VHHH,PANC
112,LFPG,RJTK
113,EGLL,VHHH
114,PANC,RJBB
115,KSEA,RKSI
116,KJFK,LTBW
117,VTBS,EDDM
118,VTBS,LSZH
119,UUEE,VTBS
120,OTHH,LIMC
121,EGLL,FACT
122,KORD,PANC
123,KBWI,KOAK
124,RKSI,PANC
