Index,Source,Target
1,VIDP,ESSA
2,SBGR,EIDW
3,VHHH,KSFO
4,NZAA,OMDB
5,VHHH,KBOS
6,VHHH,CYYZ
7,RKSI,KJFK
8,YSSY,OTHH
9,YPPH,WMKK
10,SBKP,KMIA
11,YSSY,OMDB
12,YBBN,OMDB
13,NZAA,RKSI
14,YMML,OTHH
15,RKSI,KJFK
16,YPPH,EGLL
17,RCTP,KJFK
18,YMML,OMDB
19,RCTP,CYYZ
20,VHHH,KJFK
21,YPAD,OMDB
22,YBBN,OMDB
23,KJFK,KSFO
24,LSZH,KLAX
25,EGLL,YPPH
26,WSSS,KLAX
27,OMDB,UUDD
28,VTBS,EGLL
29,WSSS,KSFO
30,RCTP,KRIR
31,EDDF,SBKP
32,EGLL,KLAX
33,UUEE,KMIA
34,LFPG,KLAX
35,EGLL,KLAX
36,EGLL,KLAX
37,EGKK,KLAX
38,EHAM,RJBB
39,LEMD,SKBO
40,RCTP,KIAH
41,EGLL,KSAN
42,VIDP,KSFO
43,WSSS,KSFO
44,RKSI,KLAX
45,YPPH,OMDB
46,LFPG,KLAX
47,RKSI,UUDD
48,KSEA,PANC
49,RJBB,OMDB
50,LEMD,KMIA
51,RKSI,KLAX
52,EGKK,KSFO
53,EDDM,RJTT
54,YMML,KHHR
55,RKSI,OMDB
56,LLBG,KJFK
57,YPPH,OTHH
58,RPLL,KJFK
59,EFHK,KLAX
60,EGLL,KSEA
61,KJFK,OTHH
62,EGLL,WMKK
63,EGLL,KPHX
64,EDDM,KORD
65,LFPG,VTBS
66,WSSS,EGLL
67,RCTP,KLAX
68,KSFO,KIAD
69,EGLL,KLAS
70,RJTT,KLAX
71,CYVR,CYUL
72,PANC,RCTP
73,WSSS,LFPG
74,KEWR,OMDB
75,LEMD,SKMA
76,LFPG,RJTT
77,RCTP,KSFO
78,OMDB,VABB
79,VTBS,UUEE
80,EGLL,KSFO
81,WSSS,EGLL
82,EGLL,KATL
83,EGLL,KLAX
84,WMKK,EGLL
85,EDDM,VTBS
86,EGLL,KIAH
87,LGAV,KEWR
88,CYYZ,CYYC
89,EBBR,KORD
90,KSEA,PANC
91,RPLL,OMDB
92,RKSI,OTHH
93,RCTP,OMDB
94,EDDM,KIAD
95,KMIA,MROC
96,RCTP,LFPG
97,WSSS,EFHK
98,RCTP,YBBN
99,EGLL,VTBS
100,RCTP,KSFO
101,WSSS,LIMC
102,WMKK,EHAM
103,KJFK,OMDB
104,RKSI,EHAM
105,EPWA,CYYZ
106,EDDF,KORD
107,RCTP,KSEA
108,EDDM,KSFO
109,VHHH,EGLL
110,YMML,VHHH
111,EHAM,KATL
112,EDDF,CYYZ
113,EPWA,KEWR
114,RCTP,YSSY
115,WSSS,EGLL
116,LFPG,KIAD
117,VHHH,EGLL
118,EPWA,KJFK
119,RCTP,CYVR
120,EGLL,KLAX
121,EDDF,KIAD
122,RCTP,KLAX
123,VHHH,PANC
124,WBSB,OMDB
125,RCTP,KLAX
126,LEMD,KJFK
127,VHHH,EDDM
128,ELLX,KORD
129,EGLL,KDFW
130,RCTP,EDDF
131,VHHH,YSSY
132,VTBS,EFHK
133,WSSS,EDDM
134,WMKK,EGLL
135,RJTT,EDDF
136,VHHH,EDDF
137,WSSS,EDDF
138,LEMD,KMIA
139,VHHH,YMML
140,RCTP,CYVR
141,VHHH,KSEA
142,EHAM,VTBS
143,KIAH,KSFO
144,RCTP,EHAM
145,EDDF,KSFO
146,MROC,KLAX
147,WSSS,LSZH
148,CYYZ,CYYC
149,UUEE,VTBS
150,WBSB,EGLL
151,KMSP,KLAX
152,VHHH,KLAX
153,EDDF,KJFK
154,WSSS,UUDD
155,EDDF,VABB
156,EDDF,RKSI
157,WSSS,EHAM
158,LSZH,KEWR
159,VHHH,LFPG
160,WSSS,EKCH
161,FACT,EDDF
162,EDDF,RKSI
163,WSSS,EDDF
164,RPLL,OMAA
165,EGLL,KSFO
166,WSSS,LFPG
167,LSZH,KBOS
168,VHHH,LSZH
169,EHAM,VHHH
170,KIAD,OMDB
171,EGLL,KLAS
172,RCTP,PANC
173,WSSS,EDDM
174,VHHH,LSZH
