Index,Source,Target
1,KJFK,EIDW
2,KORD,UUEE
3,YSSY,OMDB
4,KLAX,OTHH
5,SBKP,KMIA
6,WSSS,KSFO
7,VHHH,KJFK
8,KLAX,RCTP
9,YMML,OTHH
10,RCTP,KJFK
11,WSSS,KLAX
12,OTHH,KJFK
13,YSSY,OTHH
14,VHHH,EHAM
15,RCTP,KLAX
16,VHHH,EDDF
17,WSSS,EDDF
18,YMML,OTHH
19,EDDF,VHHH
20,KLAX,EGLL
21,ELLX,SBGR
22,KEWR,KLAX
23,LEMD,SKBO
24,RJBB,OMDB
25,WSSS,LFPG
26,ULLI,UUWW
27,RJBB,LFPG
28,RJBB,EHAM
29,RPLL,KLAX
30,EHAM,KATL
31,KIAD,KLAX
32,RCTP,EDDF
33,YMML,OMDB
34,RCTP,KLAX
35,RJTT,EDDF
36,VHHH,EGLL
37,EPWA,KEWR
38,WSSS,NZCH
39,VHHH,EGLL
40,RCTP,KSFO
41,KMIA,KFLL
42,RCTP,KSFO
43,KIAD,OMDB
44,PANC,VHHH
45,LSZH,KEWR
46,WSSS,LIMC
47,RCTP,LFPG
48,VHHH,PANC
49,EPWA,KORD
50,KSLC,KLAX
51,WMKK,NZAA
52,RCTP,KSEA
53,RCTP,KLAX
54,VHHH,YSSY
55,LPPT,SBGL
56,RCTP,KLAX
57,KMIA,KJFK
58,VHHH,KLAX
59,KMIA,LLBG
60,VHHH,YMML
61,EIDW,KSFO
62,VECC,VABB
63,EGLL,KHHR
64,RPLL,OMDB
65,VHHH,EHAM
66,KEWR,VIDP
67,OTHH,YMML
68,EGLL,VIDP
69,KMIA,SBKP
70,VHHH,EDDF
71,RCTP,NZAA
72,VHHH,CYVR
73,VHHH,KSFO
74,PANC,RJBB
75,OTHH,WSSS
76,EDDF,RJTT
77,UAAA,EDDF
78,OTHH,YSSY
79,EGLL,KLAX
80,RPLL,OTHH
81,LFPG,RJTT
82,KSJC,KJFK
83,KDEN,KLAX
84,VABB,OMSJ
85,SPJC,LEMD
86,KORD,VIDP
87,EDDF,KORD
88,VHHH,PANC
89,OMSJ,WSSS
90,VHHH,PANC
91,LPPT,KEWR
92,SBGR,LEMD
93,PANC,VHHH
94,OMDB,VHHH
95,VABB,KEWR
96,PANC,RCTP
97,KSUU,ETAR
98,WMKK,OMDB
99,OBBI,RPLL
100,EGLL,KJFK
101,VABB,EHAM
102,PANC,VHHH
103,GOBD,OMDB
104,VIDP,KEWR
105,EGCC,OMDB
106,EDDF,VOMM
107,SBGR,LFPG
108,KCLT,KDTW
109,LFPG,OTHH
110,EGLL,VHHH
111,KVNY,KTEB
