Index,Source,Target
1,KSFO,VHHH
2,KLAX,NZAA
3,KLAX,EDDF
4,EHAM,EDDF
5,NZAA,OMDB
6,KLAX,EDDF
7,CYVR,YSSY
8,LFPG,KATL
9,EHAM,LFPG
10,VHHH,CYYZ
11,VHHH,EBLG
12,YSSY,OTHH
13,YSSY,OMDB
14,EGKK,EGKR
15,YBBN,OMDB
16,EGKK,EGKR
17,SBKP,KMIA
18,YMML,OTHH
19,RCTP,KJFK
20,RKSI,KJFK
21,YMML,OMDB
22,VHHH,KJFK
23,RCTP,CYYZ
24,YPAD,OMDB
25,LSZH,KLAX
26,LSZH,KSFO
27,EGKK,EGKR
28,YBBN,OMDB
29,EGLL,YPPH
30,RPLL,KSFO
31,LEMD,SPJC
32,EGKK,EGKR
33,EIDW,KSFO
34,EGLL,KSFO
35,WSSS,KLAX
36,RPLL,KJFK
37,KSEA,RKSI
38,EGKK,KLAX
39,EGLL,KSJC
40,KLAX,YMML
41,WSSS,KSFO
42,OMDB,EIDW
43,EGLL,KLAX
44,KJFK,RKSI
45,VIDP,KSFO
46,RPLL,KLAX
47,RCTP,KRIR
48,EGLL,KLAX
49,VHHH,NZAA
50,EGLL,KSAN
51,EGLL,KLAX
52,KLAX,RJBB
53,EHAM,RJBB
54,RCTP,KIAH
55,YPPH,OMDB
56,FARA,VABB
57,EGLL,KDFW
58,LEMD,SKMA
59,KCVG,RKSI
60,RJBB,OMDB
61,LFPG,KLAX
62,RPLL,KSFO
63,LEMD,SKBO
64,EGKK,KSFO
65,EGLL,KMIA
66,LEMD,KMIA
67,EDDM,RJTT
68,YPPH,OTHH
69,EGLL,VOMM
70,RKSI,OMDB
71,KIAD,KLAX
72,EGLL,KLAS
73,KSEA,RCTP
74,RPLL,RJFF
75,LFPG,KATL
76,EGLL,KSEA
77,EFHK,VTBS
78,EDDM,KORD
79,KADS,CYYC
80,EDDM,KEWR
81,LFPG,RJTT
82,LFPG,VTBS
83,EGLL,KSFO
84,KJFK,OTHH
85,WSSS,EGLL
86,LFPG,KORD
87,WSSS,EGLL
88,EGLL,KIAH
89,WSSS,LFPG
90,EGLL,KPHX
91,KTEB,KFLL
92,VTBS,UUEE
93,KMIA,SBGL
94,RKSI,OTHH
95,KIAD,OMDB
96,EGLL,KLAX
97,EDDM,RKSI
98,RCTP,KSFO
99,WMKK,EGLL
100,LGAV,KEWR
101,RKSI,OTHH
102,OMDB,VOMM
103,KEWR,OMDB
104,RPLL,OTHH
105,FAOR,GOBD
106,LEMD,RKSI
107,SKBO,LEMD
108,RCTP,KSFO
109,WSSS,KSFO
110,SBSP,SBGR
111,EDDM,KSFO
112,VHHH,LFPG
113,EGLL,KLAX
114,RCTP,OMDB
115,EHAM,KATL
116,VHHH,EGLL
117,RPLL,OMDB
118,EGLL,KATL
119,EGLL,VTBS
120,RKSI,EHAM
121,WMKK,EHAM
122,RCTP,LFPG
123,EDDF,KORD
124,WSSS,EFHK
125,OMDB,RPLL
126,VHHH,YSSY
127,WSSS,EGLL
128,RCTP,EDDF
129,EPWA,KORD
130,SAEZ,LEBL
131,RCTP,KLAX
132,EGLL,KDFW
133,WSSS,EHAM
134,KJFK,OMDB
135,EGLL,KEWR
136,VHHH,YMML
137,WMKK,EGLL
138,EPWA,CYYZ
139,WSSS,EDDF
140,RCTP,YSSY
141,OERK,RPLL
142,EDDF,KIAD
143,LFPG,KLAX
144,VHHH,EDDF
145,KIAH,KSFO
146,WSSS,EKCH
147,RCTP,KSEA
148,EDDF,CYYZ
149,EDDF,KJFK
150,RCTP,KLAX
151,EHAM,KJFK
152,WSSS,EDDM
153,VHHH,LSZH
154,RCTP,YBBN
155,WSSS,LSZH
156,MDPC,SBGR
157,EPWA,KJFK
158,VTBS,EFHK
159,RCTP,CYVR
160,LEMD,KMIA
161,EHAM,VTBS
162,WSSS,EDDF
163,WSSS,UUDD
164,RCTP,CYVR
165,VHHH,PANC
166,LSZH,KEWR
167,EGLL,KSFO
168,RCTP,EHAM
169,EGLL,KEWR
170,SPJC,LEMD
171,FACT,EDDF
172,VHHH,LFPG
173,WSSS,EGLL
174,RPLL,OMAA
175,UUEE,VTBS
176,EGLL,KIAD
177,LFPO,KEWR
178,WSSS,LFPG
179,EDDF,RKSI
180,VHHH,KLAX
181,LSZH,KBOS
182,EDDF,KSFO
183,EGLL,KLAS
184,EGLL,KPHL
185,YBBN,OMDB
186,SAEZ,LEMD
187,EGLL,KBOS
188,WSSS,EDDM
189,VHHH,PANC
190,VIDP,EGLL
191,FACT,OMDB
192,EGLL,KJFK
193,LEMD,MDBG
194,WBSB,EGLL
195,EGLL,KEWR
196,VHHH,LSZH
197,EHAM,VHHH
198,VHHH,OMDB
199,VHHH,EDDF
200,VHHH,EFHK
201,KEWR,VABB
202,VTBS,EDDF
203,WSSS,KEWR
204,MDPC,SAEZ
205,SLVR,LEMD
206,LSZH,VTBS
207,FACT,OTHH
208,EDDF,RJTT
209,SAEZ,LEMD
