Index,Source,Target
1,VHHH,EBLG
2,VHHH,CYYZ
3,VHHH,CYYZ
4,VHHH,EGLL
5,YBBN,OMDB
6,EDDF,RKSI
7,WSSS,KSFO
8,VHHH,EDDF
9,YSSY,OMDB
10,RCTP,KJFK
11,WSSS,KLAX
12,WSSS,KLAX
13,YSSY,OTHH
14,KDFW,RKSI
15,YMML,OTHH
16,KLAX,VHHH
17,RCTP,LTBA
18,KORD,RKSI
19,RJBB,OMDB
20,KLAX,RKSI
21,YPPH,OMDB
22,RCTP,EDDF
23,PANC,RCTP
24,EGLL,KLAX
25,YPPH,OTHH
26,RCTP,KLAX
27,LEMD,SKBO
28,RCTP,EHAM
29,RJBB,LFPG
30,WSSS,LFPG
31,KFLL,KBOS
32,EHAM,KATL
33,EPWA,KORD
34,VHHH,UUEE
35,EGLL,KLAX
36,KIAH,KMCO
37,RJBB,EHAM
38,RPLL,LIMC
39,RCTP,LFPG
40,EPWA,KJFK
41,KIAD,OMDB
42,OTHH,VGZR
43,RCTP,KSFO
44,KJFK,OMDB
45,EGLL,KATL
46,VHHH,LSZH
47,WSSS,EHAM
48,RCTP,KSEA
49,RJTT,EDDF
50,EHAM,KATL
51,EPWA,CYYZ
52,WSSS,EDDF
53,RPLL,OMDB
54,WMKK,NZAA
55,RCTP,CYVR
56,WSSS,EGLL
57,KLAX,RKSI
58,WSSS,EDDF
59,RCTP,KLAX
60,WSSS,EHAM
61,KEWR,VABB
62,WSSS,NZCH
63,EGLL,VIDP
64,KDEN,KEWR
65,LIMC,RKSI
66,WSSS,LFPG
67,KDFW,RKSI
68,VHHH,KLAX
69,RCTP,PANC
70,WMKK,EGLL
71,KMIA,LLBG
72,LPPT,SBGR
73,SPJC,LEMD
74,EDDF,RKSI
75,LPPT,KMIA
76,KJFK,VIDP
77,OTHH,YMML
78,VHHH,YMML
79,KATL,RKSI
80,CYYZ,RKSI
81,RPLL,OTHH
82,LSZH,KEWR
83,EDDF,VHHH
84,EDDF,KJFK
85,KLAX,KORD
86,PANC,VHHH
87,EPWA,KORD
88,WSSS,OMDB
89,RCTP,KLAX
90,KORD,VIDP
91,LFPG,RJTT
92,FACT,OTHH
93,KMIA,UUEE
94,OTHH,YSSY
95,OTHH,WSSS
96,KIAD,RKSI
97,ELLX,KATL
98,KDAL,KPSP
99,EDDF,VIDP
100,OTHH,YMML
101,KLAX,EBLG
102,EBLG,KJFK
103,EGLL,KBOS
104,CYVR,VIDP
105,EDDF,WSSS
106,OBBI,RPLL
107,LPPT,KEWR
108,OMDB,WSSS
109,PANC,RKSI
110,EDDF,SBKP
111,KSFO,VIDP
112,EGLL,KJFK
113,GOBD,OMDB
114,KDFW,KMIA
115,KSEA,PANC
116,EGLL,VHHH
117,KCVG,EGNX
118,VABB,KEWR
119,SBGR,LFPG
120,KMIA,SBKP
121,KIAD,OMDB
122,EDDF,KORD
123,KORD,PANC
124,KLAX,YSSY
125,EDDK,KSDF
126,KJFK,KLAX
127,EGLL,VHHH
128,KDFW,RKSI
129,EGLL,OTHH
130,LPPT,KBOS
131,VIDP,KEWR
132,WMKK,OMDB
133,KATL,EDDF
134,VIDP,CYYZ
135,KLAX,KBOS
136,KEWR,KSFO
137,KMIA,LEMD
138,KORD,EDDF
139,VOBL,EDDP
140,SBGL,LPPT
141,KSEA,RKSI
142,KPHL,KSFO
143,KLAX,RKSI
144,KEWR,KLAS
145,EHAM,KJFK
146,KBWI,KLAX
147,KLAX,KJFK
148,MMUN,MMTJ
149,WMKK,OTHH
150,KLAX,RCTP
151,SBGR,LPPT
152,EDDK,VHHH
153,LKPR,OMDB
154,MMUN,MMTJ
155,EHAM,WSSS
156,TLPL,KATL
157,KSAN,KJFK
158,KSFO,KJFK
159,EGLL,VIDP
160,CYVR,YMML
161,PANC,KSEA
162,MMUN,KLAX
163,EGLL,OMDB
164,VHHH,OMDB
165,KCLT,KSFO
166,EDDK,VHHH
167,EDDF,SBGR
168,KSAN,KJFK
169,LSGG,OMDB
170,EGLL,OMDB
171,EGLL,WSSS
172,EPWA,OMDB
173,KVNY,KTEB
174,EDDF,KORD
175,KLAS,KBOS
176,RKSI,VTBS
177,VIDP,VHHH
178,EDDF,SBGR
179,KLAS,KJFK
180,KATL,KLAS
181,KLAS,KEWR
182,VIDP,UUEE
183,MMUN,KLAX
184,SBGR,KMIA
185,KPHL,KLAX
186,KMIA,SPJC
187,KORD,EKCH
188,EGLL,VABB
189,EDDF,OMDB
190,KSDF,KONT
191,KSAN,KEWR
192,LFPG,RKSI
193,EDDF,KJFK
194,MMUN,KDEN
195,VABB,VHHH
196,KSAT,KSEA
197,KSDF,KRIR
198,KSFO,KORD
199,KJFK,KLAX
200,LFPG,OMDB
201,KEWR,KSAN
202,KBOS,KLAX
203,CYHM,CYYC
204,ELLX,OTHH
205,KLAX,KJFK
206,KDAL,KPHX
207,KBNA,KVNY
208,OMDB,VHHH
209,KATL,EHAM
210,VIDP,KORD
211,KSDF,KBUR
212,KCVG,EGNX
213,KEWR,KLAS
214,KBOS,KDFW
215,KSFO,KBOS
216,KFLL,KLAX
217,CYVR,CYYZ
218,KMIA,KDEN
219,KBOS,KLAX
220,KLAX,KIAD
221,KFLL,KDEN
222,KEWR,KDEN
223,KIAH,EHAM
224,KSLC,KJFK
225,KDFW,KSEA
226,EDDF,FACT
227,PANC,KLCK
228,EDDF,OTHH
229,KSFO,KJFK
230,LEMD,OMDB
231,KRDU,KDEN
232,KLGA,KDEN
233,KLAX,KMIA
234,KPHX,KJFK
235,KATL,SKBO
236,KEWR,KPHX
237,KMDW,KLAX
238,KSFO,KJFK
239,MMUN,KLAX
240,KDTW,KSEA
241,KBOS,KSFO
242,CYVR,CYUL
243,VABB,EGLL
244,KSAN,KEWR
245,KSFO,KJFK
246,KLAX,KEWR
247,KEWR,KSFO
248,KPHX,KBOS
249,KJFK,KLAS
250,KCLE,KLAX
251,KDFW,PANC
252,KDTW,KPHX
253,PANC,RJBB
254,KCLT,KLAX
255,KONT,KATL
256,KSLC,KJFK
257,KDCA,KPHX
258,LSZH,SBGR
259,KIAD,KDEN
260,KAUS,KSFO
261,KJFK,KLAX
262,UAAA,RKSI
263,KPHX,KDCA
264,KMIA,SPJC
265,MMUN,KMDW
266,KLAX,KDCA
267,KMSP,KSEA
268,KSEA,EHAM
269,LSZH,LLBG
270,KSFO,KORD
271,KDTW,KLAX
272,MMUN,KEWR
273,KJFK,PANC
274,KDTW,KLAS
275,KSFO,KMSP
276,KBNA,KOAK
277,KLAX,RKSI
278,KMSP,KSAN
279,KPDX,KDFW
280,EGLL,OTHH
281,KPHL,KDEN
282,KSEA,KATL
283,LLBG,KEWR
284,KSAN,KATL
285,KMKE,KLAS
286,CYYZ,EDDF
287,KORD,RKSI
288,KSEA,KJFK
289,KBNA,KSNA
290,KSFO,KTEB
291,KTEB,KOPF
292,KFLL,KMSP
293,KORD,EHAM
294,KBNA,KLAX
295,KMIA,KMSP
296,KDFW,EGLL
297,KOPF,KVNY
298,KLAX,RJTT
299,KCLT,KLAS
300,KDTW,KSFO
301,OMDB,LFPG
