Index,Source,Target
1,VTBS,EHAM
2,OTHH,KDFW
3,OMDB,KLAX
4,OTHH,KLAX
5,EDDP,VHHH
6,RKSI,EDDF
7,RKSI,KJFK
8,RCTP,CYYZ
9,OMDB,YSSY
10,WSSS,YBBN
11,KORD,OMDB
12,RKSI,EHAM
13,YMML,OTHH
14,KJFK,VHHH
15,YSSY,OTHH
16,VHHH,CYYZ
17,VHHH,KLAX
18,VTBS,EHAM
19,PANC,VHHH
20,OMAA,YMML
21,EGLL,KLAX
22,KJFK,VHHH
23,VHHH,CYVR
24,KLAX,YSSY
25,YPPH,OTHH
26,RKSI,KLAX
27,KJFK,KLAX
28,SBKP,KMIA
29,KORD,RKSI
30,PANC,VHHH
31,KJFK,KLAX
32,KLAX,RKSI
33,KORD,VHHH
34,RCTP,KSFO
35,RJBB,EHAM
36,RCTP,EDDF
37,VHHH,EGLL
38,KLAX,RKSI
39,WSSS,LSZH
40,VHHH,OTHH
41,VHHH,EGLL
42,RCTP,KLAX
43,RCTP,KSEA
44,RCTP,KLAX
45,VHHH,CYYZ
46,RKSI,PANC
47,KJFK,RKSI
48,RCTP,CYVR
49,KLAX,RKSI
50,VTBS,EDDF
51,EDDF,RKSI
52,RKSI,OTHH
53,CYYZ,VHHH
54,EDDF,KORD
55,RCTP,EHAM
56,EDDF,RKSI
57,KJFK,RKSI
58,KATL,RKSI
59,KLAX,RCTP
60,KLAX,RKSI
61,KJFK,PANC
62,LFPG,KORD
63,EGLL,VHHH
64,SKBO,KMIA
65,VHHH,YSSY
66,RJBB,8IN9
67,WSSS,EGLL
68,PANC,RKSI
69,PANC,RJBB
70,KORD,VHHH
71,VHHH,OTHH
72,PANC,RKSI
73,YMML,OTHH
74,EGLL,VHHH
75,EDDF,RKSI
76,EDDF,WSSS
77,KDFW,EDDF
78,VTBS,OTHH
79,KJFK,RKSI
80,KDTW,RKSI
81,UAAA,UKBB
82,KJFK,RKSI
83,SKBO,LEMD
84,PANC,RCTP
85,KLAX,RKSI
86,EGLL,FATA
87,EDDF,VOMM
88,SBGR,EHAM
89,CYVR,CYHM
90,KSFO,YSSY
91,LSZH,OTHH
92,OTHH,VHHH
93,VHHH,PANC
94,KSDF,KONT
95,PANC,VHHH
96,RKSI,VTBS
97,EGLL,KMIA
98,OMDB,VHHH
99,EDDF,UAAA
100,PANC,VHHH
101,KCVG,EDDP
102,EDDK,KSDF
103,EDDF,SBGR
104,KLAX,RKSI
105,EBBR,KCVG
106,LFPG,VTBS
107,PANC,KSEA
108,KORD,PANC
109,KLAX,VHHH
110,CYVR,VHHH
111,EHAM,SBGR
112,WSSS,YSSY
113,KLAX,VHHH
114,EHAM,RKSI
115,KORD,EDDF
116,KMIA,SBKP
117,KMDW,KLAX
118,EHAM,VHHH
119,EDDK,VHHH
120,YMML,YPPH
121,KSFO,KEWR
122,PANC,RKSI
123,KCVG,RKSI
124,KPHX,KDCA
125,KSFO,RKSI
126,PANC,KORD
127,EGLL,OTHH
128,EGSS,KSDF
129,CYVR,CYUL
130,EHAM,OTHH
131,KLAX,EHAM
132,CYYZ,VHHH
133,RJBB,KOAK
134,EGLL,CYYZ
135,CYYZ,CYVR
136,UAAA,VHHH
137,EDDF,UAAA
138,KMIA,KLAX
139,OTHH,YSSY
140,PAED,KSUU
141,EHAM,WSSS
142,EHAM,SBKP
143,KLAX,EBLG
144,KSFO,KPHL
145,KJFK,RKSI
146,KSEA,KJFK
147,KLAX,KBOS
148,EIDW,KBOS
149,KORD,VHHH
150,YMML,YPPH
151,KLAX,KEWR
152,SPJC,KMIA
153,UAAA,EDDF
154,KMDW,KLAS
155,KLAX,RCTP
156,KATL,KLAX
157,KORD,OMDB
158,PANC,VHHH
159,PANC,KCVG
160,KJFK,KSMF
161,KLAX,EDDF
162,KSTL,KPHX
163,KSDF,KOAK
164,KBOS,KPHX
165,KSDF,KPDX
166,VHHH,KLAX
167,KORD,EIDW
168,KCLT,KLAS
169,KLAX,RJTT
170,KSTL,KPDX
171,KATL,KLAS
172,EGLL,VHHH
173,VABB,VHHH
174,CYYZ,EDDF
175,KSDF,KSAN
176,PANC,VHHH
177,KSDF,KLAX
178,KMIA,SBKP
179,KSDF,KBFI
180,KDFW,EGLL
181,EDDK,KSDF
182,KCLT,KLAS
183,EGLL,LLSD
184,KHOU,KLAX
185,KMCI,KLAX
186,KRFD,KIWA
187,KSEA,KDFW
188,KLAX,KATL
189,KATL,EHAM
190,KPHL,KDFW
191,VHHH,PANC
192,SPJC,KMIA
193,YBCS,YBBN
194,WMKK,VHHH
195,KJFK,LIRF
196,KORD,KPHX
197,KCLT,KLAX
198,OTHH,YSSY
199,KORD,KLAS
200,KSFO,KBOS
201,RKSI,PANC
202,KLAX,KMSP
203,KIAD,KSFO
204,KBNA,KLAS
205,KDCA,KDFW
206,KSDF,KPHX
207,PANC,KCVG
208,OTHH,YMML
209,CYYC,CYYZ
210,NZAA,YMML
211,LFPG,OTHH
212,KCLT,KSAN
213,KDTW,KLAS
214,CYXE,CYYZ
215,KHOU,KSAN
216,PANC,KORD
217,KSDF,PANC
218,YBCS,YBBN
219,NZAA,VHHH
220,KSEA,KMSP
221,KORD,EDDF
222,ZGSZ,RJBB
223,VHHH,PANC
224,KSDF,KONT
225,SBGR,EDDF
226,KBOS,EIDW
227,KORD,PANC
228,KIAD,KSAN
229,KSDF,PANC
230,KATL,KPDX
231,KEWR,KMSP
232,YPAD,YMML
233,KSEA,KJFK
234,EBLG,OTHH
235,KATL,KSMF
236,KCMH,KLAS
237,KDEN,KSJC
238,KCLT,KTUL
239,PANC,KORD
240,KIAD,KIAH
241,KBWI,KLAS
242,VIDP,EHAM
243,YPPH,YBBN
244,KIAD,EBBR
245,VHHH,OMDB
246,VABB,OTHH
247,KABE,KAFW
248,KORD,KLAX
249,KPHX,KPDX
250,KATL,EHAM
251,KMIA,SKBO
252,KATL,KU42
253,KSNA,KDFW
254,KONT,KDFW
255,UUEE,EHAM
256,KPHX,KMIA
257,KATL,EDDF
258,KCVG,RKSI
259,KDFW,KSEA
260,KJFK,EIDW
261,KIAD,KSFO
262,KCRQ,KIWA
263,VHHH,PANC
264,EGLL,OTHH
265,KPHL,KSTL
266,KSFO,KDFW
267,KDEN,KAKH
268,KATL,KPHX
269,MROC,KMIA
270,PANC,KSEA
271,KDAL,KDCA
272,KDFW,KFAT
273,KBOS,KATL
274,KDEN,KSNA
275,KTPA,KDFW
276,KDFW,KPSP
277,OBBI,VHHH
278,KSAN,KSEA
279,KAUS,KMDW
280,KLAX,KCVG
281,KATL,KSEA
282,OMDB,EHAM
283,KATL,LFPG
284,KDTW,KSEA
285,KDEN,KBNA
286,KLAX,RKSI
287,KHOU,KFLL
288,KDFW,KPHL
289,CYYZ,CYVR
290,KPHL,KPHX
291,KORD,EGLL
292,KATL,KSAN
293,KIAH,EDDF
294,KDTW,KLAX
295,KLAX,RCTP
296,KMDW,KLAS
297,KDFW,KFLL
298,KDEN,KSAN
299,KMIA,KLAX
300,KMDW,KSAN
301,KCMH,KDAL
302,KDFW,KMSP
303,UAAA,UKBB
304,KSEA,KLAX
305,KDAL,KMDW
306,KIAD,KRSW
307,KSEA,KSAN
308,KDEN,KSEA
309,KORD,KSEA
310,VHHH,OMDB
311,KFXE,KPDK
312,KLAS,KSEA
313,KTYS,KDFW
314,EDDF,RKSI
315,KIAD,KDFW
316,KLAS,KMDW
317,KBOS,KDFW
318,KORD,KSEA
319,KOMA,KLAS
320,KAPA,KVNY
321,RPLC,ZGSZ
322,LKPR,OMDB
323,YSSY,RKSI
324,KORD,KU42
325,PANC,RCTP
326,KMIA,KBOS
327,KLAX,LFPG
328,KSFO,KJFK
329,KPHX,KDFW
330,KTPA,KBWI
331,KDFW,KU42
332,KMDW,KPHX
333,PANC,KLAX
334,RPLL,VHHH
335,KMIA,KORD
336,KATL,KDFW
337,RCTP,PANC
338,PANC,KSDF
339,VABB,VIDP
340,KVPS,KDFW
341,KDFW,KORD
342,KPHX,KSEA
343,RKSI,EDDF
344,KDFW,KLAX
