Index,Source,Target
1,YSSY,KLAX
2,KLAX,VHHH
3,YBBN,OMDB
4,YSSY,OMAA
5,EDDF,SBKP
6,VHHH,KLAX
7,YSSY,OMDB
8,EDDF,RKSI
9,YMML,OTHH
10,YSSY,OTHH
11,KEWR,VABB
12,YMML,OMDB
13,ELLX,SBGR
14,SAEZ,EHAM
15,KSFO,WSSS
16,RKSI,KLAX
17,RPLL,KLAX
18,SBGR,OMDB
19,EGLL,KLAX
20,LSZH,VTBS
21,RCTP,KLAX
22,RKSI,KLAX
23,RCTP,EDDF
24,RKSI,LTBW
25,RJBB,LFPG
26,RJBB,OMDB
27,YPPH,OTHH
28,RKSI,OMDB
29,EDDF,RKSI
30,WMKK,LTBW
31,LEMD,SKMA
32,VHHH,LTBW
33,WSSS,LTBW
34,EGLL,KLAX
35,SAEZ,KMIA
36,VHHH,EGLL
37,RPLL,OTHH
38,KSEA,RJTJ
39,RKSI,EHAM
40,EGLL,VTBS
41,VTBS,EHAM
42,RCTP,KSFO
43,EDDF,VABB
44,WSSS,EHAM
45,RCTP,KLAX
46,RCTP,KLAX
47,KLAX,RKSI
48,VHHH,EGLL
49,WSSS,EHAM
50,KLAX,RKSI
51,WSSS,EDDF
52,KDFW,RKSI
53,WSSS,EGLL
54,VHHH,YSSY
55,RPLL,OMAA
56,UUEE,VHHH
57,VHHH,EGLL
58,KEWR,VABB
59,EGLL,KLAX
60,KATL,RKSI
61,VHHH,PANC
62,RKSI,EDDF
63,VTBS,LOWW
64,CYYZ,RKSI
65,RCTP,YBBN
66,KATL,RKSI
67,RKSI,OTHH
68,WSSS,LFPG
69,SPJC,LEMD
70,VHHH,KLAX
71,KLAX,YSSY
72,VHHH,YMML
73,OTHH,WMKK
74,VTBS,EHAM
75,VHHH,EDDF
76,KLAX,YSSY
77,PANC,RJBB
78,VHHH,EHAM
79,KMIA,SBKP
80,LFPG,CYVR
81,VHHH,KSFO
82,RKSI,PANC
83,KORD,VIDP
84,PANC,RKSI
85,OMDB,RPLL
86,RKSI,EDDF
87,KIAD,RKSI
88,LIRF,KEWR
89,EHAM,RKSI
90,KJFK,PANC
91,OMDB,VHHH
92,PANC,RKSI
93,WSSS,OMDB
94,EDDF,SBGR
95,RKSI,LOWW
96,WSSS,LSZH
97,PANC,VHHH
98,EDDF,RKSI
99,KJFK,RKSI
100,WSSS,YSSY
101,EGLL,VHHH
102,KJFK,RKSI
103,KJFK,RKSI
104,WMKK,OMAA
105,KDTW,RKSI
106,SKBO,EHAM
107,KSFO,RCTP
108,OMDB,SBGR
109,PANC,KATL
110,WSSS,OTHH
111,EDDK,KSDF
112,VHHH,OTHH
113,EHAM,VTBS
114,EDDF,RKSI
115,KATL,RKSI
116,VIDP,KEWR
117,KSFO,YSSY
118,SBGR,LFPG
119,OMSJ,WSSS
120,YPPH,WMKK
121,PANC,RCTP
122,SBGR,LPPT
123,WMKK,OTHH
124,KSDF,KONT
125,SBGR,EGLL
126,VHHH,PANC
127,PANC,RJBB
128,VHHH,UUEE
129,KEWR,KSFO
130,WMKK,OMDB
131,RKSI,PANC
132,RCTP,EHAM
133,KOAK,KTEB
134,EHAM,WSSS
135,KORD,PANC
136,EDDF,VIDP
137,KLAX,KEWR
138,PANC,RKSI
139,KEWR,KLAX
140,KSEA,RKSI
141,KLAX,KJFK
142,KPHL,KOAK
143,LPPT,CYUL
144,KBED,KVNY
145,PANC,KORD
146,LPPT,KBOS
147,PANC,KSEA
148,KJFK,KLAX
149,VTBS,EDDF
150,KJFK,PANC
151,KSFO,EHAM
152,VTBS,OTHH
153,EDDF,WSSS
154,KPHL,KLGB
