Index,Source,Target
1,LEMD,KJFK
2,WSSS,EGLL
3,WSSS,YMML
4,VHHH,CYYZ
5,VHHH,LOWW
6,KLAX,VHHH
7,RCTP,KJFK
8,VTBS,EDDF
9,SBKP,KMIA
10,KEWR,VABB
11,RPLL,KLAX
12,OTHH,KJFK
13,YSSY,OTHH
14,YMML,OTHH
15,LSZH,SBGR
16,SAEZ,EHAM
17,KLAX,RKSI
18,KSFO,WSSS
19,EHAM,KSFO
20,VHHH,KLAX
21,KSEA,RKSI
22,KLAX,RKSI
23,EGLL,KLAX
24,RPLL,KSFO
25,KSEA,PANC
26,RCTP,KLAX
27,YPPH,OTHH
28,EPWA,KJFK
29,OMDB,RPLL
30,EHAM,KATL
31,VHHH,PANC
32,PANC,VHHH
33,VHHH,EDDF
34,LSZH,KEWR
35,VTBS,EHAM
36,VHHH,PANC
37,RCTP,KSFO
38,EDDF,RKSI
39,VHHH,EGLL
40,EDDF,VABB
41,VHHH,EDDF
42,WMKK,EGLL
43,RCTP,KSFO
44,EHAM,KORD
45,RCTP,EDDF
46,SBKP,KMIA
47,WSSS,LSZH
48,CYYZ,LTBW
49,KSEA,RKSI
50,WMKK,LTBW
51,RPLL,OTHH
52,WSSS,EGLL
53,RCTP,KLAX
54,WSSS,EHAM
55,RCTP,KLAX
56,VHHH,EGLL
57,EGLL,KLAX
58,WSSS,EDDF
59,KJFK,RKSI
60,KDFW,RKSI
61,KEWR,VABB
62,VTBS,EDDF
63,VHHH,EGLL
64,EHAM,KORD
65,WSSS,LFPG
66,PANC,RCTP
67,VHHH,YSSY
68,CYYZ,RKSI
69,UUEE,VHHH
70,VHHH,YMML
71,KATL,KSLC
72,EGLL,VTBS
73,KATL,RKSI
74,VHHH,EHAM
75,KLAX,RKSI
76,EDDP,KJFK
77,VHHH,PANC
78,RCTP,EHAM
79,WSSS,EHAM
80,RJBB,EHAM
81,PANC,RKSI
82,VHHH,PANC
83,LEMD,SKBO
84,VTBS,EHAM
85,EDDF,KATL
86,VTBS,EHAM
87,ELLX,KATL
88,EGLL,KIAD
89,OTHH,WMKK
90,LFPG,CYUL
91,EDDF,KLAX
92,KATL,PANC
93,VHHH,EDDF
94,VHHH,KSFO
95,PANC,VHHH
96,KLAX,YSSY
97,PANC,VHHH
98,WSSS,LSZH
99,KDFW,RKSI
100,WSSS,YSSY
101,KORD,RKSI
102,PANC,VHHH
103,LFPG,CYVR
104,VHHH,EGCC
105,RPLL,LTBW
106,KATL,PANC
107,LIRF,KEWR
108,ELLX,KATL
109,ZGSZ,PANC
110,WSSS,LSZH
111,VHHH,OTHH
112,KJFK,RKSI
113,KDTW,RKSI
114,EGLL,VHHH
115,KSFO,RCTP
116,LFPG,RKSI
117,EDDF,KATL
118,KJFK,RKSI
119,SPJC,LEMD
120,VHHH,PANC
121,OBBI,RPLL
122,KDFW,EDDF
123,ELLX,KORD
124,KBOS,KSFO
125,WMKK,EHAM
126,KJFK,RKSI
127,KSJC,KORD
128,PANC,RKSI
129,OMDB,WSSS
130,KSFO,RKSI
131,LFPG,RJTT
132,WSSS,OTHH
133,LFPG,CYVR
134,SAEZ,KMIA
135,EDDF,KJFK
136,SBGR,LFPG
137,ZGSZ,PANC
138,KSFO,YSSY
139,SBGR,EGLL
140,WMKK,OTHH
141,KLAX,YSSY
142,EDDF,SBKP
143,KEWR,KSFO
144,PANC,RJBB
145,EHAM,WSSS
146,EHAM,VTBS
147,LPPT,KMIA
148,KJFK,KLAX
149,PANC,RKSI
150,KLAX,KJFK
151,RCTP,KLAX
152,LPPT,KEWR
153,VTBS,OTHH
154,KLAX,RCTP
155,SPJC,KMIA
156,EDDF,KORD
157,KMIA,SPJC
158,KSFO,EHAM
159,PANC,KSEA
160,LFPG,RKSI
161,KLAX,KEWR
162,LFPG,WSSS
163,KLAX,KBOS
164,KJFK,KSFO
165,EDDF,OTHH
166,EHAM,VTBS
167,LPPT,CYYZ
168,CYVR,VHHH
169,LIMC,RKSI
170,KLAX,KFLL
171,KOPF,KVNY
172,CYVR,YSSY
173,KLAX,KBWI
174,EHAM,KORD
175,PANC,RKSI
176,EHAM,RKSI
177,EHAM,RCTP
178,KATL,PANC
179,KEWR,LLBG
180,KSBA,KDFW
181,CYVR,RKSI
182,KSDF,EDDK
183,EHAM,SAEZ
184,KDFW,RKSI
185,KSAN,KJFK
186,KSFO,KFLL
187,PANC,KMSP
188,EHAM,RKSI
189,KLAS,KJFK
190,LSZH,VABB
191,KSFO,KJFK
192,KATL,KSEA
193,EDDF,KORD
194,KSMF,KJFK
195,PANC,VHHH
196,RJBB,PANC
197,WSSS,YSSY
198,EHAM,VTBS
199,KLAX,RKSI
200,EDDF,SBGR
201,KJFK,KLAX
202,OTHH,EGSS
203,PANC,VHHH
204,KLAX,RKSI
