Index,Source,Target
1,SBGR,LPPT
2,KSFO,LFPG
3,KORD,EHAM
4,KEWR,LSGG
5,OMDB,SBGL
6,KLAX,EDDF
7,EDDF,RKSI
8,YSSY,WMKK
9,YSSY,OMAA
10,VHHH,CYYZ
11,YSSY,OMDB
12,WSSS,KSFO
13,RCTP,KJFK
14,YMML,OTHH
15,YMML,OMDB
16,YSSY,OTHH
17,EHAM,SPJC
18,LIMC,WSSS
19,RCTP,CYYZ
20,VHHH,OMDB
21,OTHH,KJFK
22,KLAX,VHHH
23,KIAD,KORD
24,KDFW,RKSI
25,KLAX,RKSI
26,VHHH,KLAX
27,VHHH,NZAA
28,KMIA,LEMD
29,EDDF,KSFO
30,LEMD,SKMA
31,RCTP,KLAX
32,RPLL,LTBW
33,EHAM,RKSI
34,RKSI,KLAX
35,KPHL,KDFW
36,RKSI,KATL
37,RJBB,OMDB
38,EGLL,KDFW
39,KJFK,VHHH
40,LEMD,KMIA
41,YPPH,OTHH
42,EGLL,KMIA
43,EHAM,LFPG
44,RKSI,OMDB
45,VHHH,LTBW
46,LFPG,KLAX
47,RCTP,EDDF
48,RJTT,LFPG
49,EFHK,VHHH
50,RCTP,YSSY
51,EGLL,KLAX
52,EGLL,KSEA
53,LFPG,KORD
54,KSFO,WSSS
55,KJFK,LTBW
56,RCTP,KLAX
57,EGLL,KSFO
58,RKSI,OTHH
59,EGLL,VTBS
60,RKSI,LTBW
61,LEMD,SKBO
62,LPPR,SBGL
63,RPLL,OTHH
64,EGLL,KATL
65,LSZH,VHHH
66,RCTP,KSFO
67,KJFK,UKBB
68,EGLL,KDFW
69,RPLL,OMDB
70,RCTP,KSFO
71,RCTP,KLAX
72,LSZH,KEWR
73,WSSS,EGLL
74,KATL,KJFK
75,WSSS,EHAM
76,VHHH,EGLL
77,VTBD,VIDP
78,WSSS,NZAA
79,WMKK,LTBW
80,VHHH,EDDF
81,RJTT,EDDF
82,VHHH,EGLL
83,LSZH,KORD
84,EPWA,KJFK
85,WMKK,EGLL
86,LEMD,SKBO
87,VHHH,EGLL
88,VHHH,YSSY
89,RCTP,EHAM
90,EDDF,KATL
91,WSSS,EDDF
92,FACT,LTBW
93,VHHH,EDDF
94,RCTP,CYVR
95,LSZH,KBOS
96,PANC,RJBB
97,EGLL,KLAX
98,RCTP,OMDB
99,WSSS,LSZH
100,RKSI,EHAM
101,KATL,RKSI
102,VHHH,YMML
103,FACT,OMDB
104,LEMD,KMIA
105,WSSS,LFPG
106,EPWA,KORD
107,EHAM,KJFK
108,RCTP,KSEA
109,RCTP,LTBA
110,CYYZ,RKSI
111,EDDF,RKSI
112,EGLL,KJFK
113,CYYC,CYYZ
114,FACT,EDDF
115,KVNY,KOPF
116,EDDF,KORD
117,MROC,KFLL
118,KTEB,KHPN
119,LEMD,KJFK
120,FACT,EGLL
