Index,Source,Target
1,KSFO,EGLL
2,KLAX,EGLL
3,WSSS,EDDF
4,RJBB,EHAM
5,VIDP,KORD
6,SBKP,KMIA
7,VHHH,EGLL
8,WSSS,KSFO
9,LSGG,LFPB
10,RCTP,KJFK
11,OMDB,EDDK
12,YSSY,OTHH
13,YMML,OMDB
14,RCTP,CYYZ
15,YMML,OTHH
16,EHAM,SPJC
17,KJFK,VHHH
18,VHHH,OMDB
19,WSSS,KLAX
20,RPLL,KLAX
21,VHHH,EHAM
22,EDDF,KSFO
23,UUEE,KMIA
24,RCTP,KLAX
25,EHAM,RJBB
26,PANC,VHHH
27,KTEB,KSNA
28,EGLL,KSFO
29,EGLL,KDFW
30,RCTP,CYVR
31,EDDF,RJTT
32,EGLL,KLAX
33,EGLL,KMIA
34,WSSS,LFPG
35,LFPG,KLAX
36,KSFO,RCTP
37,LEMD,SKBO
38,LEMD,MROC
39,KIAD,KSFO
40,VHHH,UUEE
41,EGLL,KLAX
42,RCTP,KSFO
43,EDDM,KORD
44,WSSS,EGLL
45,RCTP,KLAX
46,EPWA,KORD
47,WSSS,EDDF
48,RCTP,LFPG
49,KSJC,KHPN
50,VHHH,YSSY
51,WSSS,EHAM
52,VHHH,YMML
53,KJFK,OMDB
54,WSSS,LFPG
55,EGLL,KORD
56,RCTP,KLAX
57,LEMD,KMIA
58,RCTP,EDDF
59,EHAM,KJFK
60,OMDB,RPLL
61,VHHH,KLAX
62,EGLL,KORD
63,RJBB,OMDB
64,RCTP,EHAM
65,WSSS,EGLL
66,EBBR,KORD
67,KIAH,EBLG
68,KEWR,VABB
69,EDDF,KORD
70,WMKK,EGLL
71,EPWA,KJFK
72,EGLF,KTEB
73,OTHH,LEMD
74,EDDF,VABB
75,LFPG,KJFK
76,FACT,OTHH
77,EGLL,KIAD
78,LIMC,KEWR
79,EGLL,VHHH
80,CYYZ,VIDP
81,KBED,KVNY
82,SPJC,LEMD
83,EDDF,KJFK
84,EDDP,VHHH
85,EGLL,CYYZ
86,VHHH,EDDF
87,OTHH,WSSS
88,EGLL,VIDP
89,SBGR,KMIA
90,VHHH,EHAM
91,KMIA,KPHX
92,OTHH,YMML
93,KJFK,VIDP
94,OBBI,RPLL
95,VHHH,PANC
96,EGLF,KTEB
97,KLAX,YSSY
98,VHHH,OMDB
99,EGLL,KATL
100,OTHH,YSSY
101,LFPG,RJTT
102,OTHH,YMML
103,UUEE,VHHH
104,CYVR,VIDP
105,KLAX,YSSY
106,ELLX,KATL
107,OBBI,EDDP
108,RJBB,KUTA
109,OMDW,VHHH
110,OMSJ,WSSS
111,EDDF,RJTT
112,LFPG,RJTT
113,KLAX,RCTP
114,VIDP,LFPG
115,EGLL,KORD
116,SBGR,KMIA
117,VABB,KEWR
118,LSZH,KTEB
119,KLAX,RCTP
120,KATL,KSEA
121,VHHH,LSZH
122,LEZG,OTHH
123,EHAM,KORD
124,CYUL,CYVR
125,KPHL,KRDU
126,KEWR,KPDX
127,KFLL,KSFO
128,EGLL,OERK
129,SKBO,LEMD
130,KBOS,KPHX
131,PANC,VHHH
132,VHHH,PANC
133,KSFO,VIDP
134,KJFK,KPHX
135,KLAX,MROC
136,WMKK,OTHH
137,EGLL,KJFK
138,KEWR,KSFO
139,KTEB,KSNA
140,EGLL,WMKK
141,KMIA,KLAX
142,KDEN,KSFO
143,EHAM,KPHL
144,EDDF,SBGR
145,KSFO,RCTP
146,KSDF,KOAK
147,EGLL,VHHH
148,KSFO,KMIA
149,EGLL,OMDB
150,EDDK,KSDF
151,PANC,RJBB
152,EHAM,KORD
153,KBWI,KLAX
154,EDDF,OMDB
155,VIDP,KEWR
156,ELLX,KORD
157,LIMC,OTHH
158,KDCA,KPHX
159,KBWI,KSAN
160,SBGR,LFPG
161,KSDF,KPDX
162,VIDP,CYYZ
163,KSDF,KMHR
164,KOPF,KTEB
165,EGLL,WSSS
166,RJBB,KOAK
167,EDDF,VIDP
168,KEWR,KSAN
169,KIAD,KLAX
170,CYYZ,CYVR
171,KCLT,KPHX
172,KSDF,KONT
173,KIAD,KVNY
174,KLAX,KBOS
