Index,Source,Target
1,KLAX,RPLL
2,SBKP,KMIA
3,KMIA,KHHR
4,RCTP,KJFK
5,RCTP,EDDF
6,VHHH,KLAX
7,WSSS,KLAX
8,SBGR,KMIA
9,LEMD,SAEZ
10,YSSY,OTHH
11,YMML,OTHH
12,EDDF,RJTT
13,KLAX,YSSY
14,EBLG,VHHH
15,EDDF,RKSI
16,EHAM,KLAX
17,EGLL,KLAX
18,WMKK,LTBW
19,RCTP,KSFO
20,KLAX,RKSI
21,RKSI,KLAX
22,RCTP,KLAX
23,FAGM,LTBW
24,YPPH,OTHH
25,EHAM,RJBB
26,RKSI,KLAX
27,RKSI,KLAX
28,WSSS,LFPG
29,RJBB,EHAM
30,VHHH,LFPG
31,WSSS,NZCH
32,KLAX,KMIA
33,WSSS,EGLL
34,VHHH,EGLL
35,RJBB,EHAM
36,RCTP,KSFO
37,ETAR,KBWI
38,WSSS,EGLL
39,RPLL,OTHH
40,MROC,KLAX
41,RCTP,LFPG
42,RKSI,EHAM
43,LPPT,SBGR
44,WSSS,EHAM
45,RCTP,KLAX
46,RCTP,CYVR
47,CYYZ,VIDP
48,VHHH,YSSY
49,WSSS,EHAM
50,WMKK,LTBW
51,VHHH,KLAX
52,EHAM,VHHH
53,EDDF,RKSI
54,VHHH,EGLL
55,RKSI,EDDF
56,VHHH,LSZH
57,KDFW,RKSI
58,ELLX,KORD
59,VHHH,EGLL
60,RKSI,OTHH
61,SBGR,EHAM
62,KLAX,RKSI
63,EGLL,KIAD
64,UUEE,VHHH
65,KLAX,KMIA
66,LFPG,KORD
67,LFPG,RJTT
68,EDDF,SBGR
69,VHHH,KSFO
70,EPWA,RKSI
71,KLAX,RKSI
72,OMDW,VHHH
73,KJFK,VIDP
74,EGLL,CYYZ
75,KIAD,RKSI
76,KORD,VHHH
77,LSZH,KEWR
78,WSSS,LSZH
79,VHHH,PANC
80,KORD,RKSI
81,RKSI,EDDF
82,KLAX,YSSY
83,KLAX,VHHH
84,EDDF,KATL
85,LEMD,SAEZ
86,KFLL,KLAS
87,RKSI,PANC
88,PANC,VHHH
89,KJFK,RKSI
90,KSFO,VIDP
91,KMIA,SBKP
92,SBGR,EHAM
93,EBBR,KIAD
94,EGLL,VHHH
95,KJFK,RKSI
96,EDDF,KMIA
97,EDDF,RKSI
98,KSFO,YSSY
99,EGLL,OMDB
100,KLAX,RKSI
101,SBGR,LFPG
102,KLAX,RKSI
103,LSZH,CYUL
104,VHHH,PANC
105,SBGR,EGLL
106,WSSS,OTHH
107,KLAX,EDDF
108,EDDF,KJFK
109,PANC,RKSI
110,OMDB,VHHH
111,EDDF,SBKP
112,LFPG,OTHH
113,EIDW,KEWR
114,LIMC,RKSI
115,KLAX,RCTP
116,PANC,KMIA
117,KSEA,RKSI
118,EGLL,OTHH
119,EGLL,VIDP
120,PANC,KDFW
121,EDDF,OTHH
122,PANC,RCTP
123,EGLL,WSSS
124,LFPG,RKSI
125,LEMD,OMDB
126,EHAM,CYUL
127,EHAM,RCTP
128,KORD,EDDF
129,KBWI,KLAS
130,KLAX,YSSY
131,KSEA,KJFK
132,KSJC,KBFI
133,KLAX,KORD
134,FAGM,EHAM
135,KOAK,KLAS
136,EGLL,OERK
137,VHHH,YSSY
138,KLAX,RKSI
139,UAAA,RKSI
140,WMKK,OTHH
141,KATL,60CO
142,KLAX,EHAM
143,EDDF,RKSI
144,KSEA,KDCA
145,KLAX,RKSI
146,PANC,KSEA
147,KORD,PANC
148,EDDK,VHHH
149,EDDF,SBGR
150,KSFO,KBOS
151,EGLL,CYUL
152,KATL,KSEA
153,PANC,KMSP
154,EGLL,OMDB
155,KDFW,RKSI
156,EDDF,VABB
157,KFLL,KLAS
158,SAEZ,EGLL
159,EHAM,WSSS
160,EHAM,SBGR
161,VGTJ,OMDB
162,EDDF,KORD
163,KSEA,KPHL
164,KMIA,SBGR
165,KOAK,KATL
166,PANC,KORD
167,KSAN,KJFK
168,KLAX,KJFK
169,KSEA,KJFK
170,KPHX,KBOS
171,EDDK,KSDF
172,RKSI,PANC
173,KCVG,RKSI
174,KBOS,KLAX
175,KORD,LSZH
176,RKSI,PANC
177,KSMF,KATL
178,KSEA,KATL
179,SBKP,LPPT
180,KSDF,KPDX
181,KSFO,KEWR
182,VOBL,LFPG
183,KBWI,60CO
184,KSFO,KBOS
185,KSDF,KBUR
186,KLAX,KJFK
187,EHAM,KORD
188,KSDF,KOAK
189,RCTP,PANC
190,KSTL,KSMF
191,KDFW,PANC
192,PANC,VHHH
193,KBFI,PANC
194,SPJC,KMIA
195,KSMF,KJFK
196,KSFO,KATL
197,KSEA,KBNA
198,KATL,KLAX
199,KLAX,KDCA
200,KPDX,KATL
201,KLAX,KBOS
202,UUWW,UNEE
203,ELLX,KORD
204,KMIA,SBKP
205,RCTP,KLAX
206,KLAX,KDCA
207,WMKK,ZGSZ
208,KLAX,KEWR
209,KLAS,KJFK
210,EGLL,OMDB
211,CYVR,CYYZ
212,LSZH,VABB
213,KSFO,EDDM
214,VHHH,PANC
215,KSAN,KBWI
216,KLAX,RJTT
217,VABB,EGLL
218,KSFO,KFLL
219,KSDF,KOAK
220,KSEA,KORD
221,VABB,KEWR
222,KDFW,KSEA
223,KLAS,KHOU
224,LFPG,OTHH
225,KSTL,KSEA
226,LFPG,VABB
227,KDAL,KSEA
228,KSEA,KBOS
229,KMSP,KSMF
230,SBGR,LSZH
231,VHHH,PANC
232,VIDP,EGLL
233,PANC,RJBB
234,KSFO,KEWR
235,KLGB,KJFK
236,VIDP,KIAD
237,KATL,EHAM
238,CYYZ,EDDF
239,YBCS,YBBN
240,KAUS,KSEA
241,OMDB,VABB
242,KLAS,KMDW
243,KCMH,KLAS
244,KMIA,SPJC
245,VABB,LEMD
246,OTHH,YSSY
247,KMDW,KPHX
248,TJSJ,KEWR
249,EBLG,KJFK
250,EGLL,VHHH
251,CYYZ,LSZH
252,EHAM,WMKK
253,KMDW,KLAS
254,KBWI,KPHX
255,KLAS,KBOS
256,KLAX,KMIA
257,KSDF,KONT
258,KDFW,EDDF
259,KMCI,KLAX
260,PANC,VHHH
261,RKSI,OMDB
262,KJFK,KSFO
263,KLGA,60CO
264,KMDW,KPHX
265,LEMD,SBGR
266,KSDF,KBFI
267,KORD,KU42
268,KBNA,KOAK
269,ELLX,OMDW
270,CYVR,CYYZ
271,KSEA,KCMH
272,OTHH,YMML
273,KDAL,KSFO
274,KDEN,KFLL
275,NZAA,YSSY
276,NZAA,YMML
277,CYOW,CYVR
278,KSDF,PANC
279,KLAS,KMDW
280,KSTL,UT13
281,KDEN,KEWR
282,KIAD,60CO
283,VABB,OTHH
284,KDAL,KSAN
285,KORD,KLAS
286,OMDB,LSZH
287,SBGR,EDDF
288,PANC,KMIA
289,KORD,KLAX
290,KJFK,KU42
291,PANC,KSEA
292,KDEN,KJFK
293,KJFK,EHAM
294,KDAL,KCRQ
295,KLAX,KJFK
296,KSFO,KFLL
297,KRDU,60CO
298,KABE,KAFW
299,KORD,KPDX
300,KCLE,60CO
301,KSDF,PANC
302,LLBG,KEWR
303,KLGA,KDAL
304,KJFK,EBBR
305,KDEN,KSFO
306,PANC,RKSI
307,EGLL,SAEZ
308,LLBG,KJFK
309,KSDF,KOAK
310,KLAS,KDCA
311,PANC,RKSI
312,RKSI,UUDD
313,KATL,KLAS
314,PANC,KDFW
315,EGLL,SBGR
316,KDTW,KLAS
317,KBNA,KSJC
318,KIAD,KSFO
319,KLAX,KATL
320,KORD,EIDW
321,CYVR,RKSI
322,RKSI,EHAM
323,YSSY,VHHH
324,KEWR,KLAX
325,KMDW,KLAS
326,KCLT,KSAN
327,KIAD,KSFO
328,OBBI,VHHH
329,KJFK,EIDW
330,KDFW,KLGA
331,KLAS,KDAL
332,KATL,KSMF
333,EGLL,OTHH
334,VIDP,EDDF
335,KDFW,KDCA
336,KDFW,KLAS
337,VOMM,OTHH
338,KAPA,KFAT
