Index,Source,Target
1,VIDP,KORD
2,VHHH,KLAX
3,NZAA,WSSS
4,EDDF,RKSI
5,OMDB,UAAA
6,VHHH,EGLL
7,EHAM,RCTP
8,YSSY,WMKK
9,WSSS,KSFO
10,OMDB,YSSY
11,VTBS,EDDF
12,RCTP,KJFK
13,KMIA,LEMD
14,YMML,OTHH
15,YSSY,OTHH
16,RCTP,CYYZ
17,YMML,OMDB
18,KSFO,RCTP
19,RPLL,KLAX
20,WSSS,KLAX
21,EBLG,VHHH
22,KLAX,VHHH
23,EDDF,KSFO
24,KDFW,RKSI
25,VHHH,NZAA
26,PANC,VHHH
27,EHAM,RJBB
28,RJBB,OMDB
29,KJFK,RKSI
30,OMDB,YSSY
31,RCTP,CYVR
32,EHAM,LFPG
33,EPWA,RKSI
34,EGLL,KLAX
35,EDDF,EGSS
36,RCTP,YSSY
37,CYYZ,RKSI
38,WSSS,LFPG
39,OMDB,YMML
40,EGLL,VTBS
41,LEMD,SBGL
42,RCTP,NZAA
43,RCTP,KSFO
44,WSSS,EDDF
45,RCTP,KLAX
46,WSSS,EHAM
47,EDDF,VABB
48,KMIA,SBGR
49,LEMD,MROC
50,RJTT,EDDF
51,EGLL,KLAX
52,RCTP,LFPG
53,PANC,RKSI
54,WSSS,LFPG
55,VHHH,KLAX
56,EDDF,RKSI
57,RCTP,EDDF
58,EPWA,KJFK
59,EHAM,KJFK
60,EPWA,CYYZ
61,LEMD,KMIA
62,KIAD,RKSI
63,VHHH,YMML
64,EDDF,RKSI
65,PANC,RKSI
66,CYYZ,RKSI
67,WSSS,EGLL
68,KEWR,VABB
69,WMKK,EGLL
70,LFPG,KJFK
71,FACT,OTHH
72,VTBS,EHAM
73,FACT,EDDF
74,LIMC,KEWR
75,KLAX,YSSY
76,KATL,RKSI
77,OTHH,WMKK
78,RCTP,EHAM
79,KJFK,RKSI
80,OBBI,VHHH
81,EGLL,KIAD
82,OMDB,VTBS
83,EDDF,RJTT
84,VTBS,EHAM
85,EHAM,KORD
86,EGLL,VIDP
87,RCTP,KLAX
88,OTHH,RKSI
89,KDFW,RKSI
90,KJFK,UKBB
91,RKSI,EDDF
92,UUEE,VHHH
93,KDTW,RKSI
94,KMIA,KPHX
95,VHHH,OMDB
96,KORD,RKSI
97,OTHH,YMML
98,EDDF,RKSI
99,VTBS,LSZH
100,LIMC,RKSI
101,OTHH,YMML
102,KDFW,RKSI
103,KJFK,VIDP
104,PANC,RKSI
105,OBBI,RPLL
106,OTHH,WSSS
107,KSFO,KSTL
108,KSEA,RKSI
109,EBBR,OMDW
110,LFPG,RJTT
111,OTHH,YSSY
112,VHHH,PANC
113,VTBS,OMDB
114,KJFK,RKSI
115,PANC,RKSI
116,EGLL,CYYZ
117,KSFO,VIDP
118,LFPG,RJTT
119,WMKK,OMAA
120,PANC,RJBB
121,KTEB,KVNY
122,ELLX,KATL
123,KSEA,RKSI
124,OERK,RPLL
125,VHHH,EHAM
126,VHHH,LSZH
127,PANC,RJBB
128,KLAX,ELLX
129,VIDP,KEWR
130,PANC,RKSI
131,SBGR,KMIA
132,KORD,PANC
133,WMKK,OTHH
134,EDDP,KCVG
135,KSFO,RKSI
136,VABB,KEWR
137,KMIA,KHHR
138,CYUL,CYVR
139,KSEA,RKSI
140,VGZR,VTBS
141,EDDF,RKSI
142,KLAX,RKSI
143,VTBS,OTHH
144,KBOS,KPHX
145,KATL,KSEA
146,KSFO,RKSI
147,KJFK,KPHX
148,KEWR,KPDX
149,EDDK,KSDF
150,EGLL,RKSI
151,KLAS,KBNA
152,KATL,KLAX
153,PANC,VHHH
154,KEWR,KSFO
155,LEZG,OTHH
156,EGLL,OERK
157,PANC,RJBB
158,KSFO,RCTP
159,EGLL,OTHH
160,KLAX,RKSI
161,VHHH,UUEE
162,PANC,KPHX
163,KMIA,SPJC
164,EDDF,SBGR
165,VOBL,EDDF
166,KORD,PANC
167,KIAD,KVNY
168,KBWI,KLAX
169,KDCA,KPHX
170,KEWR,KLAX
171,EDDF,OMDB
172,EDDF,VIDP
173,EGLL,VHHH
174,KIAD,KVNY
175,VIDP,CYYZ
176,EDDF,VTBS
177,KATL,KSLC
178,KBNA,KSNA
179,KATL,KPHX
180,RJBB,KOAK
181,KEWR,KSAN
182,VHHH,KJFK
183,KBWI,KSAN
184,KATL,KLAS
185,EHAM,VTBS
186,KIAD,KSFO
187,LIMC,KJFK
188,KLAX,KBOS
189,EGLL,RKSI
190,EDDF,OTHH
191,EHAM,VTBS
192,EHAM,WSSS
193,SBGR,LFPG
194,LPPT,KEWR
195,OMAA,VIDP
196,KCLT,KLAX
197,VTBS,LFPG
198,KCLT,KPHX
199,KIAD,KLAX
200,LLBG,LFPG
201,KSTL,KLAX
202,KSEA,KRDU
203,PANC,VHHH
204,KBNA,KPHX
205,VTBS,RKSI
206,KORD,KSEA
207,EDDK,VHHH
208,ELLX,OTHH
209,PANC,KSEA
210,LTBA,VABB
211,EGLL,OMAA
212,CYYZ,RKSI
213,EHAM,RKSI
214,KPHL,KOAK
215,KSEA,KJFK
216,KSTL,KSEA
217,KOAK,KTEB
218,EHAM,RKSI
219,KATL,KLAS
220,PANC,PADK
221,KATL,SKBO
222,LFPG,RKSI
223,CYVR,RKSI
224,EDDF,OMDB
225,KAPF,KLUK
226,EDDF,OMDB
227,SKBO,SBGR
228,EHAM,RKSI
229,KSDF,KBFI
230,UUWW,UNEE
231,EHAM,RKSI
232,EDDK,KSDF
233,KRFD,KSEA
234,MROC,KATL
235,KORD,KSAN
236,KSEA,KATL
237,KLAX,KDTW
238,KRFD,KPDX
239,KPHL,KLGB
240,CYVR,CYYZ
241,KATL,KSFO
242,LTFJ,OMDB
243,KSDF,KOAK
244,EHAM,KORD
245,KSDF,KMHR
246,EGLL,OMDB
247,PANC,KORD
248,KSDF,KPHX
249,VOBL,WSSS
250,EGLL,WSSS
251,KONT,KRDU
252,VHHH,VOMM
253,VTBS,OMDB
254,PANC,KORD
255,LIMC,OTHH
256,KSFO,KDTW
257,PANC,RJBB
258,NZAA,WSSS
259,EDDF,SBGR
260,KLAX,KFLL
261,VIDP,KORD
262,KMCI,KSEA
263,SBGR,LSZH
264,KATL,KSNA
265,KONT,KJFK
266,KATL,KPHX
267,KLAX,RJTT
268,LFPG,OMDB
269,CYHM,CYYC
270,KRFD,KMHR
271,KDFW,KSEA
272,KIND,KLAX
273,SKBO,KMIA
274,KJFK,KLAX
275,OMAA,YMML
276,KATL,KSLC
277,OMDB,VOMM
278,KSDF,KSAT
279,KLGA,KDFW
280,KPHX,KDFW
281,KEWR,KLAX
282,KIAH,KSFO
283,KSDF,KOAK
284,KORD,KLAX
285,VOBL,OTHH
286,KLAX,KMDW
287,KORD,KSNA
288,KEWR,KDFW
289,EGSS,KSDF
290,EHAM,VTBS
291,KSEA,RKSI
292,KORD,KSFO
293,KDFW,KPDX
294,KIAH,KLAX
295,ELLX,OTHH
296,VAJJ,VIDP
297,KBOS,EDDF
298,KSEA,KDTW
299,LFPG,OTHH
300,KLAX,OMAA
301,TJSJ,KJFK
302,KDFW,KSEA
303,KSFO,KORD
304,KONT,KATL
305,KDAL,KSAN
306,KFLL,KMSP
307,TJSJ,KATL
308,KSEA,KDFW
309,KSDF,KPDX
310,KDFW,KPSP
311,KLGA,KDEN
312,KDAL,KLAS
313,KSEA,KCMH
314,VABB,EGLL
315,YPPH,YBBN
316,KIAH,KLAS
317,KDCA,KDFW
318,KLAX,KDCA
319,VHHH,VECC
320,EDDF,FACT
321,KSFO,KBOS
322,KFLL,KDEN
323,EDDF,VHHH
324,KIAH,KSAN
325,KSDF,KABQ
326,KDEN,KRSW
327,KOAK,KMDW
328,OMDB,VIDP
329,KDFW,KSEA
330,EGLL,OMDB
331,VABB,EHAM
332,KLAX,KATL
333,KORD,KBOI
334,KSDF,KLAX
335,EHAM,OTHH
336,KPHL,KDFW
337,KDEN,KEWR
338,ELLX,OMDW
339,VIDP,KEWR
340,KLAX,KIAD
341,KLAS,KDTW
342,KLAX,KJFK
343,KSDF,KLAS
344,KDEN,KBOS
345,KPHL,KDEN
346,KDFW,KSAN
347,KLAX,KORD
348,KDFW,KBOS
349,OMDB,VHHH
350,KDEN,KFLL
351,UKBB,OMDB
352,KSDF,KBUR
353,KFLL,KMSP
354,KDTW,KPHX
355,KLAS,KJFK
356,KDAL,KVNY
357,KORD,KPDX
358,OTHH,VGZR
359,KSDF,KMHR
360,VHHH,UUEE
361,VABB,EGLL
362,KLAS,KFLL
363,KBOS,KRSW
364,KMSN,KPHX
365,KPDK,KDAL
366,KEWR,KDEN
367,KPHX,KPHL
368,KSTL,KPHX
369,KHOU,KSAN
370,KCLT,KSAN
371,VOMM,OMAA
372,KSDF,KBFI
373,KDFW,KSFO
374,KDEN,EDDF
375,KFLL,SPJC
376,KDCA,KDEN
377,KIAD,KDEN
378,KSDF,KSAN
379,KDFW,KSNA
380,KDTW,KLAS
381,KFLL,KDFW
382,LOWW,LEMD
383,KPHX,KDTW
384,KDFW,KSJC
385,KATL,KLAX
386,KDFW,KEWR
387,KLGA,KDEN
388,KFLL,KISP
389,KPDX,KDFW
390,KBWI,KDFW
391,ELLX,KATL
392,VIDP,KORD
393,KDEN,KMCO
394,KRSW,KMDW
395,KPHL,KDEN
396,RPLL,VTBS
397,VECC,OTHH
398,VHHH,OTHH
399,KSDF,KPHX
400,KCLT,KLAS
401,KDFW,03WA
402,KATL,KLAS
403,KRSW,KMSP
404,KBNA,KLAS
405,KATL,EHAM
406,KRDU,KDFW
407,KDFW,KSFO
408,KLAS,KMDW
409,KMIA,KDEN
410,LLBG,EBLG
411,KRDU,KDEN
412,SKBO,KMIA
413,KDFW,KLAS
414,KCLT,KLAX
415,KRFD,KPHX
416,KLGA,KMIA
417,KDFW,MROC
418,KIAD,KDFW
419,88PA,KPHX
420,VHHH,OMDB
421,KMSP,KPHX
422,KMKE,KPHX
423,KDTW,KLAS
424,KRSW,KDEN
425,VABB,OMAA
426,KFLL,KDEN
427,EGLL,LLBG
428,KJFK,KLAX
429,SKBO,KFLL
430,KBWI,KLAS
431,EHAM,FACT
432,KMSP,KFLL
433,PANC,KDFW
434,KLAX,KEWR
435,KDTW,KDFW
436,KSJC,KDFW
437,KMIA,KBWI
438,PANC,RKSI
439,KBOS,KMIA
440,OMSJ,VABB
441,KCLT,KPDX
442,KDTW,KDFW
443,KFLL,KJFK
444,KDEN,KMIA
445,EGLL,OTHH
446,KMSP,KPSP
447,KIWA,KATW
448,KDCA,KSEA
449,KORD,EDDF
450,KDFW,EGLL
451,KBOS,KMCO
452,KHOU,KLAS
453,KLAS,KMSP
454,KBNA,KLAX
455,VABB,EDDF
456,KIXD,KAPA
457,LFPG,RKSI
458,KSDF,KDEN
459,PANC,RKSI
460,KCLT,KPHX
461,KDAY,KDFW
462,KSDF,KDEN
463,KPGD,KTOL
464,KMSP,KLAX
465,KLAX,EHAM
466,KPHX,KMDW
467,UUDD,ULMM
468,KRSW,KDFW
469,KSUS,KAPA
470,CYVR,CYUL
471,EHAM,OMDB
472,SBKP,SSJC
473,KFLL,KDTW
474,KMIA,KDTW
475,KSEA,KSNA
476,KSFO,KMSP
477,KATL,KSAN
478,VOMM,OTHH
479,KIAD,KSEA
480,ENGM,OTHH
481,KTYS,KDEN
482,KEWR,KSEA
483,KFLL,KSLC
484,KCLT,KDFW
485,KDTW,KLAX
486,KTPA,KDFW
487,LEMD,SBGR
488,KSAN,KATL
489,KMIA,KDFW
490,KPSP,KDFW
491,KDTW,KSAN
492,CYYC,EHAM
493,KSDL,KAPF
494,KPHX,KORD
495,NZAA,YBBN
496,KIAH,KPHX
497,VOBL,EDDF
498,OMDB,LFPG
499,KATL,KSLC
500,KMIA,EDDF
501,KMSP,KRSW
502,SBBR,LPPT
503,KTPA,KDEN
504,KOMA,KPHX
505,KSAN,KDFW
506,KSEA,EHAM
507,KMSP,KSAN
508,CYYZ,CYYC
509,KDCA,KDFW
510,KBWI,KSTL
511,KFRG,KMCO
512,EGGW,LROP
513,KMDW,KFLL
514,KCLT,KSEA
515,KPHX,KMSP
516,CYVR,RKSI
517,KFAT,KDFW
518,EGLL,OMDB
519,KSEA,KDCA
520,KLGA,KFLL
521,KSLC,KJFK
522,OMDB,EDDF
523,KDEN,KDTW
524,KGSO,KDFW
525,KSAN,KMSP
526,KDTW,KRSW
527,KATL,KDEN
528,KEWR,KSLC
529,KDFW,RKSI
530,KATL,KPHX
531,KLAX,KMSP
532,OTHH,VIDP
533,KLGA,KFLL
534,KATL,KSEA
535,KDTW,KMCO
536,KMSP,KPHX
537,KSDL,KAPA
538,VHHH,RKSI
539,VIDP,EGLL
540,KPHX,KMSP
541,KRSW,KDTW
542,KSNA,KMSP
543,KLAX,KFLL
544,KBNA,KPHX
545,KDAL,KLAX
546,KDTW,KFLL
547,KSEA,KPSP
548,LPPT,LPPD
549,KSAT,KSEA
550,YSSY,WSSS
551,KBOS,KFLL
552,LLBG,KEWR
553,OTHH,VABB
554,KCMH,KDFW
555,KPSP,KMSP
556,KJFK,KMIA
557,KMSP,KLAS
558,KPHX,KATL
559,KTPA,KSAT
560,PANC,KORD
561,KMSP,KRSW
562,KMSP,KSEA
563,VIDP,OERK
564,CYYZ,CYVR
565,KBOS,KATL
566,KBNA,KDEN
567,KPDX,KMSP
568,LSZH,OMDB
569,KTPA,KDEN
570,KMIA,KJFK
571,OMDB,VIDP
572,KEWR,KLAS
573,KIAD,KMSP
574,KADS,KRVS
575,ZGSZ,PANC
576,EDDM,EDDK
577,KRDU,KSEA
578,KCLE,KDFW
579,KPHX,KBNA
580,KSEA,KMSP
581,KLGA,KMDW
582,KFLL,KLGA
583,KGEG,KPHX
584,KLAX,KDTW
585,NZAA,YSSY
586,KDTW,KFLL
587,KFLL,KMDW
588,KSFO,EDDF
589,RCTP,YSSY
590,KAFW,KBUR
591,KIAD,OERK
592,KMCI,KPHX
593,KMDW,KPHX
594,KSBP,KSEA
595,KORD,KLAS
596,VHHH,RKSI
597,KAUS,KLGB
598,KFLL,KEWR
599,KTPA,KSTL
600,KBFI,KSNA
601,KSTL,KDEN
602,PANC,KORD
603,NZAA,NZNV
604,KSDL,KAPA
605,KOMA,KATL
606,TJIG,KFLL
607,KIAD,KRSW
608,KSTL,KFLL
609,KSEA,KPHX
610,KLAX,KDFW
611,KTPA,KDCA
612,OMAA,RPLL
613,VHHH,PANC
614,KFLL,SPJC
615,KJFK,LIRF
616,KJFK,LIRF
617,KABE,KAFW
618,LEMD,LFPG
619,KDAL,KPHX
620,KLAX,RKSI
621,KSFO,EHAM
622,KORD,EDDF
623,KSAT,KPHX
624,KVNY,KTEB
625,KLAX,KMCO
626,KMSP,KATL
627,KDFW,EDDF
628,KTPA,KSEA
629,KDAL,KCMH
630,KONT,KDFW
631,KSTL,KMCO
632,KPDX,KLAX
633,WSSS,RCTP
634,KMDW,KRSW
635,CYYZ,EDDF
636,KFLL,KBOS
637,KRDU,KMDW
638,KFAT,KSEA
639,KDCA,KLAX
640,KSNA,KDFW
641,KMSP,KMIA
642,LLBG,KJFK
643,VIDP,EDDF
644,KEWR,KMCO
645,KSDF,KDFW
646,KIND,KMIA
647,KPHL,KATL
648,KSTL,KRSW
649,LDZA,EDDK
650,KEWR,KLAX
651,KSDF,KBOS
652,YMML,YBBN
653,KOPF,KTEB
654,KLAS,KDFW
655,KPHL,KMIA
656,KMSP,KDFW
657,KMIA,SKBO
658,KTPA,KDTW
659,KBWI,KSEA
660,VHHH,EBLG
661,KFLL,KDTW
662,KSTL,KSLC
663,ZGSZ,ZUCK
664,KPDX,KSAN
665,KPAE,KLAS
666,KPHL,KMCO
667,NZWN,NZNV
668,KAPA,KBNA
669,KOPF,KTEB
670,VIDP,LFPG
671,KPVD,KCLT
672,KIND,KLAX
673,KMIA,KSEA
674,LFPG,SBGL
675,PANC,KCVG
676,KPSP,KAPA
677,YBBN,YMML
678,KEWR,EKCH
679,VOBL,OTHH
680,KOAK,KPHX
681,KDEN,KBKL
682,KDFW,KLAX
683,KBOS,LFPG
684,KIAD,KMCI
685,KDFW,KDTW
686,KDTW,KSEA
687,KBWI,KPHX
688,KHOU,KLAS
689,VIDP,CYYZ
690,KDFW,KLAX
691,YSSY,NZAA
692,KSTL,KLAS
693,OMDB,VTBS
694,KEWR,KATL
695,OTHH,LEMD
696,KORL,KMDW
697,KPIA,KDFW
698,VIDP,VOBL
699,KJFK,KSFO
700,KMKE,KRSW
701,RCTP,RJBB
702,KDEN,KDAL
703,KLAS,XS89
704,KABQ,KLAX
705,KLGA,KDTW
706,PANC,KATL
707,KOKC,KPHX
708,KMSP,KMCO
709,ZGSZ,RPLC
710,KDEN,KMSP
711,KLAS,KATL
712,KSLC,KSJC
713,KSEA,KSFO
714,KMSP,KLAS
715,PANC,KSEA
716,KIAD,KSRQ
717,KMDW,KOAK
718,KLGA,KMCO
719,OTHH,LIMC
720,OMDB,VABB
721,KPHX,KDAL
722,CYVR,CYXE
723,KRSW,KDEN
724,KLAS,KMCI
725,KTPA,KSEA
726,KDAL,KFLL
727,KIAD,KSAT
728,YMML,YBMC
729,KSPI,KDFW
730,KMDW,KDAL
731,KSEA,KLAS
732,VIDP,VOBL
733,KBWI,KMDW
734,KIAD,KSEA
735,KRSW,7PS7
736,KDAL,KSNA
737,PANC,KMIA
738,KMSP,KLAS
739,KDFW,7PS7
740,KIAD,KHSV
741,VABB,OTHH
742,OMDB,KIAD
743,KDAL,KLAX
744,YSCB,YBBN
745,KBNA,KMSP
746,KIAD,02XS
747,KDFW,KPDX
748,SBGR,KMIA
749,KFLL,KBFI
750,KORD,KSAN
751,KSEA,KSJC
752,LLBG,EDDF
753,WMKK,VHHH
754,EKCH,EGNX
755,KSJC,KPDX
756,KJFK,KSEA
757,KIAD,KDFW
758,NZAA,YBBN
759,KIND,KBOS
760,KIAD,EDDF
761,SBBR,SBRJ
762,KDFW,KLAS
763,KDFW,SPJC
764,VOBL,EDDF
765,EGSS,EDDP
766,KLNS,7PS7
767,SBGR,LPPT
768,KBWI,KMCI
769,OTHH,LFPG
770,KLAS,KOMA
771,KOPF,KTEB
772,KOAK,KSEA
773,KATL,KATW
774,KVNY,KDAL
775,KPHL,KMDW
776,KATL,KFLL
777,LIMC,EDDK
778,KSTL,KPHX
779,KBWI,KSDF
780,KORD,KDCA
781,KIND,KDEN
782,KPHX,KDFW
783,ZGSZ,ZUCK
784,KLGA,KEWR
785,KDAL,KAPA
786,KMIA,KLGA
787,OTHH,EGSS
788,KRSW,KMSP
789,KLAS,KBOI
790,KDFW,KLAX
791,KATL,KBUF
792,KSDF,KPHL
793,OMDB,EHAM
794,KMDW,KLAX
795,KLGA,KCLT
796,YSSY,YPAD
797,KTPA,02XS
798,KFLL,KPIE
799,KORD,EHAM
800,LLBG,KJFK
801,VTBS,OTHH
802,KFLL,KSTL
803,KBUF,KMDW
804,KDFW,KPHX
805,KSLC,KSAN
806,KDFW,KMCO
807,KMKE,KPHX
808,KMIA,EHAM
809,KSEA,KPHX
810,KJFK,LIMC
811,KIAD,KSTL
812,KDEN,KSFO
813,KBNA,KPHL
814,KATL,KMSP
815,SBGR,EDDF
816,KTPA,KORD
817,KIAD,KBNA
818,KORD,KBOS
819,VIDP,LFPG
820,KPDX,KSFO
821,KHSV,KDFW
822,KCMI,KDFW
823,KBNA,KMDW
824,KBOS,KLAX
825,KDAL,KSTL
826,KPWK,KOPF
827,KATL,KMDW
828,KBOI,KHIO
829,EGNX,EDDP
