Index,Source,Target
1,KSJC,KLAX
2,KFFZ,KAVQ
3,8CL1,KCRQ
4,KTEB,KLDJ
5,CA35,KOAK
6,EDDP,EGNX
7,CYPK,CZBB
8,KTOA,KSNA
9,KPWT,KPAE
10,1CA6,KMYF
11,9WA7,KRNT
12,KDEN,KLGA
13,KMIA,KCMH
14,KDFW,KDEN
15,KDET,KPTK
16,KFUL,KTOA
17,KJFK,KMIA
18,KPOC,KFUL
19,KAJO,KCNO
20,KOLU,KLNK
21,KRHV,9CL2
22,8OR6,KHIO
23,YBMC,YCDR
24,KVNY,KSMO
25,KPOC,KBUR
26,KFRG,KISP
27,KPNM,KMSP
28,KRAL,KAJO
29,KCRQ,KMYF
30,KOWD,KPYM
31,KRAL,KEMT
32,KRNM,KSEE
33,97IA,KCBF
34,KMIA,EGLL
35,WN13,KBFI
36,KLGB,KTOA
37,WN13,KBFI
38,CYTZ,CYUL
39,KPHX,KSTL
40,KSEA,KBOI
41,4SC4,SC43
42,KRDU,KLAX
43,KADS,TA06
44,KRHV,KHWD
45,SBBR,SSJC
46,KF29,KPWA
47,KACY,KRSW
48,VOMM,VOBL
49,KCMA,KLGB
50,KBWI,KMTN
51,KHMT,KSEE
52,KPWK,KDPA
53,CA84,KMYF
54,KBUR,KCMA
55,KCPM,KLGB
56,KMCC,KSAC
57,CBQ2,CZBB
58,97IA,KCBF
59,K4N1,KCDW
60,KCJR,KHEF
61,KFFZ,KPAN
62,CYVR,CYYC
63,KPHL,KSYR
64,YWLX,YSBK
65,KOAK,KHWD
66,88PA,KMDW
67,1NK5,KCDW
68,KOKC,KDFW
69,KPHL,KATL
70,KOAK,KSEA
71,KCCB,KPOC
72,KMMV,KHIO
73,76WA,96WA
74,KINJ,KGPM
75,KLGA,KDFW
76,KMDW,K06C
77,KCPS,7IS9
78,KCPM,KLGB
79,YPAD,YSSY
80,WSSS,VABB
81,CYUL,EDDF
82,KMSN,KRAC
83,GA53,KPDK
84,KPRB,KSBP
85,OK25,KRVS
86,KATL,KRDU
87,KPHX,KNYL
88,KATL,KMSN
89,KE16,KRHV
90,KFAT,KSLC
91,KMCI,KMSP
92,KORD,KMSP
93,KHPN,KDCA
94,CYUL,GMMN
95,SBBR,SBKP
96,KRNM,KMYF
97,CYYJ,CYYC
98,KOAK,KSLC
99,KDFW,KDEN
100,KORD,KPHL
101,KRYY,KVPC
102,K2K9,KRVS
103,KFNL,KAPA
104,6GA0,KPDK
105,KLAX,KPDX
106,1OK0,KRVS
107,KLAX,KMCI
108,KAUS,KSAN
109,KBDN,50OR
110,IA01,KCBF
111,KMYF,KSDM
112,KATL,KPHX
113,KJFK,LFPG
114,KLGA,KBNA
115,03OK,KRVS
116,KPHX,KSFO
117,KMDW,KALB
118,KDEN,KDTW
119,KLGB,KPHX
120,KMSP,KSNA
121,KORD,KPHL
122,KPHL,KLAS
123,KDTW,KLAX
124,KTDF,KRDU
125,6PA3,KMDT
126,KRDU,KLGA
127,OMDB,LTFJ
128,KLGA,KSTL
129,KPYM,KOWD
130,KBFI,KPWT
131,KPHX,KCOS
132,NZHN,NZWN
133,KATL,KMDW
134,KLAX,KTUS
135,KLAX,KSFO
136,KPIA,KORD
137,YPAD,YMML
138,KMMV,OR28
139,44IS,KSTL
140,KPWT,KRNT
141,KOAK,KPDX
142,KSLC,KLAS
143,KCMH,KDEN
144,YSSY,YMML
145,KCLT,KEWR
146,KLGA,KBNA
147,KPIT,KATL
148,KAUS,KDEN
149,KDAY,KDFW
150,KSNA,KSEA
151,KLAX,KPHX
152,KPOC,KEMT
153,YMEN,YTDN
154,KLZU,KPDK
155,KLGB,KSNA
156,KPDX,KPHX
157,XA99,K52F
158,KBNA,KCLT
159,KAFW,KABE
160,KDFW,KPHX
161,KTUL,KATL
162,KATL,KOKC
163,YSSY,YSCB
164,KMDW,KRDU
165,UWWW,UUDD
166,KMIA,KLAX
167,EDDV,LTFJ
168,KMSP,KDFW
169,KCLT,KATL
170,KEWR,EBBR
171,KBOI,KOAK
172,EGNX,EDDP
173,KDEN,KSTL
174,KLAS,KSFO
175,KRDU,KBNA
176,KPHX,KMCO
177,RJFF,RJOO
178,KNYL,KPHX
179,27CL,KPHX
180,KMCO,KMIA
181,KOKC,KATL
182,KBNA,KMDW
183,KHOU,KBWI
184,KMCI,KDEN
185,KSTL,KSLC
186,KMSP,KDTW
187,KAVX,KFUL
188,RJTT,RCSS
189,KSMO,KSBA
190,KDCA,KJFK
191,KJYO,KOKV
192,KMKE,KDFW
193,KMIA,KEWR
194,KDEN,KLGA
195,KPHL,KATL
196,KDEN,KSLC
197,KMYF,KTOA
198,KFLL,KBOS
199,RCTP,RJFF
200,GOBD,LFPG
201,KATL,KBWI
202,KDCA,KBOS
203,KPHX,KLAS
204,CYVR,CYYJ
205,KCLT,KORD
206,55AZ,KFFZ
207,YSSY,YMHB
208,KBWI,KRDU
209,KDAL,KSAN
210,KORD,KIAD
211,KPHL,KMSP
212,54OK,KRVS
213,KBTL,K9D9
214,KRDU,KEWR
215,KMDW,KLAS
216,YBCG,YSCB
217,KMIA,KATL
218,SBKP,SSJC
219,KVIS,KOAK
220,KOKC,KDFW
221,KATL,KMCO
222,KEUL,KBOI
223,11TX,KF69
224,KJFK,KBNA
225,RJOO,RJTT
226,KAUS,KSFO
227,KBOS,KBWI
228,KPHX,KTUL
229,KOAK,KSNA
230,KLGA,KDCA
231,KDCA,KTYS
232,YMEN,YLTV
233,KORD,KBOS
234,KDFW,KSDF
235,KDFW,CYYC
236,KEWR,KBOS
237,KSEA,KGEG
238,KSTL,MU65
239,KDEN,KFLL
240,KJFK,KCLT
241,RJFF,RJTT
242,KAUS,KDTW
243,KSBP,KONT
244,KMDW,KCMH
245,KMKE,KORD
246,KSEA,KSJC
247,KPHL,KPHX
248,SBBR,SBGR
249,KBOS,KRDU
250,KDFW,KORF
