Index,Source,Target
1,SBGR,EIDW
2,RKSI,KDFW
3,VHHH,KLAX
4,WSSS,LFPG
5,EHAM,EGSS
6,KORD,EDDF
7,RPLL,KJFK
8,YSSY,OMAA
9,YSSY,OMDB
10,KCVG,RKSI
11,SBKP,KMIA
12,YSSY,OTHH
13,CYYZ,RKSI
14,YMML,OTHH
15,EHAM,SPJC
16,KSEA,RCTP
17,KORD,RKSI
18,EDDF,RKSI
19,OMDB,YSSY
20,VHHH,OMDB
21,ELLX,SBGR
22,RPLL,KLAX
23,VHHH,EHAM
24,KSFO,WSSS
25,RKSI,KLAX
26,RCTP,LTBW
27,EDDF,SBGR
28,KSEA,RKSI
29,YMML,OMDB
30,RPLL,LTBW
31,RJBB,OMDB
32,RKSI,KLAX
33,YPPH,OTHH
34,EGLL,KMIA
35,EGLL,RKSI
36,RKSI,OMDB
37,EGLL,KLAX
38,KDFW,RKSI
39,RCTP,KLAX
40,VHHH,LTBW
41,WSSS,NZCH
42,PANC,VHHH
43,LSZH,VHHH
44,EGLL,KSFO
45,UUEE,VHHH
46,CYVR,RKSI
47,EGLL,KDFW
48,RCTP,KSFO
49,RKSI,LTBW
50,SBGR,OMDB
51,KATL,KJFK
52,RKSI,OTHH
53,RCTP,EDDF
54,WMKK,LTBW
55,RKSI,EHAM
56,WSSS,LTBW
57,EHAM,WSSS
58,RPLL,OMDB
59,RCTP,KSEA
60,EGLL,KATL
61,EGLL,KLAX
62,RPLL,OMAA
63,WMKK,EGLL
64,RCTP,KLAX
65,KSDL,KBOI
66,LEMD,RKSI
67,VHHH,PANC
68,RCTP,EHAM
69,EDDF,KORD
70,WSSS,EGLL
71,VHHH,EGLL
72,VHHH,YSSY
73,WSSS,EDDF
74,WSSS,EHAM
75,FACT,EDDF
76,VHHH,YMML
77,RCTP,KLAX
78,VHHH,EDDF
79,WSSS,LSZH
80,EGLL,KORD
81,CYWG,CYHM
82,VHHH,EGLL
83,VHHH,KLAX
84,WSSS,LFPG
85,EDDF,RKSI
86,KORD,RJTK
87,KLAX,YSSY
88,VHHH,EGLL
89,EHAM,SBGR
90,OTHH,WMKK
91,FACT,EGLL
92,KATL,RKSI
93,VHHH,KSFO
94,KIAD,RKSI
95,EDDF,KATL
96,VHHH,EHAM
97,VHHH,OMDB
98,SBGR,KMIA
99,KJFK,RKSI
100,UUEE,VHHH
101,LIRF,KEWR
102,KJFK,RKSI
103,KSUU,KADW
104,EGLL,CYYZ
105,WSSS,EHAM
106,WSSS,OMDB
107,YMML,OTHH
108,RJBB,KUTA
109,RKSI,EDDF
110,VIDP,KEWR
111,EGLL,KLAX
112,KLAX,RKSI
113,EGLL,KIAD
114,VABB,KEWR
115,WSSS,YSSY
116,RKSI,EDDF
117,KDTW,RKSI
118,KBOS,KSFO
119,WSSS,LSZH
120,LEMD,CYYZ
121,RKSI,LOWW
122,SBGR,KMIA
123,PANC,RJBB
124,EGLL,VIDP
125,LFPG,RJTK
126,WSSS,LTBW
127,WSSS,OTHH
128,KEWR,OMDB
129,WMKK,OMDB
130,WSSS,OMAA
131,PANC,RKSI
132,WMKK,OMAA
133,VIDP,OMDB
134,ETAR,KBWI
135,EHAM,RKSI
136,KLAX,RKSI
137,KORD,PANC
138,OMDB,VHHH
139,EDDF,VOMM
140,KBWI,KOAK
141,PANC,RKSI
142,OTHH,YSSY
143,KLAX,RCTP
144,EDDF,RKSI
145,PANC,RJBB
146,WMKK,OTHH
147,RKSI,PANC
148,OMDW,VHHH
149,YPPH,WMKK
150,EDDF,RKSI
151,KLAX,RKSI
152,71KY,OBBI
153,KATL,RKSI
154,SBGR,LEMD
155,CYYC,CYVR
156,KEWR,KSFO
157,KJFK,LTBW
158,KIAD,KSFO
159,KLAX,KJFK
160,LPPT,SBGR
161,LFPG,CYVR
162,EGLL,RJTK
163,KJFK,KLAX
164,PANC,KATL
165,KCLT,KLAX
166,KPHL,KLGB
167,KEWR,KLAX
168,CYVR,RKSI
169,RKSI,KLAX
170,EDDF,VOBL
171,SBGR,EGLL
172,PANC,VHHH
173,KEWR,KPHX
174,PANC,KSEA
175,EDDK,20II
176,RKSI,PANC
177,KSFO,RKSI
178,KSDF,KMSP
179,VHHH,PANC
180,KPHL,KLAS
181,EGLL,RJTK
182,KPHL,KOAK
183,KEWR,KLAS
184,KDAL,KLAX
185,KBWI,KLAS
186,CYYZ,VHHH
187,EDDF,OTHH
188,CYVR,VHHH
189,KLAX,KJFK
190,EBLG,KJFK
191,KSFO,KBOS
192,RJBB,KOAK
193,KJFK,KLAX
194,SBGR,LFPG
195,VABB,KEWR
196,KBOS,KLAX
197,RKSI,PANC
198,VHHH,OTHH
199,KPHL,KDEN
200,KSMF,KJFK
201,KJFK,PANC
202,EHAM,RCTP
203,WSSS,YSSY
204,KSEA,KATL
205,KLAX,KEWR
206,LPPT,KEWR
207,KSFO,KJFK
208,VHHH,PANC
209,KLAS,KJFK
210,KORD,PANC
211,KLAX,EDDP
212,VIDP,VHHH
213,KPHL,KPHX
214,KDTW,KSEA
215,KLAX,KDCA
216,KPHL,KLAX
217,KSFO,KORD
218,KSDF,KBUR
219,KEWR,KLAX
220,KORD,OMDB
221,LSZH,KEWR
222,EGLL,OMAD
223,KSDF,KOAK
224,UUWW,UNEE
225,KSDF,KMHR
226,PANC,KORD
227,EGLL,SBGR
228,KATL,KSAN
229,KORD,RKSI
230,KLAS,KFLL
231,EHAM,RKSI
232,RCTP,EHAM
233,88PA,KLAX
234,KDTW,KLAS
235,SBGR,LSZH
236,KSDF,KFAT
237,KPDX,KATL
238,KISM,KLAX
239,CYVR,CYUL
240,VOBL,WSSS
241,EHAM,WSSS
