Index,Source,Target
1,KLAX,EHAM
2,SBGR,LIRF
3,EHAM,EGSS
4,WSSS,LIMC
5,VHHH,YSSY
6,VHHH,KLAX
7,KLAX,RPLL
8,YSSY,YMML
9,VHHH,EDDF
10,YSSY,OMDB
11,YBBN,OMDB
12,WSSS,KSFO
13,KSFO,EDDF
14,YMML,OTHH
15,YSSY,OTHH
16,OMDB,YMML
17,RCTP,KJFK
18,EHAM,SPJC
19,RCTP,CYYZ
20,VHHH,OMDB
21,WSSS,KLAX
22,SBGR,KMIA
23,VHHH,EHAM
24,OMDB,EDDF
25,EDDF,KSFO
26,KLAX,VHHH
27,EHAM,RJBB
28,PANC,VHHH
29,RJBB,OMDB
30,YPPH,OMDB
31,MROC,KSFO
32,YPPH,OTHH
33,EGLL,KLAX
34,RCTP,YSSY
35,EGLL,KSEA
36,RCTP,EDDF
37,RJBB,LFPG
38,RCTP,KLAX
39,WSSS,LFPG
40,KATL,KDTW
41,LEMD,SKBO
42,EGLL,KLAX
43,EGLL,KATL
44,LSZH,KEWR
45,EGLL,KLAX
46,RPLL,OMAA
47,RPLL,OMDB
48,KDVT,KFTW
49,RCTP,KLAX
50,LEMD,MROC
51,RCTP,KSFO
52,RPLL,OTHH
53,WSSS,NZCH
54,EGLL,KORD
55,RCTP,CYVR
56,PANC,VHHH
57,WSSS,EGLL
58,EPWA,KORD
59,WSSS,EHAM
60,VHHH,YSSY
61,EDDF,KORD
62,RCTP,EHAM
63,RJBB,EHAM
64,PANC,VHHH
65,WSSS,EDDF
66,KMIA,SBGR
67,VHHH,YMML
68,EDDF,WSSS
69,KLAX,RCTP
70,RCTP,LFPG
71,EDDF,VABB
72,RJTT,EDDF
73,VHHH,KLAX
74,WSSS,LFPG
75,RCTP,KSEA
76,EGLL,KATL
77,RJBB,EHAM
78,UUEE,VHHH
79,FACT,EDDF
80,VHHH,EGLL
81,LEMD,KMIA
82,KFLL,KTEB
83,EPWA,CYYZ
84,LIRF,KEWR
85,KEWR,VABB
86,WSSS,EGLL
87,KORD,ELLX
88,SPJC,LEMD
89,KIAD,OMDB
90,EDDF,RJTT
91,EGLL,KORD
92,KDFW,RJAK
93,VHHH,PANC
94,OERK,RPLL
95,KDFW,RJAK
96,RCTP,KLAX
97,EPWA,KJFK
98,FACT,OTHH
99,KMIA,LEMD
100,VHHH,EHAM
101,VHHH,KSFO
102,UUEE,VHHH
103,LFPG,KJFK
104,WMKK,OMDB
105,EGLL,CYYZ
106,EGLL,KJFK
107,KLAX,KJFK
108,CYYZ,VIDP
109,KJFK,ELLX
110,OMDB,UUWW
111,OTHH,YMML
112,OTHH,WSSS
113,KMIA,KPHX
114,KJFK,VIDP
115,VHHH,UUEE
116,KLAX,EBLG
117,EGLL,KLAX
118,OBBI,RPLL
119,KORD,SBGR
120,EGLL,KIAD
121,KORD,ELLX
122,LPPT,SBGR
123,WMKK,OMDB
124,KSFO,VIDP
125,OTHH,YSSY
126,LFPG,RJTT
127,LFPG,RJTT
128,KJFK,EBLG
129,SPJC,KMIA
130,EINN,KBOS
131,VHHH,UUEE
132,CYVR,VIDP
133,KMIA,UUEE
134,VOBL,EDDF
135,SBGR,LEMD
136,PANC,KLCK
137,EGLL,OMDB
138,VIDP,KEWR
139,RCTP,PANC
140,KLAX,RCTP
141,KMIA,KJFK
142,VHHH,LSZH
143,KLAX,YSSY
144,WMKK,OTHH
145,CYUL,KLAX
