Index,Source,Target
1,SBGR,EIDW
2,WSSS,LIMC
3,KORD,YSSY
4,KCVG,RKSI
5,KSDF,PANC
6,YSSY,OMDB
7,KEWR,VABB
8,EDDF,RKSI
9,SBKP,KMIA
10,SBKP,KMIA
11,KJFK,RKSI
12,RKSI,PANC
13,KSFO,RKSI
14,YSSY,OTHH
15,YMML,OTHH
16,WMKK,EHAM
17,EHAM,RCTP
18,RCTP,KSFO
19,EHAM,VHHH
20,PANC,VHHH
21,KLAX,RKSI
22,EGLL,KLAX
23,RPLL,KLAX
24,EGLL,VOBL
25,ELLX,SBGR
26,FAGM,OTHH
27,YPPH,OTHH
28,EHAM,RJBB
29,EGLL,KDFW
30,PANC,VHHH
31,VHHH,LFPG
32,VHHH,UUEE
33,EHAM,KATL
34,KEWR,VIDP
35,LPPT,SBGR
36,RCTP,KSFO
37,RCTP,EDDF
38,RCTP,KSEA
39,VHHH,EGLL
40,WSSS,EGLL
41,EHAM,KORD
42,RJBB,OMDB
43,EHAM,VHHH
44,RKSI,OTHH
45,EHAM,VABB
46,KJFK,RKSI
47,RCTP,KLAX
48,KLAX,RKSI
49,RCTP,LFPG
50,RCTP,KSFO
51,VHHH,YSSY
52,RKSI,EHAM
53,PANC,VHHH
54,WSSS,EHAM
55,EDDF,KORD
56,VHHH,EGLL
57,WSSS,EDDF
58,RCTP,KLAX
59,RKSI,OMDB
60,WSSS,EHAM
61,VHHH,EGLL
62,EDDF,RKSI
63,RPLL,OMAA
64,KMIA,SAEZ
65,RKSI,OTHH
66,KLAX,YSSY
67,EDDF,KORD
68,KDFW,RKSI
69,PANC,RJBB
70,CYYZ,RKSI
71,EGLL,KIAD
72,EDDF,KATL
73,EDDF,RKSI
74,RKSI,PANC
75,SPJC,LEMD
76,KORD,VIDP
77,PANC,RKSI
78,RCTP,EHAM
79,EBLG,KJFK
80,EDDF,RKSI
81,KORD,VHHH
82,ZGSZ,PANC
83,RKSI,EDDF
84,WMKK,LTBA
85,KAPA,02XS
86,LIRF,KEWR
87,EGLL,CYYZ
88,WSSS,OMDB
89,SAEZ,EHAM
90,WSSS,LSZH
91,PANC,RJBB
92,LFPG,KORD
93,SBGR,OMDB
94,EDDF,RKSI
95,PANC,VHHH
96,VHHH,LSZH
97,KORD,RKSI
98,KLAX,VHHH
99,PANC,RKSI
100,KLAX,RKSI
101,EGLL,VHHH
102,PANC,VHHH
103,EDDP,KCVG
104,EHAM,KIAD
105,VHHH,OTHH
106,KJFK,RKSI
107,KLGA,60CO
108,RKSI,UUEE
109,LEMD,OMDB
110,EDDF,RKSI
111,KJFK,RKSI
112,VHHH,PANC
113,WMKK,OMAA
114,KORD,UUEE
115,WSSS,OMAA
116,KDTW,RKSI
117,SBGR,EHAM
118,WSSS,OTHH
119,PANC,RKSI
120,KORD,RKSI
121,KSDF,KBFI
122,KSFO,YSSY
123,YMML,YPPH
124,SPJC,LEMD
125,CYVR,VHHH
126,EDDF,KJFK
127,SBGR,EGLL
128,RKSI,EHAM
129,KDFW,PANC
130,PANC,PADK
131,OMDB,VHHH
132,PANC,RJBB
133,KEWR,KLAX
134,WMKK,OTHH
135,FAGM,EHAM
136,OTHH,WSSS
137,KSDF,KONT
138,KORD,PANC
139,KLAX,RKSI
140,KATL,PANC
141,EHAM,CYUL
142,EINN,KORD
143,OTHH,VHHH
144,KORD,PANC
145,OMDW,VHHH
146,EGLL,WSSS
147,KORD,OMDB
148,LFPG,WSSS
149,EBBR,KCVG
150,EHAM,RCTP
151,CYVR,RKSI
152,VIDP,LFPG
153,RKSI,PANC
154,KPHL,KOAK
155,VHHH,OMDB
156,EDDF,SBGR
157,KORD,EDDF
158,OTHH,WSSS
159,KPHL,KLGB
160,PANC,RKSI
161,KLAX,EHAM
162,EDDF,VOBL
163,WSSS,VOBL
164,PANC,KSDF
165,KLAX,RKSI
166,SAEZ,EGLL
167,PANC,RKSI
168,KATL,KSTL
169,EHAM,RKSI
170,PANC,KSEA
171,KJFK,VHHH
172,KATL,KSEA
173,RKSI,PANC
174,KDCA,60CO
175,KDTW,KSEA
176,PANC,67KY
177,RJBB,KOAK
178,EGLL,CYUL
179,KLAX,PANC
180,EGLL,OMDB
181,KSEA,KPHL
182,KSFO,KEWR
183,OMDB,VHHH
184,EHAM,SBGR
185,EHAM,WSSS
186,KPHL,KSMF
187,KSAN,KJFK
188,KMIA,SBGR
189,EDDF,SBGR
190,KDFW,PANC
191,KONT,KRDU
192,ESSA,OTHH
193,KSMF,KJFK
194,KSFO,KATL
195,KMIA,SPJC
196,KLAX,KJFK
197,KSEA,RKSI
198,KLAS,KJFK
199,CYYZ,VHHH
200,KSMF,KATL
201,PANC,VHHH
202,KSDF,KBUR
203,KLAX,KJFK
204,KSEA,KJFK
205,KFLL,60CO
206,RCTP,PANC
207,EDDF,VIDP
208,KBOS,KLAX
209,KSDF,KPDX
210,LFPG,KATL
211,WSSS,EKCH
212,EDDK,KSDF
213,PANC,RKSI
214,KSEA,KATL
215,KSDF,KLAX
216,KLAX,KDCA
217,KSDF,KBFI
218,PANC,KDFW
219,KPHX,KBOS
220,KSDF,KSAN
221,RKSI,LOWW
222,KCVG,OBBI
223,KATL,KLAX
224,KDAL,KSEA
225,KLAX,KEWR
226,CYVR,CYYZ
227,KLAX,KBOS
228,RCTP,LTBA
229,VHHH,KLAX
230,KCLT,KSAN
231,TJSJ,KEWR
232,OMDB,LFPG
233,KSFO,KBOS
234,KORD,KSEA
235,KSDF,KLAS
236,KLAX,KDCA
237,CYYZ,LLBG
238,KMSP,KLAX
239,KSFO,KFLL
240,KOAK,KMDW
241,KCLT,KSMF
242,KBFI,KVNY
243,KBOS,60CO
244,KLAS,KATL
245,LFPG,OTHH
246,EGLL,VIDP
247,KATL,KLAS
248,OMDB,VHHH
249,TJSJ,KJFK
250,PANC,KCVG
251,KSFO,KEWR
252,VABB,EDDF
253,OTHH,YSSY
254,KCLT,KSEA
255,KORD,VHHH
256,KLAX,EDDF
257,KPSP,KJFK
258,EGLL,VHHH
259,KSEA,KBOS
260,KLAS,KDCA
261,KCLT,KLAS
262,EDDK,VHHH
263,KRFD,KPHX
264,LFPG,OTHH
265,ELLX,OMDW
266,KSDF,KONT
267,KIAD,60CO
268,VABB,VIDP
269,KLAX,RCTP
270,VIDP,EGLL
271,CYYZ,EDDF
272,LLBG,KJFK
273,ELLX,OMDW
274,KORD,KLAS
275,KLAS,KMDW
276,ELLX,SBKP
277,KLAX,RJTT
