Index,Source,Target
1,KJFK,LOWW
2,YSSY,OMDB
3,WSSS,EDDF
4,PANC,RJAA
5,SBKP,KMIA
6,KORD,YSSY
7,BIRK,CHD4
8,KLAX,VHHH
9,VHHH,LOWW
10,WSSS,KSFO
11,RCTP,KJFK
12,SBSP,SBKP
13,YSSY,OMDB
14,VHHH,EBLG
15,OTHH,KJFK
16,WSSS,KLAX
17,RCTP,EHAM
18,YSSY,OTHH
19,WSSS,YBBN
20,VHHH,CYYZ
21,RPLL,KLAX
22,ELLX,SBGR
23,YMML,OTHH
24,EGLL,KLAX
25,KSEA,RCTP
26,YPPH,OMDB
27,EHAM,VHHH
28,KJFK,VHHH
29,ELLX,SBKP
30,RCTP,KLAX
31,CYYZ,VHHH
32,RJTT,LFPG
33,RCTP,KLAX
34,RJBB,OMDB
35,KLAX,EBLG
36,PANC,VHHH
37,EGLL,VOBL
38,LEMD,SKBO
39,EPWA,KORD
40,VHHH,PANC
41,VABB,OMSJ
42,WSSS,LIMC
43,EDDF,KATL
44,UUEE,KLAX
45,LPPT,SBGR
46,PANC,RCTP
47,EDDF,KIAD
48,RJTT,CYYZ
49,EHAM,KATL
50,VHHH,EDDF
51,RJTT,EDDF
52,EGLL,KLAX
53,RCTP,EDDF
54,VHHH,EGLL
55,WSSS,NZCH
56,EGLL,KORD
57,RCTP,KSEA
58,EGLL,VHHH
59,LSZH,KEWR
60,EPWA,KEWR
61,WSSS,EGLL
62,KIAD,OMDB
63,RCTP,CYVR
64,KLAX,KEWR
65,RCTP,LFPG
66,VHHH,YSSY
67,PANC,VHHH
68,VHHH,KLAX
69,RPLL,OMDB
70,WSSS,EHAM
71,RCTP,KSFO
72,RCTP,KSFO
73,EDDF,KORD
74,RCTP,KLAX
75,WSSS,EDDF
76,EDDF,RJTT
77,KMIA,LLBG
78,EGLL,KIAD
79,VHHH,PANC
80,VHHH,EGLL
81,VHHH,YMML
82,WSSS,LFPG
83,RCTP,EHAM
84,RCTP,LTBA
85,EGLL,KLAX
86,WSSS,EDDM
87,WSSS,EKCH
88,RPLL,OTHH
89,OTHH,YMML
90,KMIA,SBGR
91,VHHH,EDDF
92,OTHH,YSSY
93,KORD,VHHH
94,KLAX,YSSY
95,FACT,OTHH
96,WSSS,EGLL
97,KORD,VIDP
98,VIDP,RJAA
99,PANC,RJBB
100,WSSS,YSSY
