Index,Source,Target
1,KLAX,EDDF
2,KLAX,LOWW
3,SBGR,LIRF
4,KLAX,EDDF
5,KSFO,VIDP
6,SBKP,KMIA
7,WSSS,KSFO
8,EHAM,WSSS
9,EGSS,EDDF
10,VHHH,KJFK
11,YSSY,OMDB
12,RCTP,KJFK
13,YMML,OTHH
14,OTHH,KJFK
15,WSSS,KLAX
16,YSSY,OTHH
17,YMML,OTHH
18,RCTP,KLAX
19,VHHH,EDDF
20,ELLX,SBGR
21,RPLL,KLAX
22,EGLL,KLAX
23,EGLL,KSFO
24,WSSS,LFPG
25,EGLL,KLAX
26,RJBB,OMDB
27,RCTP,EDDF
28,KLAX,WSSS
29,WSSS,LIMC
30,KIAD,OMDB
31,RJBB,LFPG
32,KORD,KMIA
33,SBKP,KMIA
34,LEMD,SKBO
35,VHHH,UUEE
36,KJFK,OMDB
37,EGLL,KLAX
38,WSSS,NZCH
39,LIRF,KEWR
40,RCTP,EHAM
41,KLAX,RCTP
42,WSSS,EGLL
43,RJTT,EDDF
44,RCTP,KSFO
45,KLAX,VHHH
46,RCTP,KSFO
47,KSEA,PANC
48,EDDF,KORD
49,RCTP,KLAX
50,WSSS,EHAM
51,VHHH,LSZH
52,EDDF,RJTT
53,EGLL,KATL
54,YMML,WSSS
55,RCTP,KLAX
56,LPPT,SBGL
57,WSSS,EDDF
58,KEWR,VIDP
59,WSSS,EHAM
60,WMKK,NZAA
61,VHHH,YSSY
62,VHHH,KLAX
63,WSSS,LFPG
64,WMKK,YSSY
65,SPJC,LEMD
66,WSSS,EDDM
67,VHHH,YMML
68,WSSS,UUDD
69,EDDF,KATL
70,KMIA,LLBG
71,RCTP,NZAA
72,PANC,RJBB
73,OTHH,YMML
74,PANC,RCTP
75,KLAX,YSSY
76,OTHH,WSSS
77,RPLL,OTHH
78,LFPG,RJTT
79,KORD,VIDP
80,KMIA,UUEE
81,EBLG,KJFK
82,OTHH,YSSY
83,EGLL,VHHH
84,EDDF,VOBL
85,RPLL,OMDB
86,SBGR,LEMD
87,WSSS,EGLL
88,VHHH,PANC
89,WSSS,LSZH
90,PANC,VHHH
91,WSSS,YSSY
92,OMDB,SBGR
93,EGLL,VHHH
94,EDDK,KSDF
95,EGLL,KJFK
96,EDDF,VOMM
97,VABB,KEWR
98,GOBD,OMDB
99,WMKK,OMDB
100,KDTW,KATL
101,VHHH,OMDB
102,WMKK,LSZH
103,KORD,KSMF
104,WSSS,LEBL
105,VIDP,KEWR
106,PANC,KMIA
107,KDFW,OMDB
108,KJFK,PANC
109,EDDF,OTHH
110,UAAA,EHAM
111,KIAD,KSFO
112,SBGL,LPPT
113,EGLL,OTHH
114,ENGM,OTHH
115,PANC,RJBB
116,KEWR,KSFO
117,KSEA,MMUN
118,WMKK,OMDB
119,KIAD,KHHR
120,KSDF,KONT
121,KPHL,KOAK
122,KEWR,KLAX
123,KLAX,ELLX
124,KCLT,KSFO
125,KPHL,KLGB
126,KEWR,KLAX
127,KMIA,KBOS
128,EHAM,WSSS
129,LIMC,KJFK
130,KLAX,RCTP
131,KCLT,KSAN
132,WSSS,OTHH
133,EGLL,WSSS
134,VHHH,EDDF
135,TLPL,KATL
136,WSSS,YSSY
137,EDDK,KSDF
138,KSFO,KJFK
139,KEWR,LLBG
140,WMKK,OTHH
141,OMDB,WSSS
142,MMUN,KLAX
143,KMIA,KLAX
144,LKPR,OMDB
145,KBWI,KHOU
146,PANC,VHHH
147,EHAM,RCTP
148,KLAS,KBOS
149,KCLT,KLAX
150,EDDF,WSSS
151,PANC,KSEA
152,EGLL,VIDP
153,RJBB,KOAK
154,KJFK,EDDF
155,EDDF,SBGR
156,EGLL,OMDB
157,EDDK,VHHH
158,EGSS,KSDF
159,KLAS,KJFK
160,OMDW,UMMS
161,EGLL,WSSS
162,KLAX,RJAK
163,EGLL,OMDB
164,KLAX,KMIA
165,MMUN,KDEN
166,SBGR,LPPT
167,KSDF,KMHR
168,LPPT,GOBD
169,VIDP,VHHH
170,LFPG,OMDB
171,RCTP,EHAM
172,KLAX,EGLL
173,KDEN,KBNA
174,MMUN,KDEN
175,KTEB,KCRQ
176,TJSJ,KEWR
177,KLAX,KDCA
178,KSDF,KMHR
179,VIDP,KIAD
180,KLAX,KJFK
181,MMUN,KLAX
182,EDDF,OMDB
183,KCLT,KLAS
