Index,Source,Target
1,OMDB,LFPG
2,KJFK,LIRF
3,VHHH,EBLG
4,KORD,EDDF
5,KLAX,EGLL
6,KORD,YSSY
7,WSSS,KSFO
8,RCTP,KJFK
9,YSSY,OMAA
10,KLAX,RCTP
11,YSSY,OMDB
12,YSSY,OTHH
13,WSSS,KLAX
14,VHHH,EBLG
15,OTHH,KJFK
16,WSSS,YBBN
17,RCTP,KLAX
18,YMML,OTHH
19,RPLL,KLAX
20,ELLX,SBGR
21,EDDF,VHHH
22,OMDB,YSSY
23,YPPH,OMDB
24,KEWR,KLDJ
25,PANC,VHHH
26,KLAX,EBLG
27,RJBB,OMDB
28,LEMD,SKBO
29,ETAR,KADW
30,KLAX,WSSS
31,EGLL,VOBL
32,EBLG,VHHH
33,WSSS,LIMC
34,EHAM,KATL
35,KIAD,KLAX
36,EDDF,KATL
37,RCTP,KLAX
38,VHHH,EGLL
39,KIAD,OMDB
40,RCTP,KSFO
41,WSSS,NZCH
42,RCTP,EDDF
43,RCTP,KSFO
44,EGLL,KLAX
45,KDAL,KSFO
46,WSSS,EGLL
47,VHHH,EGLL
48,RJTT,EDDF
49,KJFK,OMDB
50,RCTP,CYVR
51,WSSS,EHAM
52,KLAX,KEWR
53,EDDF,RJTT
54,RPLL,OMAA
55,RPLL,OMDB
56,EDDF,KORD
57,VHHH,EGLL
58,VHHH,KLAX
59,PANC,VHHH
60,WSSS,EHAM
61,RCTP,KLAX
62,WSSS,EDDF
63,EGLL,KATL
64,RCTP,KLAX
65,EGLL,VIDP
66,EGLL,KLAX
67,VHHH,PANC
68,KSLC,KJFK
69,WSSS,LFPG
70,KMIA,LLBG
71,VHHH,YMML
72,WSSS,EDDM
73,OTHH,YMML
74,RCTP,LTBA
75,EGGW,KJFK
76,WSSS,EKCH
77,EDDF,VOBL
78,SPJC,LEMD
79,EDDF,VHHH
80,YPPH,YSSY
81,RPLL,OTHH
82,KLAX,YSSY
83,OTHH,YSSY
84,PANC,RJBB
85,KMIA,UUEE
86,EBLG,KJFK
87,SBGR,LEMD
88,EGLL,VHHH
89,SBGR,LPPT
90,EDDF,VIDP
91,EGLL,VHHH
92,KORD,VIDP
93,EGLL,KJFK
94,KJFK,EBLG
95,WMKK,OMDB
96,LIMC,KJFK
97,GOBD,OMDB
98,KLAX,EKCH
99,EDDK,KSDF
100,UUWW,ULLI
101,LFPG,RJTT
102,KDEN,KLAX
103,PANC,VHHH
104,KJFK,KSFO
105,VIDP,KEWR
106,MMML,MMTJ
107,CYYZ,VHHH
108,ESSA,OTHH
109,KBOS,KSFO
110,KDTW,KATL
111,KLAX,KJFK
112,RCTP,PANC
113,EGLL,OTHH
114,ELLX,OTHH
115,PANC,RJBB
116,SBGR,LPPT
117,KEWR,KSFO
118,KPHL,KLAS
119,ELLX,SBKP
120,EDDF,KORD
121,KOPF,KVNY
122,LFPG,WSSS
123,KPHL,KSFO
124,KPHL,KOAK
125,KJFK,SKBO
126,KSFO,RJTT
127,KORD,PANC
128,PANC,KSEA
129,CYVR,YSSY
130,KEWR,KLAX
131,EGLL,WSSS
132,KDFW,PANC
133,KEWR,KLAX
134,EGLL,VIDP
135,EHAM,WSSS
136,KEWR,VIDP
137,RCTP,EDDF
138,LIMC,KJFK
139,KTEB,KSJC
140,VABB,VHHH
141,EDDK,KSDF
142,KLAS,KMDW
143,KSAN,KEWR
144,KLAX,MGGT
145,KSFO,KJFK
146,KEWR,KLAS
147,EHAM,VHHH
148,KEWR,KSLC
149,PANC,KMSP
150,EDDK,VHHH
151,LLBG,EGGW
152,WMKK,OTHH
153,KLAX,KJFK
154,VHHH,PANC
155,KEWR,KPHX
156,RJBB,KOAK
157,EHAM,RCTP
158,PANC,RJAA
159,KSAN,KJFK
160,KMIA,KPHX
161,EDDF,OTHH
162,KBOS,KPHX
163,KLAX,RCTP
164,EDDF,SBGR
165,KPHL,KPHX
166,ELLX,KORD
167,EGLL,WSSS
168,VGTJ,OERK
169,LSGG,OMDB
170,KLAX,KBOS
171,EPWA,OMDB
172,KATL,PANC
173,KONT,KRDU
174,OTHH,VHHH
175,KCLT,KSAN
176,KSFO,KJFK
177,KCLT,KLAS
178,ELLX,OTHH
179,KORD,KSFO
180,KJFK,EDDF
181,KLAX,KDCA
182,EGLL,OMDB
183,SBGR,LPPT
184,KATL,PANC
185,KPHL,KSAN
186,EDDF,SBGR
187,KORD,KSEA
188,KSNA,KTEB
189,EGSS,KSDF
190,KJFK,LLBG
191,EGLL,VABB
192,KPDX,KATL
193,TLPL,KJFK
194,VIDP,KORD
195,EHAM,KORD
196,KPHX,KJFK
197,PANC,RJAA
198,KPHL,KLAX
199,KLAX,KFLL
200,KONT,KJFK
201,KLAS,KJFK
202,KMDW,KSJC
203,SBGR,LPPT
204,KLAX,KJFK
205,KSEA,KCMH
206,KLAX,KDCA
207,LFPG,OMDB
208,EDDF,KORD
209,KIND,KLAX
210,KSDF,KOAK
