Index,Source,Target
1,KLAX,EHAM
2,VIDP,KORD
3,RPLL,CYYZ
4,VHHH,EGLL
5,RCTP,KJFK
6,WSSS,KSFO
7,YSSY,OTHH
8,YMML,OMDB
9,EHAM,SPJC
10,KORD,EDDF
11,YMML,OTHH
12,RCTP,CYYZ
13,KLAX,WSSS
14,RPLL,KLAX
15,WSSS,KLAX
16,KDFW,RKSI
17,LIMC,SBGR
18,EPWA,RKSI
19,PANC,VHHH
20,RJBB,OMDB
21,OMDB,EGLL
22,KBED,KTEB
23,EGLL,KSFO
24,RPLL,KSFO
25,RCTP,KLAX
26,EGLL,KLAX
27,SKBO,LEMD
28,LFPG,KLAX
29,RCTP,EDDF
30,EFHK,VHHH
31,OTHH,YMML
32,OMDB,YMML
33,WSSS,LFPG
34,ELLX,KHSV
35,RKSI,EHAM
36,LEMD,KMIA
37,RPLL,OMDB
38,KJFK,OMDB
39,RCTP,KLAX
40,RCTP,PANC
41,KLAX,YMML
42,EGLL,KLAX
43,KATL,RKSI
44,ELLX,KORD
45,EPWA,KORD
46,RPLL,OTHH
47,VHHH,YSSY
48,WSSS,EGLL
49,RCTP,CYVR
50,EKCH,KORD
51,RJTT,EDDF
52,WSSS,EHAM
53,EPWA,CYYZ
54,WSSS,EDDF
55,RCTP,KSFO
56,RCTP,LFPG
57,EPWA,KJFK
58,KDFW,RKSI
59,RCTP,KLAX
60,KDFW,RJAK
61,WSSS,LFPG
62,EGLL,KORD
63,EGLL,KATL
64,CYYZ,RKSI
65,EGLL,VIDP
66,KEWR,VABB
67,WSSS,EGLL
68,LEMD,KJFK
69,KLAX,YSSY
70,KDEN,KBWI
71,RCTP,EHAM
72,KIAD,RKSI
73,SPJC,LEMD
74,WMKK,EGLL
75,KJFK,LLBG
76,KATL,RKSI
77,KJFK,RKSI
78,FACT,OTHH
79,EDDF,RJTT
80,EHAM,CYYZ
81,KJFK,RKSI
82,EHAM,KORD
83,EGLL,VHHH
84,EGLL,KIAD
85,SPJC,LEMD
86,OTHH,YMML
87,CYYZ,VIDP
88,VHHH,OMDB
89,VIDP,KEWR
90,KJFK,VIDP
91,KDFW,RKSI
92,OTHH,WSSS
93,VABB,KEWR
94,KSFO,RKSI
95,SBGR,KMIA
96,KORD,RKSI
97,PANC,RJBB
98,OTHH,YSSY
99,EGLL,KJFK
100,PANC,VHHH
101,LFPG,RJTT
102,KMIA,KDAL
103,KATL,KLAX
104,KSFO,RCTP
105,KDTW,RKSI
106,KHPN,KOPF
107,KJFK,EBLG
108,LFPG,RJTT
109,KSFO,VIDP
110,KLAX,ELLX
111,KSFO,RJAK
112,PANC,KATL
113,VHHH,LSZH
114,PANC,RJBB
115,KLAX,RCTP
116,PANC,KORD
117,KSDF,KRIR
118,VIDP,CYYZ
119,EDDK,KSDF
120,KPHL,KLAX
121,CYVR,VIDP
122,SBGR,KMIA
123,KLAX,RKSI
124,KSEA,RKSI
125,KMIA,SPJC
126,KSFO,RJAK
127,WMKK,OTHH
128,VHHH,KJFK
129,SBGR,EHAM
130,EGLL,KJFK
131,KEWR,KSAN
132,KEWR,KSFO
133,KPHL,KOAK
134,CYYZ,RKSI
135,KEWR,KLAX
136,KSFO,RKSI
137,LFPG,KORD
138,KCLT,KLAX
139,KSEA,RKSI
140,CYVR,RKSI
141,KJFK,LLBG
142,KLAX,RKSI
143,KATL,KSNA
144,SBKP,KMIA
145,EDDF,SBGR
146,EGLL,VHHH
147,KATL,RKSI
148,KTEB,KVNY
149,KPHL,KLGB
150,KEWR,KLAX
151,KRDU,KLAX
152,VOBL,EDDF
153,EDDF,OMDB
154,EGLL,OMDB
155,PANC,VHHH
156,EGLL,WMKK
157,PANC,KSEA
158,ELLX,OTHH
159,RJBB,KOAK
160,EDDF,VIDP
161,EDDF,OTHH
162,KDEN,KLAX
163,KSAN,KJFK
164,VIDP,KORD
165,KCRQ,KIWA
166,KBNA,KOAK
167,KCLT,KLAS
168,SBGR,LFPG
169,KBWI,KOAK
170,ELLX,OTHH
171,KVNY,KOPF
172,KBOS,KLAX
173,EGLL,WSSS
174,KATL,KSFO
175,KSEA,KCMH
176,KSDF,KOAK
177,KONT,KRDU
178,KSDF,KPDX
179,KORD,KSEA
180,KPHL,KSMF
181,KBNA,KSJC
182,KATL,KLAS
183,KLAS,KJFK
184,KJFK,SKBO
185,EHAM,KORD
186,EGLL,RKSI
187,EHAM,WSSS
188,KONT,KJFK
189,PANC,RJAA
190,KLAX,RJAK
191,KIAH,KSFO
192,KBWI,KLAX
193,KLAX,KJFK
194,KSAN,KEWR
195,KSFO,KBOS
196,KLAX,KDCA
197,KBNA,KRDU
198,PANC,KORD
199,KSDF,KBUR
200,LIMC,KJFK
201,KSDF,KBFI
202,KATL,SKBO
203,KSDF,KLAX
204,LLBG,EBLG
205,KSLC,KJFK
206,LFPG,RKSI
207,KLAX,KEWR
208,KDFW,KSEA
209,KSDF,KSAN
210,KPHL,KDEN
211,KPHX,KBWI
212,VHHH,VOMM
213,KEWR,KDEN
214,KLAX,KEWR
215,EGLL,CYYZ
216,KDEN,KSFO
217,KLAX,KIAD
218,KJFK,KLAX
219,TJSJ,KEWR
220,KFLL,KDEN
221,VOBL,WSSS
222,KTEB,KDAL
223,KPHX,KJFK
224,KBWI,KLAS
225,EDDK,KSDF
226,CYVR,CYYZ
227,EGLL,OMDB
228,KSFO,KJFK
229,EHAM,KORD
230,KDCA,KDEN
231,KIND,KLAX
232,KORD,RKSI
233,KFLL,KLAX
234,SKBO,LEMD
235,KSFO,RJAK
236,KTPA,KLAX
237,KRSW,KDEN
238,KDEN,KDAL
239,KIND,KRIR
240,LFPG,OMDB
241,KSCK,KBWI
242,EDDF,SBGR
243,KLAS,KDTW
244,LFPG,LLBG
245,KRDU,KDEN
246,KLGA,KDEN
247,KSAN,KATL
248,KVNY,KTEB
249,KTEB,KSDL
250,KDAL,KSFO
251,KLAX,KFLL
252,EGLL,OTHH
253,KLAX,KMIA
254,KMIA,KMSP
255,KBOS,KMCI
256,KPHL,KDFW
257,KLAX,RJTT
258,KFLL,SPJC
259,KSFO,RKSI
260,KCLT,KLAS
261,KBOS,KLAX
262,KLAS,KATL
263,KRSW,KDEN
264,NZAA,WSSS
265,KCLT,KLAX
266,KJFK,SKBO
267,CYVR,CYUL
268,KDAL,KPHX
269,KRSW,KMSP
270,KMSP,KSAN
271,KCLT,KPHX
272,KDTW,KLAS
273,KFLL,KDFW
274,KLAS,KJFK
275,KPHX,KJFK
276,KLAS,KMDW
277,EGSS,KSDF
278,KFLL,KPHX
279,KSDL,KBOI
280,KDFW,KSNA
281,KEWR,LLBG
282,KMSP,KSFO
283,KLAX,KBOS
284,KDCA,KDAL
285,KDTW,KPHX
286,KMSP,KSEA
287,KSEA,RKSI
288,KVNY,KOPF
289,SKBO,EHAM
290,LFPG,RKSI
291,KIAH,KLAX
292,LLBG,KJFK
293,KMDW,KLAS
294,EDDK,VHHH
295,KSLC,KJFK
296,KSEA,KJFK
297,CYYZ,KDFW
298,KSDF,KRIR
299,KJFK,KSFO
300,VABB,EGLL
301,KDTW,KLAX
302,KSEA,KMSP
303,KATL,KLAX
304,KMSP,KRSW
305,KAUS,KLAX
306,EHAM,OTHH
307,KATL,KSAN
308,OTHH,VIDP
309,VABB,EHAM
310,LSZH,SBGR
311,KSEA,KDAL
312,KMSP,KMIA
313,VAJJ,VIDP
314,ELLX,OMDW
315,KPSP,KFFZ
316,KSEA,KDCA
317,KLAX,RJAK
318,LFPG,OTHH
319,KMSP,KFLL
320,KOPF,KVNY
321,KDCA,02XS
322,KSFO,KTEB
323,KPHX,KBNA
324,ELLX,OTHH
325,LLBG,KEWR
326,KORD,KPHX
327,KSAN,KMSP
328,KATL,KSLC
329,TJSJ,KEWR
330,KLAX,KJFK
331,KLAX,KDAL
332,UKBB,OMDB
333,KPSP,KMSP
334,KSJC,KMDW
335,VABB,EGLL
336,KIAH,SKBO
337,KPHX,KMIA
338,KGRB,KAPF
339,KBNA,KPHX
340,OERK,RPLL
341,KEWR,KSEA
342,KJFK,KLAX
343,KPHX,KCMH
344,KLAX,KBOS
345,KDFW,KRIR
346,KCMH,KPHX
347,KDEN,EDDF
348,KSFO,EDDF
349,KPHX,KBOS
350,KEWR,KSFO
351,KMIA,KDEN
352,VABB,LSZH
353,KJFK,LIMC
354,KSEA,KDFW
355,OTHH,VOMM
356,KLAX,KJFK
357,KBOS,KSEA
358,KDCA,KSEA
359,KDEN,KBWI
360,KRSW,KMKE
361,OMDB,VHHH
362,VIDP,KEWR
363,KDFW,KLAX
364,EDDF,LLBG
365,LLBG,EBLG
366,ELLX,KATL
367,KATL,KDEN
368,KLAX,RCTP
369,SKBO,KMIA
370,KLAS,KCLT
371,KAUS,KSEA
372,EGLL,LLBG
373,KPHX,KMCO
374,KDFW,KSJC
375,SBGR,LPPT
376,KAUS,KBWI
377,KIAH,KLAX
378,KJFK,KLAX
379,KLAX,RJAK
380,VIDP,KORD
381,CYYZ,CYVR
382,CYYZ,LEMD
383,KTEB,KOPF
384,KOAK,KSNA
385,KPHX,KMSP
386,KSNA,KDFW
387,KSEA,KTUS
388,KSDF,PANC
389,KAUS,KRDU
390,KJFK,KSEA
391,KMDW,KSEA
392,KATL,EHAM
393,KATL,KPHX
394,LEMD,SBGR
395,KEWR,KMSP
396,KSEA,RKSI
397,KBOS,KLAX
398,KMSP,KMCO
399,KIAD,KSEA
400,KMDW,KPHX
401,KFLL,KORD
402,KDEN,KSEA
403,KPHL,KPHX
404,KLAS,KBWI
405,KRSW,KBOS
