Index,Source,Target
1,CYYZ,KLAX
2,KEWR,EBBR
3,WSSS,LIMC
4,EHAM,EGSS
5,WSSS,KSFO
6,KLAX,RCTP
7,YMML,OMDB
8,RCTP,KJFK
9,WSSS,KLAX
10,WSSS,KLAX
11,YSSY,OTHH
12,RCTP,CYYZ
13,RPLL,KLAX
14,OMDB,YSSY
15,KJFK,EGLL
16,LLBG,KJFK
17,OMDB,EDDF
18,YMML,OTHH
19,KLAX,RJBB
20,RPLL,KSFO
21,RJBB,OMDB
22,RCTP,CYVR
23,LEMD,SKBO
24,RJBB,RJAA
25,EHAM,KATL
26,EPWA,KORD
27,YPPH,OTHH
28,VHHH,EDDF
29,KJFK,UKBB
30,EGLL,KLAX
31,VIDP,UUEE
32,VHHH,EGLL
33,RCTP,KSFO
34,KJFK,OMDB
35,LLBG,KEWR
36,SPJC,LEMD
37,RCTP,EDDF
38,YMML,WSSS
39,KLAX,KEWR
40,RCTP,KLAX
41,OMDB,YMML
42,ELLX,KATL
43,VHHH,EGLL
44,RJTT,EDDF
45,RPLL,OMDB
46,EPWA,CYYZ
47,VHHH,LSZH
48,EGLL,KATL
49,VHHH,YSSY
50,LPPT,SBGR
51,RCTP,LFPG
52,RCTP,KLAX
53,EGLL,KIAD
54,EGLL,VIDP
55,PANC,KSEA
56,VIDP,YMML
57,EGLL,KLAX
58,SPJC,LEMD
59,LPPT,KMIA
60,KJFK,VIDP
61,RPLL,OTHH
62,OTHH,WSSS
63,PANC,RJBB
64,VHHH,PANC
65,KLAX,YSSY
66,EHAM,KORD
67,OTHH,YSSY
68,OTHH,YMML
69,LFPG,RJTT
70,FACT,OTHH
71,UUEE,VHHH
72,EDDF,SBKP
73,EGLL,KATL
74,KLAX,KIAD
75,EGLL,VHHH
76,EDDF,VIDP
77,EDDK,KSDF
78,OTHH,YMML
79,OBBI,RPLL
80,KSDM,KCRQ
81,VABB,KEWR
82,LIRF,KJFK
83,KSFO,VIDP
84,EDDF,KATL
85,LPPT,KEWR
86,WMKK,OMDB
87,EGLL,KJFK
88,EDDK,KSDF
89,VHHH,EHAM
90,SBGR,LEMD
91,PANC,VHHH
92,VHHH,PANC
93,LFPG,RJTT
94,EHAM,KORD
95,SBGR,LFPB
96,PANC,VHHH
97,SBGR,LFPG
98,KLAX,ELLX
99,VIDP,KEWR
100,EGLL,KEWR
101,WMKK,OMAA
102,LPPT,KBOS
103,SBGL,LFPG
104,VHHH,OMDB
105,PANC,RJBB
106,LFPG,OTHH
107,EGLL,OTHH
108,KJFK,EBLG
109,KORD,PANC
110,KPSP,KPDX
111,PANC,KORD
112,KORD,KPHX
113,PANC,VHHH
114,ELLX,KATL
115,PANC,KSEA
116,EGLL,WMKK
117,VHHH,OMDB
118,KPHL,KLAS
119,KTEB,KVNY
120,KLAX,RCTP
121,KEWR,KSFO
122,KHPN,KVNY
123,EGLL,OERK
124,KPHL,KSFO
125,EHAM,WSSS
126,KJFK,KLAX
127,VHHH,PANC
128,KSFO,RJAK
129,KLAS,KJFK
130,KEWR,KLAX
131,KCLT,KLAX
132,CYYZ,KLAX
133,KEWR,KPHX
134,EGLL,OMDB
135,WMKK,OTHH
136,KSAN,KJFK
137,KSFO,KJFK
138,EDDF,SBGR
139,KSFO,KJFK
140,KEWR,KLAX
141,KCLT,KSAN
142,KSFO,KIAD
143,KORD,KSMF
144,KMIA,KLAX
145,EGLL,WSSS
146,RJBB,KOAK
147,KCLT,KLAS
148,EHAM,KORD
149,KMIA,SBGR
150,KMIA,SPJC
151,KEWR,KLAS
152,EDDF,SBGR
153,KBOS,KPHX
154,EDDK,KSDF
155,EGLL,OMDB
156,KMKE,KSEA
157,KSDF,KOAK
158,OTHH,VGZR
159,CYVR,CYYZ
160,88PA,KLAX
161,KORD,KBFI
162,EGLL,VHHH
163,KLAX,KFLL
164,EGLL,VABB
165,KLAS,KJFK
166,KPHL,KPHX
167,LFPG,OMDB
168,KSDF,KRIR
169,LSZH,VABB
170,KORD,PANC
171,SBGR,LPPT
172,VIDP,LFPG
173,KPDX,KATL
174,KLAX,KBOS
175,EDDF,OTHH
176,KSDF,KMHR
177,KTEB,KVNY
178,KDFW,KTUS
179,KSEA,7PS7
180,KJFK,EDDF
181,KIND,KLAX
182,LEBL,OMDB
183,KSDF,KPDX
184,KONT,KJFK
185,VIDP,KORD
186,KLAS,KBOS
187,KSEA,KEWR
188,EDDF,OMDB
189,KLAX,KJFK
190,KPHL,KSAN
191,KMSP,KLAX
192,KSDF,KLAX
193,SKBO,LEMD
194,KLAX,KDCA
195,KPHX,KJFK
196,KSFO,KJFK
197,KORD,EKCH
198,KLAX,KJFK
199,KATL,KLAX
200,KPHL,KLAX
201,KBOS,KLAX
202,SKBO,EHAM
203,KDTW,KSEA
204,KSDF,KSAN
205,CYVR,CYUL
206,KPHX,KEWR
207,TJSJ,KEWR
208,KDCA,KPHX
209,KATL,SKBO
210,EDDF,FACT
211,KLAS,KFLL
212,KPHX,KJFK
213,KSDF,KBFI
214,KSFO,KTEB
215,TJSJ,KEWR
216,KSTL,KLAX
217,KEWR,LLBG
218,EDDF,EHAM
219,KSTL,KSEA
220,KSAN,KATL
221,CYVR,EHAM
222,ELLX,KATL
223,KPHX,KRDU
224,VABB,EGLL
225,KSAN,KEWR
226,KEWR,KDEN
227,OTHH,VOMM
228,EGLL,OTHH
229,LSZH,SBGR
230,ELLX,OMDW
231,KSTL,KLAS
