Index,Source,Target
1,63CN,KLVK
2,KMZJ,KFFZ
3,KBFI,KORS
4,CA35,KOAK
5,KP19,KFFZ
6,YMPC,YLED
7,PAMR,PANC
8,KDAL,KDCA
9,KSQL,KLVK
10,NY09,KHPN
11,KBFI,KS50
12,KMMU,KTEB
13,KSMO,KFUL
14,CYXX,CYYC
15,21NH,KBOS
16,KMYF,KSEE
17,KPHX,KCHD
18,KLGB,KEMT
19,KHWO,FD08
20,KLGA,KMIA
21,KOAK,KLAS
22,KLAS,KMCI
23,KORD,KN96
24,14ID,KBOI
25,KSMO,KSNA
26,KLGB,KFUL
27,VHHH,RCTP
28,KAVX,KMYF
29,KMTN,KBWI
30,KBED,NH78
31,KLVK,KPAO
32,KI69,KLUK
33,KORD,KAKR
34,KLMO,KBJC
35,KTUS,KIWA
36,KLGB,KTOA
37,2AZ7,KDVT
38,KLGB,KTOA
39,KOKB,KSEE
40,VAJJ,VOBL
41,YPAD,YMML
42,KLAX,02XS
43,KAVQ,KFFZ
44,KSBP,KONT
45,KBFI,KPAE
46,KMMV,KHIO
47,KPHL,KMDT
48,KTOA,KSNA
49,01VA,KJYO
50,KMQS,KPHL
51,KFRG,KTEB
52,KJFK,KLAX
53,RCTP,WSSS
54,KDEN,KTYS
55,KBOS,KPYM
56,KMIA,KDFW
57,KHWD,KLVK
58,KBIE,KLNK
59,KAUS,KDFW
60,KSDM,KMYF
61,KGOK,0OK5
62,KSLI,KTOA
63,KCPM,KPOC
64,KHHR,KCRQ
65,KRNM,KCRQ
66,CBQ2,CZBB
67,RCTP,WSSS
68,KF29,KPWA
69,KDFW,KVPS
70,KMMV,OR28
71,YSCH,YSSY
72,KJFK,LFPG
73,KSNA,KSLC
74,KPHL,KIAD
75,KMDW,KRDU
76,KLGB,KSNA
77,OR38,KPDX
78,KATL,KMIA
79,KO60,KOAK
80,KLOU,KJVY
81,OTHH,VHHH
82,KFLL,KEWR
83,KBTL,KLAF
84,KMDW,KMCO
85,OMDB,VIDP
86,KVNY,KCMA
87,KFLL,KDFW
88,KPAN,KDVT
89,VHHH,OTHH
90,KEWR,KATL
91,KBOS,KMVY
92,KLAX,OMDB
93,KATL,KCMH
94,SBBR,SBGR
95,KL70,KVNY
96,KORD,KMSP
97,KSTS,KO69
98,SPJC,SPST
99,KMQY,KJWN
100,KMDW,KLUK
101,KRNT,4WA9
102,CYVR,CYYJ
103,KMSN,KMSP
104,LOWW,LKPR
105,KBUF,KMDW
106,KORD,KTYS
107,EGSS,EGAA
108,KVIS,KSCK
109,CYUL,CYVR
110,KP08,KIWA
111,YSBK,YSCH
112,KRDU,KTEB
113,KAUS,KSJC
114,KA39,KGEU
115,CBQ2,CZBB
116,8OR6,KHIO
117,KIAH,KLAX
118,KDFW,KTYR
119,KHQZ,KADS
120,VHHH,RPLL
121,KPHX,KLGB
122,KBOS,KEWR
123,KBUR,KSLC
124,KMMV,KHIO
125,KMDW,KSTL
126,RJTT,RCSS
127,KCJR,KHEF
128,KSDF,KLOU
129,KEWR,KMCO
130,KBWI,KBOS
131,RCTP,YSSY
132,KABQ,KPHX
133,KLAX,KSFO
134,WA22,KBFI
135,MMTJ,KSAN
136,KDTW,KBWI
137,KDCA,AL16
