Index,Source,Target
1,KSFO,EGLL
2,KEWR,EIDW
3,YSSY,VHHH
4,RKSI,EDDP
5,KLAX,YSSY
6,SBGR,KMIA
7,VHHH,CYYZ
8,RCTP,KJFK
9,SBKP,KMIA
10,YMML,OTHH
11,EHAM,SPJC
12,RCTP,CYYZ
13,YSSY,OTHH
14,SBGR,KMIA
15,SBKP,KMIA
16,EDDF,RKSI
17,RCTP,EHAM
18,WSSS,YBBN
19,SBKP,KMIA
20,KDFW,RKSI
21,VHHH,OMDB
22,FAOR,EBBR
23,KLAX,RKSI
24,VHHH,EHAM
25,VHHH,KLAX
26,EDDF,KSFO
27,VHHH,KLAX
28,KLAX,YMML
29,LHBP,RKSI
30,OMDB,EDDF
31,KLAX,RKSI
32,RKSI,EHAM
33,RKSI,KLAX
34,RCTP,CYVR
35,EGLL,KDFW
36,EGLL,CYVR
37,EGLL,KSEA
38,EGLL,KLAX
39,LFPG,CYVR
40,RCTP,EDDF
41,VHHH,LTBW
42,LEMD,MROC
43,EGLL,KATL
44,LSZH,VHHH
45,LIMC,KJFK
46,EGLL,KSFO
47,PANC,VHHH
48,EGLL,KLAX
49,RCTP,KLAX
50,EDFH,OMSJ
51,EGLL,KATL
52,RPLL,OTHH
53,OTHH,EBBR
54,RPLL,OMDB
55,WSSS,EHAM
56,RCTP,KLAX
57,RCTP,KLAX
58,RPLL,OMAA
59,RCTP,EHAM
60,WSSS,EGLL
61,RCTP,KSFO
62,VHHH,YSSY
63,VHHH,EGLL
64,VHHH,EDDF
65,EHAM,KORD
66,VHHH,PANC
67,EGLL,KLAX
68,KATL,RKSI
69,KDFW,OTHH
70,KATL,KJFK
71,KJFK,RKSI
72,OMDB,RPLL
73,VHHH,EGLL
74,EGLL,KORD
75,OMDW,EHAM
76,VIDP,UUEE
77,WSSS,EGLL
78,EGLL,KJFK
79,LEMD,KMIA
80,WSSS,LFPG
81,EDDK,KSDF
82,VHHH,OTHH
83,WSSS,EKCH
84,KORD,RJTK
85,EGLL,VIDP
86,KSFO,RJTT
87,OTHH,WMKK
88,LEMD,KJFK
89,CYYZ,RKSI
90,EDDF,RKSI
91,RCTP,PANC
92,ELLX,SBGR
93,KLAX,RKSI
94,LIMC,KEWR
95,VHHH,EDDF
96,KATL,RKSI
97,VHHH,EGLL
98,KDFW,RKSI
99,KJFK,RKSI
100,UUEE,KLAX
101,KORD,RKSI
102,LPPT,SBGR
103,WSSS,EHAM
104,OTHH,YMML
105,VHHH,UUEE
106,PANC,RJBB
107,VHHH,EGLL
108,PANC,VHHH
109,OTHH,WSSS
110,SPJC,LEMD
111,EDDF,RKSI
112,EDDF,VOBL
113,KDTW,RKSI
114,RKSI,CYVR
115,KDFW,RKSI
116,OBBI,RPLL
117,VHHH,EHAM
118,OTHH,YSSY
119,EGLL,VHHH
120,VHHH,YSSY
121,OTHH,YMML
122,VHHH,EDDF
123,WSSS,YSSY
124,EPWA,RKSI
125,RKSI,LOWW
126,KSFO,RCTP
127,WSSS,OTHH
128,KIAD,EKCH
129,EGLL,VA16
130,PANC,RJBB
131,EGLL,KJFK
132,PANC,RCTP
133,KJFK,RKSI
134,EGLL,CYYZ
135,CYVR,YSSY
136,EDDF,KORD
137,KBOS,KSFO
138,CYUL,CYVR
139,PANC,VHHH
140,VIDP,KEWR
141,KLAX,RCTP
142,ZGSZ,PANC
143,VABB,KEWR
144,KORD,OMDB
145,WMKK,OTHH
146,PANC,RJBB
147,KJFK,EBLG
148,KSEA,RKSI
149,EGLL,RKSI
150,LIMC,OTHH
151,KDEN,KLAX
152,LSZH,CYUL
153,KATL,KPDX
154,KJFK,KPHX
155,LFPG,RKSI
156,PANC,RKSI
157,KSJC,KDAL
158,KLAX,RKSI
159,EGLL,WMKK
160,SBGR,EGLL
161,KATL,RKSI
162,KBOS,KPHX
163,EGLL,OERK
164,PANC,RCTP
165,EDDF,RKSI
166,EDDF,OMDB
167,PANC,KORD
168,VHHH,OMDB
169,SPJC,LEMD
170,PANC,VHHH
171,LTFJ,UAAA
172,KLAX,YSSY
173,KEWR,KSFO
174,CYYZ,CYVR
175,KJFK,PANC
176,LIMC,OTHH
177,EGLL,OMDB
178,VIDP,CYYZ
179,KBWI,KOAK
180,KSEA,FD83
181,KORD,VHHH
182,LLBG,UUDD
183,KSFO,RKSI
184,LFPG,VIDP
185,EDDF,VIDP
186,KOPF,KLAX
187,OBBI,EDDP
188,PANC,KPHX
189,KSFO,RCTP
190,KLAX,KJFK
191,KPHL,KPHX
192,KSAN,KPHL
193,RJBB,KOAK
194,LPPT,KEWR
195,KOAK,KTEB
196,SBGR,LFPG
197,KLAX,KBWI
198,KSDF,CYVR
199,LPPT,CYYZ
200,KSEA,KJFK
201,KPHL,KLAX
202,KPHL,KDEN
203,KORD,KSEA
204,EDDK,VHHH
205,KLAX,RCTP
206,OMDB,VHHH
207,KPHL,KSFO
208,KSFO,KMIA
209,KCLT,KLAX
210,KSAN,KEWR
211,KBWI,KLAS
212,LPPT,KMIA
213,KJFK,KSFO
214,KCLT,KLAS
215,EGLL,OMAA
216,KATL,KLAS
217,KJFK,KLAX
218,PANC,KSEA
219,LFPG,RKSI
220,KLAX,PANC
221,KSFO,KATL
222,EGLL,VHHH
223,KBOS,KDFW
224,EHAM,RKSI
225,UUWW,UNEE
226,KRFD,KSEA
227,KLAX,KBOS
228,KORD,KLAX
229,KEWR,KDEN
230,CYVR,RKSI
231,OMSJ,WSSS
232,KCLT,KPHX
233,KSAN,KJFK
234,EDDK,KSDF
235,PANC,KLAX
236,EHAM,WSSS
237,KLAS,KEWR
238,KMCI,KSEA
239,EDDF,SBGR
240,KORD,KSAN
241,NZAA,YSSY
242,KJFK,PANC
243,LPPT,SBGR
244,MROC,KDFW
245,KLAS,KBOS
246,KSFO,KDTW
247,KAUS,KSEA
248,KLAX,EDDF
249,YSSY,YPPH
250,CYVR,CYYZ
251,KIAH,KSFO
252,KORD,KLAS
253,PANC,KCVG
254,EGLL,WSSS
255,KLAS,KEWR
256,KEWR,KDFW
257,KSTL,KPHX
258,KLAS,KISM
259,KORD,KLAX
260,KMSP,KLAX
261,OMDB,VOMM
262,LFPG,OMDB
263,EGLL,OMDB
264,KEWR,MROC
265,CYYC,CYYZ
266,TBPB,KMIA
267,KATL,SKBO
268,KDFW,KSEA
269,VABB,EGLL
270,VHHH,PANC
271,KORD,KSFO
272,KSDF,KRIR
273,KMSP,KSFO
274,TJSJ,KEWR
275,VABB,EDDF
276,KLAX,RJTT
277,KLAX,RKSI
278,KSAN,KJFK
279,OTHH,VGZR
280,KLAS,KMIA
281,KSEA,KDFW
282,KSAN,KORD
283,EGLL,CYYZ
284,KBNA,KPHX
285,KSEA,KATL
286,KLAX,KORD
287,TLPL,KATL
288,KATL,KSEA
289,KLAX,KJFK
290,KLAX,KATL
291,KONT,KATL
292,KSNA,KATL
293,KPHX,KMIA
294,KSJC,KDFW
295,KBUF,KLAS
296,VIDP,EDDM
297,KMDW,KPHX
298,KDFW,KSFO
299,KSFO,KBOS
300,KATL,EHAM
301,KSMO,KEMT
302,KTUS,KATL
303,EHAM,VHHH
304,KATL,KSLC
305,RKSI,LOWW
306,KDFW,RKSI
307,KDTW,KSEA
308,EGLL,VHHH
309,KLGA,KDEN
310,KLAX,KPHL
311,KSFO,35MN
312,KBWI,KHOU
313,KPDX,KDFW
314,VABB,EGLL
315,LSZH,SBGR
316,KSFO,KORD
317,KSAN,KATL
318,KIAH,KDEN
319,KMIA,KLAX
320,UAAA,EDDF
321,SKBO,KMIA
322,KDTW,KLAS
323,KOMA,KSEA
324,KBFI,KSDF
325,KSTL,KSEA
326,TJSJ,KJFK
327,KLAS,KDTW
328,KATL,60CO
329,KMSP,KLAS
330,KU42,KATL
331,KMIA,SKMA
332,KDFW,KSEA
333,KATL,KLAS
334,KIAH,KLAX
335,KLAS,KJFK
336,KSDF,KMHR
337,TJSJ,KATL
338,VABB,EHAM
339,KORD,EDDF
340,KORF,KDFW
341,OMAA,VIDP
342,KHOU,KLAX
343,LFPG,OTHH
344,KATL,KSAN
345,EGLL,OMDB
346,KMCI,KLAX
347,KDEN,KLGA
348,KPHL,KLAX
349,KBWI,KDAL
350,KSFO,KEWR
351,CYYZ,CYYC
352,CYVR,CYYZ
353,KMDW,KSJC
354,KSFO,KJFK
355,KDFW,PANC
356,KBWI,KSAN
357,KEWR,LLBG
358,KMSN,KPHX
359,KDTW,KLAX
360,KHOU,KPHX
361,KDEN,KEWR
362,PAED,KSUU
363,KSEA,KMCI
364,KLAX,KEWR
365,PANC,KCVG
366,KDEN,KBOS
367,KSDF,PANC
368,KIAD,KDFW
369,KIAH,KSFO
370,KEWR,KRSW
371,KLAX,KDCA
372,WMKK,YMML
373,CYVR,CYOW
374,KRDU,KDAL
375,KOPF,KLAX
376,KMIA,KORD
377,KLAS,KATL
378,KORD,KPDX
379,KTPA,KDEN
380,EGLL,SBGR
381,KDFW,KSJC
382,KSDF,KOAK
383,VOMM,OTHH
384,KSFO,RCTP
385,WSSS,YSSY
386,KSFO,02XS
387,VABB,LSZH
388,PANC,VHHH
389,KDTW,KSFO
390,VIDP,KEWR
391,OMDB,VIDP
392,KLAX,KORD
393,KMSP,KSEA
394,KJFK,KMIA
395,KDEN,KIAD
396,KDAL,KSMF
397,KBOS,KMIA
398,KDTW,KLAS
399,KCLT,KLAS
400,KACY,KRSW
401,KPDX,KATL
402,KFLL,KDEN
403,KPHL,KDEN
404,KBWI,KDFW
405,VIDP,OMSJ
406,KFLL,KORD
407,KDCA,KDEN
408,KTEB,KOPF
409,KMKE,KPHX
410,LTFJ,OBBI
411,NZAA,YBBN
412,UUEE,VHHH
413,KORL,KDFW
414,KSAN,KMSP
415,KMSP,KLAX
416,KPHX,KJFK
417,EGLL,LLBG
418,OTHH,VOMM
419,KSDF,KBFI
420,KPHX,KATL
421,CYVR,CYUL
422,KJFK,KMIA
423,KDEN,KSEA
424,EDDF,FACT
425,KSDF,KABQ
426,KIAD,KDEN
427,VHHH,UUEE
428,KMIA,KDFW
429,KFLL,KLAX
430,LTBA,OMDW
431,EGLL,OTHH
432,KBOS,KATL
433,KSLC,KORD
434,KSDF,KSAN
435,KMIA,KPHL
436,KMKE,KLAS
437,KDEN,KBWI
438,KDFW,KSFO
439,CYVR,EDDF
440,KSRQ,KORD
441,KPHX,KJFK
442,KRDU,KDEN
443,KLGA,KMIA
444,KRSW,KDTW
445,VIDP,KORD
446,KAUS,KSAN
447,KDFW,KPHL
448,KSDF,KPDX
449,KFLL,KSTL
450,VHHH,EDDF
451,KMSP,KSAN
452,TJSJ,KEWR
453,KCLT,KSEA
454,KLAX,KATL
455,KSEA,EHAM
456,KDTW,KPHX
457,KPHX,KJFK
458,SKBO,EHAM
459,KLAX,KBOS
460,KDFW,KLAX
461,KLAS,KIAD
462,KONT,KDFW
463,VHHH,WSSS
464,KDEN,KPHL
465,KSEA,RCTP
466,KCLT,KPHX
467,KATL,KLAS
468,KRSW,KDEN
469,KLAX,CYYC
470,KONT,KDFW
471,KDFW,KLAS
472,KORD,ELLX
473,ELLX,KORD
474,KSDF,KRIR
475,KMDW,KLAS
476,KSFO,KSGS
477,KPHX,KSEA
478,KSEA,KEWR
479,KDAL,KSEA
480,KAUS,KOAK
481,LIRF,KEWR
482,KBOS,KMCO
483,LIMC,OTHH
484,VECC,OTHH
485,KRSW,KDFW
486,KLGB,02XS
487,KDFW,EGLL
488,KLAX,RKSI
489,KSDF,KDEN
490,KBOS,KRSW
491,KEWR,KLAX
492,KCLT,KLAX
493,KOPF,KVNY
494,KMSP,KPHX
495,KPDX,KSGS
496,KDFW,KLAX
497,KAUS,KSFO
498,KSEA,KATL
499,KLAX,KDTW
500,KSDF,KLAX
501,KSFO,KATL
502,LLBG,KJFK
503,KORL,KDEN
504,KBOS,KSEA
505,KIAD,KDEN
506,KAUS,KSFO
507,KSDF,KRIR
508,VECC,OTHH
509,KDTW,KFLL
510,KAPF,KMDW
511,KPHX,CYYC
512,KLAX,EHAM
513,KJFK,SBGR
514,KBOS,KORD
515,NZAA,YSSY
516,KSEA,KSAN
517,KLAX,EGLL
518,KRSW,KDTW
519,KATL,KPHX
520,KLAS,35MN
521,KPHX,KMDW
522,KORD,EHAM
523,KDTW,KDFW
524,KFLL,KDTW
525,KLAX,KJFK
526,KMSP,KRSW
527,KATL,KSLC
528,PANC,RKSI
529,KMSP,KSFO
530,KSEA,KSNA
531,KSAN,KIAD
532,KLAS,TS53
533,KMIA,EDDF
534,KPHX,35MN
535,KORL,KMSP
536,KMSP,KPDX
537,KATL,KSFO
538,KOMA,KPHX
539,KBNA,KSNA
540,KMDW,KLAX
541,KFLL,KBOS
542,KDAL,KBUR
543,KAUS,KLAX
544,VHHH,OMDB
545,KHOU,60CO
546,CYYZ,EDDF
547,KLAX,RCTP
548,KFLL,KMCI
549,KLAS,KATL
550,KATL,KSMF
551,KTPA,KDEN
552,KVNY,7CL9
553,KCMH,KDFW
554,KLGA,KORD
555,PANC,KBFI
556,KLAS,KJFK
557,KHWD,KLVK
558,KPSP,KSEA
559,KATL,KSGS
560,KORL,KORD
561,KLGA,KMDW
562,KDEN,KRSW
563,KAUS,KLAX
564,RJBB,RCTP
565,KDEN,KLAX
566,KRSW,KSTL
567,KATL,KDEN
568,KLAX,KMSP
569,KMSP,KPHX
570,KPHX,KDFW
571,OTHH,KDFW
572,KSTL,KPHX
573,VHHH,PANC
574,NZAA,OMDB
575,KEWR,KATL
576,KDEN,KDTW
577,KRSW,KMDW
578,KORD,KMIA
579,OMDB,EDDF
580,PANC,KLAX
581,KBOS,KFLL
582,KDAL,KSNA
583,KPHX,KEWR
584,KEWR,KMCO
585,OTHH,LIMC
586,KATL,KDEN
587,KSEA,KDCA
588,KFLL,KEWR
589,ELLX,KATL
590,KAUS,KDTW
591,KLGA,KBNA
592,KPDX,KPSP
593,KCVG,KDFW
594,KIAH,KPHX
595,KEWR,KFLL
596,KLAX,02XS
597,KGEG,KPHX
598,KFLL,KEWR
599,KMSP,KLAS
600,OMAA,RPLL
601,KMDW,KSDL
602,KDCA,KMIA
603,OTHH,VIDP
604,KJFK,KLAX
605,SPJC,KJFK
606,KTPA,KTEB
607,KSEA,KLAX
608,KEWR,KLAX
609,KDTW,KSAN
610,RCTP,YSSY
611,KIAD,EKCH
612,KLAX,RKSI
613,KSEA,KTUS
614,KEWR,OMDB
615,KORD,OMDB
616,VIDP,EDDF
617,KFLL,KCMH
618,VOMM,OMDB
619,KSDF,KPHX
620,KATL,KDFW
621,KIAD,KSEA
622,KABE,KAFW
623,VHHH,RPLL
624,KLAS,KDTW
625,KORD,RKSI
626,KTYS,KDEN
627,NK43,KCLT
628,FACT,EHAM
629,KEWR,02XS
630,KMCI,KPHX
631,KRDU,KSEA
632,KATL,KPDX
633,KMSP,KDFW
634,CYOW,CYYC
635,KLAX,KDTW
636,KTPA,KBOS
637,KTPA,KDFW
638,KBWI,KSEA
639,KJFK,KSFO
640,KMCI,KOAK
641,VIDP,OMDB
642,KORD,EDDF
643,KSEA,KSNA
644,KBFI,KSJC
645,KPHX,KPDX
646,PANC,RKSI
647,KTEB,KMDW
648,KLAX,KDAL
649,KMSP,KPHL
650,KLGA,KCLT
651,RCTP,YSSY
652,KVNY,KBNA
653,KSAN,KBWI
654,KTPA,KDTW
655,KSEA,KSAN
656,CYYZ,CYVR
657,KHSV,KDFW
658,KSTL,KDEN
659,KTPA,KDAL
660,KBOS,KSFO
661,KIAD,KMSP
662,OMDB,EKCH
663,LPPT,LPPD
664,VHHH,RKSI
665,KDCA,KLAX
666,KATL,KLAX
667,KEWR,KORD
668,KMDW,KLAS
669,KSEA,KJFK
670,KSNA,KDFW
671,KSAT,KSEA
672,KAUS,KSJC
673,KORF,KMIA
674,KBOS,KSEA
675,LLBG,KEWR
676,CYUL,CYYC
677,KRSW,KMDW
678,VOMM,OMSJ
679,KSEA,KPSP
680,EKCH,KORD
681,KEWR,KCLT
682,KAVP,KORD
683,VOBL,OTHH
684,KRSW,KPHL
685,KTPA,KMDW
686,KDFW,KDTW
687,KSEA,KSGS
688,PANC,RJBB
689,KPHX,KCOS
690,OBBI,LTFJ
691,LLBG,EBLG
692,KAUS,KPHX
693,KTPA,KSTL
694,KBMI,KDFW
695,KSDF,KBOS
696,KPIE,KFXE
697,KSTL,KDFW
698,KSEA,KSFO
699,OMDB,LSZH
700,VHHH,PANC
701,KSFO,EHAM
702,KSEA,KRIR
703,KORD,EHAM
704,KFAT,KPHX
705,WSSS,RPLL
706,ZGSZ,ZUCK
707,KDAL,KSMF
708,KRDU,KMSP
709,VIDP,CYYZ
710,KEWR,EKCH
711,KDEN,KMDW
712,KMCI,KPHL
713,KLAX,KEWR
714,KOPF,SKBO
715,VHHH,PANC
716,KPDX,KLAX
717,EKCH,EGNX
718,KMDW,KPHX
719,KTEB,KBQR
720,YSSY,YMHB
721,KBWI,KDAL
722,KTPA,KLAS
723,KMSP,KATL
724,KSEA,KLAS
725,VIDP,VOBL
726,SBSP,SBBR
727,KSDF,PANC
728,KRDU,KMDW
729,KBWI,KMDW
730,KIAD,KMCI
731,KPHL,KMSP
732,KJFK,KSEA
733,KDFW,KORD
734,KLAS,KISM
735,KTPA,KSEA
736,KDTW,KSEA
737,KPNS,KDCA
738,KSAT,KPHX
739,KLAS,KMDW
740,KMIA,KATL
741,KPHL,KMDW
742,SBGR,LPPT
743,KDCA,KMSP
744,KDFW,KPDX
745,KBJC,KBDU
746,KDEN,KSAN
747,CYYC,CYYZ
748,KLAX,KDFW
749,KBWI,KSRQ
750,KSDF,KBFI
751,KORD,EIDW
752,LFPG,SBGR
753,KSYR,KORD
754,PANC,VHHH
755,VIDP,OMAA
756,KHIO,64OR
757,OTHH,LEMD
758,KBWI,KCLT
759,KSDF,KDFW
760,KHOU,KMDW
761,KMSP,KLAS
762,KTPA,KDCA
763,KAUS,KLAX
764,PANC,KSEA
765,KCLT,KSTL
766,KIAD,EDDF
767,KDAL,KSFO
768,KSTL,KPHL
769,KPNS,KPHL
770,VHHH,UUEE
771,KPDX,KABQ
772,RCTP,WMKK
773,KCMH,KSEA
774,KDFW,CYUL
775,KSEA,KSMF
776,KDFW,KLAS
777,KOAK,KPHX
778,KJFK,KLAS
779,KORL,KDFW
780,KPHL,KLAS
781,KSAT,KBNA
782,KCLT,KMSP
783,PANC,VHHH
784,KDFW,KISM
785,KDFW,35MN
786,KSEA,PANC
787,KAUS,KBNA
788,KJFK,KDTW
789,CYYZ,RKSI
790,KONT,KSEA
791,KNSE,FD82
792,KATL,KFLL
793,YMML,YPPH
794,CYYC,CYVR
795,RJTT,RJFF
796,20II,KISM
797,KBWI,KRSW
798,KPAE,KPSP
799,KRSW,KBWI
800,KMKE,KATL
801,LIPE,EBLG
802,09PA,KORD
803,KBOS,LFPG
804,KSEA,KLAX
805,KDFW,KBNA
806,KSTL,KRSW
807,KSAT,KDEN
808,KAPC,KAPA
809,KDEN,KSFO
810,KORD,KLGA
811,KTPA,KRDU
812,KLGA,KMIA
813,OTHH,LFPG
