Index,Source,Target
1,KSFO,LFPG
2,KLAX,EGLL
3,KLAX,EDDF
4,SBGR,EIDW
5,YMML,OTHH
6,WSSS,LIMC
7,SBGR,KMIA
8,WSSS,EGLL
9,VIDP,KSFO
10,OTHH,SBGR
11,YSSY,OMAA
12,WSSS,KSFO
13,YSSY,OMDB
14,OMDB,EDDK
15,YSSY,OTHH
16,EHAM,SPJC
17,YMML,OTHH
18,VHHH,KJFK
19,LIRF,SBGR
20,VHHH,OMDB
21,WSSS,KLAX
22,OTHH,KJFK
23,KLAX,VHHH
24,EDDF,KSFO
25,VHHH,EHAM
26,OMDB,EDDF
27,ELLX,SBGR
28,GOBD,OMDB
29,LEMD,SKBO
30,RJBB,OMDB
31,EGLL,KLAX
32,VHHH,PANC
33,YPPH,OTHH
34,WSSS,LIMC
35,RCTP,EDDF
36,SBGR,KMIA
37,RJBB,LFPG
38,KSEA,RCTP
39,RCTP,YSSY
40,LSZH,VHHH
41,EGLL,KLAX
42,EHAM,KATL
43,RCTP,KSFO
44,LEMD,SKBO
45,PANC,VHHH
46,VIDP,EDDK
47,SPJC,LEMD
48,LSZH,KORD
49,EFHK,VHHH
50,EGLL,KATL
51,RCTP,KLAX
52,RCTP,KSFO
53,RPLL,OMAA
54,WSSS,NZCH
55,EDDF,KORD
56,WSSS,EGLL
57,LEMD,KJFK
58,VHHH,YSSY
59,EGLL,KLAX
60,WSSS,EHAM
61,VHHH,OTHH
62,KLAX,RCTP
63,WSSS,EDDF
64,RCTP,KLAX
65,KIAD,OMDB
66,VHHH,YMML
67,WSSS,UUDD
68,RCTP,LFPG
69,WSSS,LFPG
70,WSSS,LSZH
71,EGLL,KORD
72,LSZH,SBGR
73,EDDF,KATL
74,EGLL,VIDP
75,RJTT,EDDF
76,OERK,RPLL
77,RCTP,EHAM
78,EGLL,KJFK
79,VHHH,EHAM
80,OMDB,EIDW
81,EDDF,KATL
82,UUEE,VHHH
83,VHHH,KSFO
84,SPJC,KJFK
85,FACT,OTHH
86,EGLL,KIAD
87,WMKK,OMDB
88,LFPG,CYUL
89,VHHH,CYVR
90,EGLL,KHHR
91,CYYZ,VIDP
92,WSSS,OMDB
93,KJFK,OMDB
94,WSSS,YSSY
95,KMIA,KPHX
96,OTHH,YPAD
97,KLAX,YSSY
98,OTHH,YMML
99,EGLL,CYYZ
100,WSSS,EGLL
101,EDDF,KJFK
102,WSSS,LSZH
103,EDDF,SBGR
104,LIRF,VIDP
105,EGLL,KATL
106,EDDF,VOBL
107,WSSS,OMAA
108,PANC,RCTP
109,OTHH,YSSY
110,WSSS,EHAM
111,WMKK,OMDB
112,EHAM,OMDB
113,LFPG,RJTT
114,PANC,KSAN
115,VOBL,EDDF
116,EDDP,KCVG
117,PANC,RJBB
118,KORD,VIDP
119,CYYZ,VHHH
120,WSSS,OTHH
121,WMKK,OMAA
122,KPHL,KLAX
123,BIKF,KORD
124,EGLL,OMDB
125,KTEB,CL36
126,EGLL,KJFK
127,LEZG,OTHH
128,KATL,KSEA
129,SPJC,KMIA
130,KLAX,MROC
131,PANC,KORD
132,KORD,KSMF
133,KBWI,KLAX
134,VIDP,KEWR
135,KIAD,SKBO
136,KTPA,KPHX
137,EGLL,VHHH
138,KEWR,KPHX
139,SBGR,LIRF
140,WMKK,OTHH
141,SPJC,KMIA
142,LFPG,VHHH
143,VIDP,OMDB
144,KJFK,KLAX
145,VHHH,PANC
146,PANC,RJBB
147,KJFK,ELLX
148,WMKK,VECC
149,KSDF,KRIR
150,PANC,KPHX
151,YPPH,WMKK
152,EGLL,KATL
153,VGTJ,OMDB
154,EHAM,VHHH
155,OMDW,UUWW
156,KDCA,KPHX
157,EGLL,OMDB
158,RJBB,KOAK
159,VHHH,OMDB
160,SBGR,KMIA
161,KJFK,KPHX
162,KLAX,YSSY
163,SBGR,LFPG
164,PANC,VHHH
165,EHAM,SBGR
166,KCLT,KHHR
167,KORD,KSEA
168,KMKE,KSEA
169,SPJC,SKBO
170,KATL,KPHX
171,RCTP,EHAM
172,KCLT,KPHX
173,KIAD,KSFO
174,KIWA,KCRQ
175,KSTL,KSMF
176,PANC,KSEA
177,CYVR,VHHH
178,VHHH,PANC
179,KEWR,KLAS
180,KSTL,KLAX
181,KATL,SKBO
182,KRFD,KSEA
183,EGLL,OTHH
184,CYYZ,CYYC
185,KATL,KLAS
186,KSDF,KFAT
187,KDFW,OMDB
188,KBNA,KSLC
189,LFPG,WSSS
190,KSDF,KBOI
191,EBLG,KJFK
192,KIAD,KLAX
193,VIDP,VHHH
194,PANC,KORD
195,EDDK,KSDF
196,KLAX,KBOS
197,KORD,PANC
198,KBNA,KPHX
199,KSDF,KBFI
200,KSTL,KSEA
201,EDDK,KSDF
202,LKPR,OMDB
203,UUDD,OMDB
204,NZRO,NZWN
205,OTHH,LIMC
206,KSDF,KOAK
207,CYVR,CYYZ
208,KLAX,RCTP
209,KORD,KSAN
210,KDFW,KSEA
211,KSEA,KATL
212,LIMC,KJFK
213,KRFD,KPDX
214,KATL,KSFO
215,KSEA,KJFK
216,KSDF,KMHR
217,KSFO,KDTW
218,VABB,KEWR
219,KMCI,KSEA
220,KLAS,KBFI
221,EDDF,OTHH
222,KEWR,VIDP
223,OMDB,VIDP
224,KOAK,KMDW
225,KLAX,RJTT
226,EDDF,SBGR
227,LSZH,VABB
228,KORD,KSFO
229,SBGR,LSZH
230,EGLL,OMAA
231,KFLL,KMSP
232,ENGM,OTHH
233,KRFD,KMHR
234,VGTJ,OMSJ
235,KBOI,KPDX
236,KORD,KPHX
237,KLAX,KFLL
238,KATL,KPHX
239,KORD,KLAX
240,VIDP,KORD
241,TJSJ,KEWR
242,KATL,KSLC
243,KRFD,KRIR
244,OMAA,YMML
245,BIKF,EBLG
246,KBWI,KSAN
247,KORD,KSNA
248,KSDF,KMHR
249,KLAX,KATL
250,VIDP,KJFK
251,KPHL,KOAK
252,SKBO,KMIA
253,KMIA,KPWK
254,KLAX,KMDW
255,KIAH,KSFO
256,KVNY,KMMU
257,KONT,KATL
258,RCTP,KLAX
259,KSEA,KDTW
260,KDFW,KBOS
261,KDTW,KLAS
262,EGSS,KSDF
263,KIAH,KLAX
264,EHAM,VHHH
265,KMSP,KSTL
266,KSFO,KORD
267,KMIA,SKBO
268,KFLL,KMSP
269,KLGA,KDFW
270,CYVR,CYYZ
271,LFPG,OMDB
272,VAJJ,VIDP
273,KIND,KRIR
274,KORD,KBOI
275,KDFW,KSNA
276,KONT,KRDU
277,KDTW,KLAS
278,KDFW,KPDX
279,TJSJ,KEWR
280,KSDF,KOAK
281,VOBL,EDDF
282,KLAS,KDTW
283,KOAK,KLAS
284,LFPG,OTHH
285,VIDP,KIAD
286,KDFW,KSEA
287,KDFW,KSFO
288,VABB,EGLL
289,KLAS,KORD
290,KSFO,KBOS
291,KDEN,KIAD
292,KDAL,KLAS
293,KSDF,KBUR
294,KRSW,KORD
295,KLAX,KDCA
296,KMIA,KDEN
297,VHHH,YSSY
298,KDEN,KMCO
299,KLAS,KFLL
300,SBGL,LFPG
301,VHHH,UUEE
302,KDFW,MROC
303,KSDF,KPDX
304,KFLL,KDEN
305,KDFW,KLGA
306,SKBO,KMIA
307,KPHL,KDEN
308,KORD,KPDX
309,KDTW,KPHX
310,KHOU,KSAN
311,KSFO,KDFW
312,PANC,RCTP
313,KPHL,KDFW
314,KSDF,KBFI
315,KTEB,KVNY
316,KPSP,KJFK
317,KDFW,KLGA
318,KMIA,KVNY
319,KSDF,KRIR
320,KEWR,KDFW
321,KLAX,KIAD
322,KIND,KLAX
323,KPHX,KPHL
324,KOAK,KMDW
325,KPHX,KDTW
326,KSMF,KATL
327,KDFW,KSJC
328,KMKE,KPHX
329,VOBL,OMAA
330,KMSP,KPHX
331,KSTL,KPHX
332,KTPA,KDEN
333,KDCA,KDEN
334,KLAS,KJFK
335,KSEA,KMCO
336,KSDF,KLAX
337,KPDX,KDFW
338,VABB,OMAA
339,KFLL,KISP
340,KMSN,KPHX
341,KSDF,KSAN
342,KBWI,KDFW
343,YSSY,VHHH
344,KAFW,KBUR
345,KOPF,KTEB
346,KBNA,KHOU
347,KSDF,PANC
