Index,Source,Target
1,YSSY,EDDF
2,KLAX,RPLL
3,RKSI,PANC
4,RCTP,KJFK
5,RKSI,PANC
6,WSSS,YBBN
7,YMML,OTHH
8,KLAX,VHHH
9,YSSY,OTHH
10,EHAM,RCTP
11,KLAX,YSSY
12,EHAM,KSFO
13,EHAM,KLAX
14,EGLL,KLAX
15,OMDB,NZAA
16,RCTP,CYVR
17,ELLX,SBGR
18,RCTP,KLAX
19,KSEA,RCTP
20,LHBP,EPWA
21,RKSI,KLAX
22,GOBD,OMDB
23,KEWR,OMDB
24,KLAX,RKSI
25,VHHH,LTBW
26,LEMD,SKBO
27,RKSI,KLAX
28,PANC,VHHH
29,VHHH,EGLL
30,RJBB,EHAM
31,VHHH,EDDF
32,KLAX,RKSI
33,VTBS,UUEE
34,KJFK,RKSI
35,KATL,RKSI
36,EHAM,KORD
37,KSEA,RJTJ
38,RPLL,OTHH
39,VHHH,EGLL
40,WSSS,LSZH
41,VTBS,EHAM
42,RCTP,KLAX
43,WSSS,EGLL
44,PANC,VHHH
45,LEMD,SKBO
46,ELLX,KORD
47,UAAA,EHAM
48,RCTP,KLAX
49,WSSS,EKCH
50,KLAX,SPJC
51,VTBS,EDDF
52,WSSS,EHAM
53,VIDP,KORD
54,OMDB,RPLL
55,EDDF,RKSI
56,WSSS,NZAA
57,KDFW,RKSI
58,KATL,KU42
59,KLAX,RCTP
60,RKSI,OTHH
61,EDDF,RKSI
62,RCTP,KSFO
63,RPLL,OMAA
64,PANC,VHHH
65,KATL,RKSI
66,SBGR,OMDB
67,EGLL,KIAD
68,OBBI,VHHH
69,PANC,RJBB
70,EDDF,RKSI
71,KLAX,EBLG
72,VHHH,WMKK
73,VTBS,EHAM
74,VHHH,CYVR
75,EHAM,KORD
76,WSSS,YMML
77,RKSI,EDDF
78,KDFW,RKSI
79,EDDF,KATL
80,LFPG,KLAX
81,KLAX,RCTP
82,EDDF,SBGR
83,EHAM,KORD
84,OTHH,VHHH
85,KAPF,KTEB
86,RKSI,KLAX
87,KLAX,RKSI
88,EGLL,VHHH
89,KJFK,RKSI
90,KDTW,RKSI
91,KDFW,EDDF
92,PANC,RJBB
93,KSJC,KORD
94,EHAM,VOBL
95,KCVG,EDDP
96,EHAM,VTBS
97,OTHH,VHHH
98,SBGR,EGLL
99,RKSI,LOWW
100,SBGR,LFPG
101,VTBS,OTHH
102,RKSI,LOWW
103,SBGR,EHAM
104,WMKK,OTHH
105,EDDF,VOMM
106,KJFK,LYBT
107,EGLL,RKSI
108,CYYZ,CYVR
109,KSEA,RKSI
110,VIDP,KEWR
111,KEWR,KSFO
112,KSFO,YSSY
113,KSFO,EHAM
114,VTBS,OTHH
115,KMIA,SLVR
116,SBKP,GOBD
117,KSDF,KONT
118,EHAM,WSSS
119,RKSI,EDDF
120,KSEA,KATL
121,WSSS,OTHH
122,OMSJ,WSSS
123,KDFW,RKSI
124,KJFK,KLAX
125,LLBG,EGGW
126,EHAM,VTBS
127,KLAX,KMIA
128,EHAM,RKSI
129,LFPG,RKSI
130,EDDF,VOBL
131,KLAX,KFLL
132,VHHH,OMDB
133,KTEB,KVNY
134,SAEZ,EGLL
135,EDDK,VHHH
136,KEWR,KLAS
137,KSFO,KFLL
138,KORD,PANC
139,PANC,KSEA
140,KSEA,KJFK
141,VIDP,LFPG
142,KLAX,RCTP
143,KSEA,KFLL
144,EHAM,SBGR
145,KJFK,KLAX
146,KSNA,KATL
147,KSMF,KATL
148,PANC,KMSP
149,KOAK,KLAS
150,KFLL,KLAS
151,KBOS,KLAX
152,KSEA,KJFK
153,KLAX,RKSI
154,KBWI,KU42
155,KDTW,KSEA
156,KSEA,KJFK
157,KLAX,EHAM
158,KSAN,KJFK
159,KSFO,KJFK
160,KLAS,KJFK
161,EHAM,SAEZ
162,KSAN,KJFK
163,KLAX,KATL
164,KATL,KDEN
165,LFPG,OMDB
166,RJBB,KOAK
167,EGLL,OMDB
168,KDTW,KLAX
169,EGSS,KSDF
170,EDDF,VHHH
171,KPHX,KBWI
172,LFPG,RKSI
173,VIDP,EDDM
174,KATL,KPDX
175,KPHL,KLAX
176,KJFK,KSFO
177,KLAS,KJFK
178,KJFK,KLAX
179,CYVR,CYYZ
180,KLAX,KATL
181,KSMF,KJFK
182,CYVR,CYOW
183,EDDF,OMDB
184,KSFO,KBOS
185,KLAX,KJFK
186,KSJC,KATL
187,KATL,KSFO
188,KLAX,KBOS
189,KORD,KLAX
190,KLAX,KATL
191,KDFW,PANC
192,KSFO,KATL
193,CYYZ,CYVR
194,KPDX,KATL
195,NZAA,CYVR
196,EDDF,SBGR
197,RKSI,PANC
198,KSEA,RKSI
199,KATL,KSEA
200,KSAN,KATL
201,YMML,YPPH
202,UUWW,UNEE
203,KLAX,KDCA
204,EHAM,SBKP
205,KLAX,KDCA
206,KSDF,KBFI
207,LPPT,KMIA
208,KSEA,KDTW
209,VIDP,OERK
210,KDAL,KSEA
211,VABB,EGLL
212,KCLT,KSFO
213,UAAA,EDDF
214,VHHH,KLAX
215,CYVR,CYUL
216,VOBL,WSSS
217,KATL,KLAS
218,KPHX,KPHL
219,EGLL,OMDB
220,KLAX,KORD
221,KBOS,KSAN
222,KBOS,KDFW
223,OMDW,RCTP
224,KCLT,KLAS
225,VABB,VHHH
226,KLAX,KMIA
227,KSEA,KATL
228,CYVR,EHAM
229,RKSI,PANC
230,KLAX,KBNA
231,KLAS,KEWR
232,KCLT,KPHX
233,KORD,KSAN
234,KORD,KPDX
235,KORD,KPDX
236,CYYZ,EDDF
237,KSTL,KSEA
238,KSAN,KEWR
239,KPDX,KORD
240,KSJC,KSTL
241,KSFO,RKSI
242,WMKK,VHHH
243,KPDX,KDFW
244,KSFO,KEWR
245,PANC,KLAX
246,KDEN,KATL
247,KSDF,KPDX
248,CYYZ,LSZH
249,OTHH,YSSY
250,OMDB,LFPG
251,KLAX,EDDF
252,KDEN,KLAS
253,PANC,VHHH
254,LFPG,OTHH
255,TJSJ,KATL
256,KSFO,KVNY
257,KATL,EHAM
258,KORL,KLAS
259,KLAX,RJTT
260,KSEA,KDFW
261,CYUL,CYYC
262,KCMH,KLAS
263,KJFK,KU42
264,KLAS,KDCA
265,SPJC,EHAM
266,KLAS,KDAL
267,CYYZ,CYVR
268,KLAX,KIAD
269,CYVR,CYYZ
270,KDFW,KPDX
271,LLBG,KJFK
272,KFLL,KORD
273,KPHL,KPHX
274,KLAX,KJFK
275,OMDB,EDDF
276,KABQ,KPHX
277,EGLL,VHHH
278,CYOW,CYYC
279,KMDW,KPHX
280,KSAT,KSEA
281,KSFO,KJFK
282,KLAS,KORD
283,YBCS,YBBN
284,KORD,EKCH
285,KLAX,KEWR
286,EGLL,OMDB
287,PANC,VHHH
288,KSDF,KABQ
289,KLGA,KDFW
290,KBWI,TJIG
291,VABB,EGLL
292,KSDF,KPHX
293,KORD,EDDF
294,KJFK,KSFO
295,KBWI,KSAN
296,OTHH,VOMM
297,KPHX,KBOS
298,LLBG,KEWR
299,KDEN,KATL
300,KSDF,KLAX
301,KDCA,KSEA
302,KBNA,KOAK
303,KJFK,LIRF
304,KEWR,KLAX
305,KRSW,KORD
306,KCMH,KSEA
307,KDCA,KU42
308,VHHH,PANC
309,KBNA,KSJC
310,KATL,KLAS
311,KBNA,KLAS
312,KMKE,KPHX
313,KDFW,EDDF
314,KRDU,KDEN
315,RKSI,EDDP
316,KBWI,KPHX
317,LLBG,UKBB
318,KSAN,KDAL
319,KLAS,35MN
320,KHOU,KLAS
321,NZAA,YMML
322,YSBK,YSWG
323,KBOS,LFPG
324,KSEA,RKSI
325,VAJJ,VIDP
326,KABE,KAFW
327,KSFO,KEWR
328,KJFK,KLAX
329,KLAX,KDAL
330,KBOS,35MN
331,WSSS,YSSY
332,KPHX,KORD
333,VIDP,EHAM
334,KJFK,KSEA
335,KBOS,KFLL
336,KDAL,KSFO
337,SBBR,SBSP
338,PANC,KSEA
339,KSAN,KBOS
340,LLBG,UUDD
341,OTHH,YMML
342,KJFK,EHAM
343,KEWR,EKCH
344,LFPG,RKSI
345,KATL,KPHX
346,KORL,KU42
347,KMSP,KLAS
348,KATL,KLAS
349,PANC,KSEA
350,KDFW,KMIA
351,KDAL,KSNA
352,KDCA,KDFW
353,WSSS,VABB
354,TJSJ,KEWR
355,EGLL,SBGR
356,KRSW,KMDW
357,KLGA,KDAL
358,KFAT,KDFW
359,NZAA,YBBN
360,KMIA,KDFW
361,KBOS,KLAS
362,KJFK,KSFO
363,KHOU,KSAN
364,KDFW,KLAX
365,KBFI,KLAS
366,KLAX,KPHL
367,KSAN,KDFW
368,SPJC,KMIA
369,KLAX,KDFW
370,ZGSZ,RJBB
371,KEWR,KFLL
372,KORD,KSEA
373,KLAX,KORD
374,KSDF,KONT
375,KBOS,KSEA
376,KDEN,KSEA
377,KDEN,KFLL
378,OTHH,VABB
379,KSMF,KDFW
380,KMSP,KATL
381,NZAA,YSSY
382,KATL,LFPG
383,KMDW,KLAS
384,KIAD,KDFW
385,KDEN,KEWR
386,KSEA,KBOS
387,VIDP,EGLL
388,KLAS,KTEB
389,LFPG,RJBB
390,RKSI,VHHH
391,KATL,KLAS
392,OTHH,WMKK
393,KLAX,KTUL
394,EGLL,OTHH
395,KPDX,KSTL
396,KDFW,EGLL
397,EGBB,LIRF
398,KLAS,KSDF
399,KFLL,KORD
400,KDAL,KSMF
401,KMDW,KSFO
402,KSEA,KMDW
403,OTHH,RKSI
404,KDFW,KFLL
405,LEAL,EGGP
406,LEMG,EGGW
407,KATL,KSEA
408,KFLL,CYUL
409,KDFW,KFAT
410,KORD,EIDW
411,VHHH,OMDB
412,LFPG,SBGR
413,KPDX,KPHX
414,KLAX,CYVR
415,KLAX,KORD
416,KDAL,KSJC
417,BIKF,EGGW
418,OMAA,RPLL
419,KDTW,KDFW
420,KSNA,KDFW
421,KSTL,KLAS
422,KSEA,KBNA
423,KIAH,KLAX
424,KSTL,KATL
425,KBNA,KSAN
426,KRVS,KGKY
427,KJFK,KSFO
428,KDCA,KLAX
429,CYUL,EDDF
430,KORD,KU42
431,KLAX,KFLL
432,KPHX,KBNA
433,KDFW,KU42
434,CYYC,CYYZ
435,KSEA,KPHX
436,KRSW,KBOS
437,VTBS,VECC
438,KLGA,KDFW
439,KDFW,KU42
440,KORL,KMDW
441,KONT,KDFW
442,KBWI,KFLL
443,KATL,KSMF
444,KLAS,KFLL
445,KAUS,KDEN
446,KORD,PANC
447,KBOS,KSFO
448,KSDF,KBFI
449,KEWR,EDDF
450,KFLL,KDFW
451,KBOS,KMDW
452,KATL,KLAS
453,KLAX,KJFK
454,KORD,EGLL
455,KABQ,KSEA
456,KMDW,KHOU
457,KDFW,KDCA
458,CYYZ,CYYC
459,KPHX,KSTL
460,KRSW,KMDW
461,KLAS,KMCI
462,KDAL,KLAS
463,KAUS,KSAN
464,KEWR,KMSP
465,KSDF,KBOS
466,KATL,CYYC
467,KDFW,KLAS
468,KSEA,KSAN
469,KDEN,KSMF
470,OTHH,VTBS
471,KLAS,KDFW
472,UUDD,ULMM
473,KATL,KDEN
474,KBOS,KLAS
475,KSEA,PANC
476,KATL,KSFO
477,KMCI,KATL
478,KIAD,KDEN
479,KBWI,KLAS
480,KJFK,KPHX
481,VECC,OTHH
482,KATL,KU42
483,KLAS,KFLL
484,KFLL,KMDW
485,KIAG,KPGD
486,KLAS,KCMH
487,VIDP,VABB
488,KDFW,KSFO
489,KORD,KLAX
490,KATL,KMSP
491,OTHH,KJFK
492,MROC,KMIA
493,KPHX,KBOI
494,KLAS,KMKE
495,KJFK,KLAX
496,KDEN,KSJC
497,YMML,VHHH
498,KLAS,KDFW
499,KAPA,KDPA
500,KORF,KORD
501,KPHL,KSTL
502,SAEZ,SKMA
503,KDEN,KSAN
504,KDFW,KATL
505,KHPN,KPWK
