Index,Source,Target
1,KDFW,KSAN
2,KLGB,KVNY
3,KFUL,KLGB
4,KPHX,CO12
5,0CL3,KSDM
6,LFPG,OMDB
7,KOKB,KCRQ
8,KATL,KTPA
9,KSEE,KMYF
10,KSEE,KMYF
11,KSMO,KCRQ
12,SBVT,SBGR
13,KDEN,KCMH
14,KDFW,KRDU
15,KSEA,KOMA
16,RJTT,RJOA
17,83LL,KCPS
18,37CA,KCRQ
19,OR81,KHIO
20,YAMB,YBAF
21,KRAL,KFUL
22,KAWO,96WA
23,37AZ,KIWA
24,KBLI,KSEA
25,KABQ,KAEG
26,KCBF,KRDK
27,WN13,KBFI
28,KGHG,KHYA
29,YSBK,YSSY
30,KLVK,KPAO
31,TX91,KADS
32,KAPA,KBJC
33,KCYO,KLCK
34,KVIS,KOAK
35,KATL,KCMH
36,55AZ,KFFZ
37,KA39,KFFZ
38,KALN,KSET
39,YTYA,YMMB
40,YMMB,YFCK
41,KORF,KBWI
42,KPHX,KLAX
43,KCYO,KLCK
44,0LL1,KSET
45,YLTV,YMMB
46,KFTG,KMDW
47,96WA,KBFI
48,CAK3,CZBB
49,KEMT,KBUR
50,KM54,KBNA
51,KEMT,KCMA
52,YLED,YMPC
53,64OR,KPDX
54,KEMT,KVNY
55,YTDN,YMMB
56,KA39,KFFZ
57,KEMT,KCCB
58,KVNY,KSMO
59,KRNM,KCRQ
60,KFLL,KBNA
61,KPOC,KEMT
62,KLMO,KBJC
63,KRDG,KN47
64,55AZ,KFFZ
65,KOXR,KSMO
66,KFHR,KBFI
67,KMDW,KATL
68,KDMA,KTUS
69,KATL,K4B8
70,KORL,KMDW
71,KP08,KIWA
72,KMMV,KHIO
73,K2K9,KRVS
74,YBCG,YSPT
75,KATL,KFLL
76,KLGB,KOAK
77,KLGB,KSNA
78,KAVQ,KFFZ
79,KJFK,EGLL
80,KDFW,KSNA
81,KDFW,KBNA
82,KTOA,KAVX
83,KMIA,KBOS
84,0CN2,KSMF
85,RJFF,RJTT
86,KTKI,KADS
87,KSEA,KSJC
88,KPHX,KU42
89,KSAN,KBOI
90,KMDW,KLGA
91,KONT,KOAK
92,OK13,KRVS
93,KBUR,KVNY
94,KMJX,KTTN
95,KBNA,KISM
96,KDFW,KMSP
97,KAUN,KSAC
98,KPWK,CYHM
99,RCTP,RJFF
100,CYUL,CYYZ
101,KLAS,KPHX
102,KLMO,KBJC
103,KEUL,08ID
104,KCRQ,KSEE
105,KXFL,KDAB
106,YMEN,YRSY
107,VIDP,VECC
108,KMIA,KLAS
109,KPDX,KONT
110,KDFW,KABQ
111,KPWT,KRNT
112,KSYR,KPEO
113,KPOC,KLGB
114,KMIA,KPHL
115,KEWR,EGLL
116,KLAX,KCVG
117,KCRQ,KSDL
118,KPHX,KDFW
119,VIDP,KSFO
120,KATL,KORD
121,KJFK,KBOS
122,KDFW,KMIA
123,EGSS,EGPH
124,KAPC,KFAT
125,KOBI,KPHL
126,RJTT,RJBB
127,KPHX,KATL
128,KPTK,KDET
129,KATL,KSDF
130,YPPF,YCVG
131,CYVR,CYUL
132,6PA3,KMDT
133,KDEN,KRDU
134,KLAX,KU42
135,KMDW,KMCI
136,OMDB,ZGSZ
137,KDFW,KORF
138,KDFW,60CO
139,KIAD,KOPF
140,KCLT,KPHL
141,KATL,KDFW
142,KMSP,KLGA
143,KSEA,KPDX
144,KSMF,KU42
145,CL46,KSNA
146,KMIA,KMSP
147,KORD,LSZH
148,VHHH,WMKK
149,EBBR,EDDP
150,YSSY,NZAA
151,KPHX,KHHR
152,LEBL,LEMD
153,KSAN,KOAK
154,KCLT,KSAN
155,KMDW,KOAK
156,KDFW,KBOI
157,ZUCK,ZGSZ
158,KMYF,KTOA
159,KSEA,PANC
160,KMIA,NC03
161,KATL,60CO
162,KCLT,ME45
163,SBKP,SAEZ
164,KDEN,KISM
165,KATL,KORF
166,KSEA,KBUR
167,KFLL,KDCA
168,KDAL,KHOU
169,KLAS,KSMF
170,CA62,KPRB
171,KONT,KU42
172,YMMB,YLOY
173,EGSS,EGAA
174,KATL,KSRQ
175,SBBR,SBSP
176,KBUR,KWHP
177,KMIA,KRDU
178,CYVR,CYYZ
179,KPDX,KSJC
180,KJYO,KOKV
181,EDDK,EKCH
182,YCNK,YSBK
183,VABB,VOMM
184,KIAH,KDAL
185,KLAS,KOAK
186,OTHH,EGLL
187,KABQ,KPHX
188,MD35,KBWI
189,VHHH,RKSI
190,KDFW,KSFO
191,KRVS,19OK
192,RJOA,RJTT
193,KATL,KMIA
194,KSEA,KPSP
195,KBUR,KOAK
196,KCLT,KORD
197,KLAX,KSFO
198,KSNA,KBFI
199,KMIA,KCMH
200,KDFW,KATL
201,KPDX,KSFO
202,KTTN,PA77
203,KATL,67KY
204,KLAX,KOAK
205,CYYJ,CYVR
206,KSJC,KPDX
207,RJOA,RJTT
208,KDFW,KSDF
209,KSNA,KU42
210,KDFW,KOMA
211,KFLL,KLAX
212,YMML,YPPH
213,KMDW,KBWI
214,KBFI,KVNY
215,KORD,OTHH
216,CYVR,CAM3
217,KVIS,KFCH
218,RCTP,KLAX
219,YSSY,VHHH
220,KJYO,01VA
221,KHQZ,KADS
222,KDFW,KSJC
223,KSNA,CO12
224,RJOO,RJTT
225,KATL,KCLE
226,KNOW,KSEA
227,KAJO,KFUL
228,KMIA,KHFD
229,KJZP,KPDK
230,KRNM,KMYF
231,KSBP,KONT
232,KCLT,KCMH
233,KDFW,KPHX
234,KSMF,60CO
235,KCLT,4VA1
236,KDAL,CO12
237,KDFW,KDCA
238,TJSJ,KEWR
239,CA66,KPAO
240,KCLT,KSTL
241,YWVL,YBBN
242,WMKJ,WMKK
243,KATL,RKSI
244,KSAN,KU42
245,YSSY,YBBN
246,KSAC,KMHR
247,KLAX,PANC
248,KRVS,40OK
249,EDDK,EGNX
250,KONT,KSFO
251,CYOW,CYHM
252,KCLT,KORF
253,KBLI,KSEA
254,KMIA,KEWR
255,KSGF,KMKC
256,NZAA,NZPM
257,TJSJ,KJFK
258,KSNA,KSBA
259,KMHR,KLVK
260,KSFO,UT13
261,KCLT,KBUF
262,KAPA,KHOU
263,KPDX,KSDF
264,KSEA,KSFO
265,KDFW,KPDX
266,RCTP,PANC
267,KCMA,0CA3
268,RJTT,RJOO
269,KCLT,KRDU
270,RJOO,RJOM
271,KWDR,KLZU
272,MD35,KBWI
273,KBUR,KWHP
274,KBUR,KLAS
275,KDFW,KFAT
276,KLGB,KSLI
277,KSMF,KSAN
278,KATL,6NC8
279,KMIA,KLGA
280,KLZU,KHOU
281,KPDX,KU42
282,KDFW,KLAS
283,KBWI,KCLT
284,NZTG,NZCH
285,KDFW,KORD
286,KSFO,KLAX
287,VT48,KSYR
288,KSJC,KSAN
289,RCQC,RCKH
290,KCLT,KPLR
291,KSEA,KU42
292,KBWI,KBOS
293,KSNA,KONT
294,KIAH,KEWR
295,KDFW,KISM
296,KCLT,KATL
297,PANC,KONT
298,KORL,KPHL
299,NZCH,NZWN
300,KDFW,KU42
301,KCWA,KMKE
302,KDMW,KGAI
303,KVIS,KOAK
304,KPHX,KSEA
305,KMIA,60CO
306,KATL,KBWI
307,KDFW,KLAX
308,EDDP,LFPG
309,KCLT,KDFW
310,KSTS,KLAX
311,KMIA,MROC
