Index,Source,Target
1,KORD,EHAM
2,UUEE,EDDP
3,SBGR,EIDW
4,KMIA,SPJC
5,KLAX,EDDF
6,OMDB,EHAM
7,KLAX,YSSY
8,WSSS,LIMC
9,KORD,YSSY
10,RCTP,KSFO
11,RKSI,PANC
12,RKSI,EDDF
13,YMML,OMDB
14,KJFK,RKSI
15,YSSY,OMDB
16,EDDF,RKSI
17,KEWR,VABB
18,KEWR,OMDB
19,LFPG,RJBB
20,WSSS,YBBN
21,VHHH,EBLG
22,YSSY,OTHH
23,YMML,OTHH
24,EHAM,VHHH
25,RCTP,CYYZ
26,WMKK,EHAM
27,EDDF,RKSI
28,KSFO,RKSI
29,RJBB,EBLG
30,VHHH,KLAX
31,KSFO,RCTP
32,KLAX,RKSI
33,EHAM,KLAX
34,CYYZ,RKSI
35,EHAM,RCTP
36,KJFK,VHHH
37,EGLL,KLAX
38,RJBB,OMDB
39,KLAX,EBLG
40,VHHH,UAAA
41,YPPH,OTHH
42,EHAM,RJBB
43,LPPT,SBGR
44,KATL,RKSI
45,KORD,KSFO
46,VHHH,EGLL
47,RCTP,KSEA
48,VHHH,CYYZ
49,RCTP,KSFO
50,EHAM,VHHH
51,RCTP,KSFO
52,VHHH,EGLL
53,RCTP,KLAX
54,RCTP,CYVR
55,RCTP,EDDF
56,RCTP,LFPG
57,VHHH,EGLL
58,WSSS,EHAM
59,VHHH,YSSY
60,KLAX,RKSI
61,RKSI,EHAM
62,EGLL,KATL
63,RKSI,OMDB
64,VHHH,KLAX
65,WSSS,EHAM
66,KJFK,OMDB
67,RCTP,KLAX
68,VHHH,OMDW
69,RKSI,OTHH
70,EDDF,KORD
71,VHHH,YMML
72,EDDF,KORD
73,EDDF,RKSI
74,KLAX,YSSY
75,RKSI,UUEE
76,EDDF,KATL
77,KATL,RKSI
78,RCTP,EHAM
79,EGLL,VHHH
80,PANC,RKSI
81,KORD,VHHH
82,VHHH,LFPG
83,SPJC,EHAM
84,KLAX,VHHH
85,RKSI,PANC
86,SBGR,OMDB
87,VHHH,EGLL
88,VHHH,OMDW
89,KIAD,OMDB
90,EDDF,RKSI
91,PANC,RJBB
92,RKSI,EDDF
93,EGLL,KJFK
94,PANC,RKSI
95,LFPG,KORD
96,RKSI,OTHH
97,EDDK,KSDF
98,SAEZ,EHAM
99,WSSS,LSZH
100,KMIA,SKMA
101,VHHH,PANC
102,LIRF,KEWR
103,VHHH,OTHH
104,CYYZ,LTBW
105,KORD,UUEE
106,KLAX,RKSI
107,EGLL,VHHH
108,PANC,VHHH
109,EDDF,WSSS
110,EHAM,OMDB
111,WMKK,LTBA
112,EINN,KORD
113,VHHH,PANC
114,SKBO,LEMD
115,KLAX,ELLX
116,KATL,PANC
117,EDDF,RKSI
118,KSFO,YSSY
119,PANC,RKSI
120,KJFK,EBLG
121,EGCC,OMAA
122,EGLL,RKSI
123,CYYZ,OMDB
124,LFPG,KATL
125,KSDF,KONT
126,PANC,RJBB
