Index,Source,Target
1,SBGR,LIRF
2,RCTP,KIAH
3,EDDF,RKSI
4,VHHH,EBLG
5,YSSY,OMDB
6,EDDF,SBGR
7,YSSY,OMAA
8,KORD,EHAM
9,YSSY,OTHH
10,VIDP,EDDK
11,YMML,OTHH
12,RPLL,KLAX
13,YMML,OMDB
14,SAEZ,EHAM
15,KSFO,WSSS
16,KSEA,RKSI
17,EGLL,KLAX
18,ELLX,SBGR
19,RCTP,KLAX
20,RJBB,LFPG
21,YPPH,OTHH
22,RJBB,OMDB
23,EPWA,KJFK
24,EHAM,KATL
25,LEMD,SKMA
26,VHHH,LTBW
27,PANC,VHHH
28,WSSS,LTBW
29,WMKK,LTBW
30,VHHH,EDDF
31,VHHH,EGLL
32,RJBB,EHAM
33,EGLL,KLAX
34,RCTP,EDDF
35,WSSS,EGLL
36,WSSS,EHAM
37,KLAX,RKSI
38,EGLL,VTBS
39,PANC,RCTP
40,VHHH,PANC
41,RCTP,KSFO
42,RPLL,OTHH
43,EDDM,KEWR
44,WSSS,EDDF
45,RCTP,KLAX
46,SPJC,LEMD
47,RCTP,KLAX
48,KLAX,RKSI
49,WSSS,EHAM
50,VTBS,EHAM
51,VHHH,YSSY
52,KLAX,SPJC
53,VHHH,EGLL
54,KLAX,RCTP
55,EDDF,KORD
56,KATL,RKSI
57,VHHH,YMML
58,WSSS,LFPG
59,EGLL,KIAD
60,UUEE,VHHH
61,RPLL,OMAA
62,CYYZ,RKSI
63,EGLL,KLAX
64,OTHH,WMKK
65,KATL,RKSI
66,VTBS,LOWW
67,PANC,RJBB
68,VOMM,VIDP
69,KLAX,YSSY
70,71KY,OBBI
71,VTBS,EHAM
72,WSSS,YSSY
73,KLAX,YSSY
74,KLAX,RKSI
75,KORD,RKSI
76,KATL,KU42
77,PANC,RKSI
78,VHHH,EDDF
79,VHHH,EHAM
80,EHAM,RKSI
81,LFPG,CYVR
82,EDDF,RKSI
83,LIRF,KEWR
84,SKBO,EHAM
85,KORD,VIDP
86,KJFK,RKSI
87,PANC,RKSI
88,VHHH,EFHK
89,WSSS,LSZH
90,EGLL,OTHH
91,VHHH,OTHH
92,PANC,VHHH
93,EDDF,RKSI
94,OMDB,RPLL
95,EGLL,VHHH
96,MROC,LEMD
97,KVNY,KPTK
98,PANC,VHHH
99,KBOS,KSFO
100,EDDF,RKSI
101,WSSS,OTHH
102,OMSJ,WSSS
103,ETAR,KBWI
104,WMKK,OTHH
105,SBGR,LFPG
106,KSFO,YSSY
107,EBBR,KORD
108,KATL,RKSI
109,KIAD,RKSI
110,VHHH,KJFK
111,PANC,RKSI
112,EDDF,KJFK
113,PANC,RJBB
114,EHAM,VTBS
115,WMKK,OMDB
116,SBGR,LPPT
117,KDTW,RKSI
118,KSDF,KONT
119,KJFK,PANC
120,SBGR,EGLL
121,CYYZ,CYVR
122,KSFO,RKSI
123,KSNA,KTEB
124,YPPH,WMKK
125,KORD,PANC
126,EDDF,VIDP
127,LPPT,KBOS
