Index,Source,Target
1,KLAX,EBLG
2,WMKK,LTBW
3,WSSS,LFPG
4,KLAX,VHHH
5,YSSY,OMAA
6,VHHH,EBLG
7,RCTP,KJFK
8,YSSY,OMDB
9,KDFW,RKSI
10,YMML,OMDB
11,RPLL,KLAX
12,KLAX,VHHH
13,OTHH,KJFK
14,YMML,OTHH
15,VHHH,EHAM
16,RCTP,EHAM
17,YSSY,OTHH
18,VHHH,KLAX
19,SBKP,KMIA
20,EHAM,KSFO
21,KSFO,WSSS
22,RCTP,KSFO
23,RPLL,KSFO
24,KJFK,VHHH
25,EDDF,EGSS
26,EGLL,KLAX
27,KLAX,VHHH
28,YPPH,OTHH
29,RJBB,OMDB
30,RKSI,KLAX
31,RKSI,OMDB
32,VHHH,PANC
33,EHAM,KATL
34,PANC,VHHH
35,WMKK,EGLL
36,VHHH,EDDF
37,RCTP,KSFO
38,RCTP,KLAX
39,LSZH,KEWR
40,RKSI,EHAM
41,RCTP,KSFO
42,RCTP,EDDF
43,SBKP,KMIA
44,RCTP,KLAX
45,WSSS,EGLL
46,RCTP,EHAM
47,RCTP,KSEA
48,EGLL,KORD
49,RPLL,OTHH
50,VHHH,EDDF
51,RCTP,KLAX
52,WSSS,EHAM
53,EGLL,KLAX
54,KLAX,RKSI
55,VHHH,EGLL
56,VHHH,OMDB
57,WSSS,LSZH
58,VHHH,YMML
59,EDDF,VABB
60,VHHH,YSSY
61,VHHH,EGLL
62,KATL,RKSI
63,WSSS,EHAM
64,RKSI,OTHH
65,CYYZ,VIDP
66,WSSS,EDDF
67,RPLL,OMAA
68,UUEE,RKSI
69,RKSI,CYVR
70,UUEE,VHHH
71,KJFK,RKSI
72,EGLL,KIAD
73,CYYZ,RKSI
74,KDFW,RKSI
75,KEWR,VABB
76,VHHH,EHAM
77,RKSI,KSFO
78,RCTP,PANC
79,KATL,RKSI
80,OTHH,WMKK
81,KLAX,RKSI
82,VHHH,KSFO
83,KLAX,YSSY
84,WSSS,LFPG
85,VHHH,EDDF
86,EDDF,KLAX
87,KDFW,RKSI
88,KEWR,LLBG
89,RKSI,EDDF
90,EBLG,KJFK
91,KORD,RKSI
92,VHHH,OMDB
93,WSSS,YSSY
94,EGLL,VHHH
95,VHHH,LOWW
96,LFPG,CYVR
97,EHAM,KORD
98,VHHH,EGCC
99,WSSS,LSZH
100,ZGSZ,PANC
101,LFPG,RJTT
102,VABB,KEWR
103,KJFK,RKSI
104,VHHH,PANC
105,RKSI,PANC
106,PANC,RJBB
107,KIAD,OMDB
108,KBOS,KSFO
109,RKSI,PANC
110,KDFW,EDDF
111,EBMB,OMDB
112,KJFK,RKSI
113,KSEA,RCTP
114,LFPG,RJTT
115,71KY,OBBI
116,WSSS,OTHH
117,KSFO,YSSY
118,EGLL,VHHH
119,SBGR,LFPG
120,OMDB,SBGR
121,PANC,RKSI
122,KSFO,RKSI
123,PANC,RJBB
124,WMKK,OTHH
125,OMDB,WSSS
126,KJFK,PANC
127,VHHH,PANC
128,TJSJ,KIWA
129,LFPG,CYVR
130,OBBI,RPLL
131,PANC,RKSI
132,EDDF,RKSI
133,KLAX,RKSI
134,ELLX,KORD
135,KLAX,RCTP
136,KLAX,YSSY
137,EGLL,OMDB
138,KSFO,RCTP
139,KEWR,KSFO
140,LPPT,KEWR
141,EDDF,VIDP
142,OTHH,LIMC
143,KBWI,KOAK
144,RKSI,PANC
145,LPPT,CYYZ
146,VIDP,KEWR
147,RKSI,PANC
148,KEWR,KSEA
149,PANC,KSEA
150,SBGR,EGLL
151,WSSS,VOBL
152,VIDP,LFPG
153,PANC,RKSI
154,KJFK,KLAX
155,PANC,RKSI
156,CYVR,YSSY
157,LPPT,KMIA
158,KJFK,KSFO
159,VHHH,PANC
160,LFPG,WSSS
161,EHAM,WSSS
162,KSFO,EHAM
163,CYVR,RKSI
164,EGLL,OMAA
165,EDDF,SBKP
166,KLAX,RKSI
167,EGLL,KJFK
168,EDDF,KJFK
169,CYVR,VHHH
170,EHAM,VHHH
171,VABB,EDDF
172,PANC,KSDF
173,LSZH,OMDB
174,KSFO,RKSI
175,KEWR,LIRF
176,LIMC,RKSI
177,EHAM,KORD
178,KSFO,KFLL
179,KEWR,LLBG
180,LIMC,OMDB
181,KSFO,KBOS
182,RCTP,PANC
183,KORD,PANC
184,KBWI,KLAS
185,EDDF,OTHH
186,KJFK,KLAX
187,EGLL,OMDB
188,KLAS,KJFK
189,KORL,KLAS
190,EHAM,RKSI
191,PANC,RKSI
192,VIDP,EDDM
193,PANC,VHHH
194,KSFO,KJFK
195,KDAL,KBFI
196,KJFK,PANC
197,LSZH,VABB
198,KPHL,KPHX
199,EBLG,KJFK
200,PANC,RKSI
201,KLAX,KBOS
202,EHAM,RKSI
203,EGLL,WSSS
204,SBKP,KMIA
205,KATL,KSEA
206,KTPA,KLAS
207,EDDF,KATL
208,KBOS,KLAX
209,KSFO,KBOS
210,PANC,KBFI
211,WSSS,EDDF
212,KJFK,KSFO
213,EHAM,VHHH
214,KPHX,KJFK
215,KJFK,KLAX
216,KSMF,KJFK
217,KPHL,KLAX
218,LFPG,OMDB
219,KPDX,KATL
220,KJFK,EDDF
221,KLAX,KORD
222,EGLL,OTHH
223,LFPG,KORD
224,EGLL,RKSI
225,OTHH,EGSS
226,CYVR,CYOW
227,EHAM,KORD
228,KSMF,KATL
229,KDTW,KSEA
230,PANC,VHHH
231,KEWR,KLAX
232,KLAX,KDCA
233,KDFW,PANC
234,KSEA,RKSI
235,KEWR,KDEN
236,UUWW,UNEE
237,EDDF,OMDB
