Index,Source,Target
1,PANC,KLAX
2,KLAX,EDDF
3,KSFO,EDDF
4,KLAX,YSSY
5,WSSS,KSFO
6,KMIA,KLAX
7,YSSY,OMDB
8,RCTP,KJFK
9,YMML,OMDB
10,RCTP,CYYZ
11,OTHH,KJFK
12,WSSS,KLAX
13,YSSY,OTHH
14,YMML,OTHH
15,KLAX,VHHH
16,RCTP,KLAX
17,EGLL,KLAX
18,YMML,OTHH
19,VHHH,LOWW
20,EDDF,KLAX
21,KLAX,RCTP
22,LFPG,MMUN
23,PANC,VHHH
24,RJBB,OMDB
25,YMML,WSSS
26,LEMD,SKBO
27,KDEN,KEWR
28,WSSS,LIMC
29,RCTP,EDDF
30,VHHH,PANC
31,RCTP,KLAX
32,EGLL,KLAX
33,VHHH,EDDF
34,RJTT,EDDF
35,CYVR,RJAK
36,WSSS,LSZH
37,RPLL,KSFO
38,VHHH,EGLL
39,RCTP,KSFO
40,KLAX,WSSS
41,WSSS,EGLL
42,RCTP,KSFO
43,RCTP,KSEA
44,KJFK,UKBB
45,KJFK,OMDB
46,EDDF,RJTT
47,KSEA,PANC
48,VHHH,EGLL
49,VHHH,YSSY
50,KDFW,KORD
51,VHHH,LFPG
52,RCTP,KLAX
53,PANC,VHHH
54,MMTJ,SPJC
55,EGLL,VIDP
56,KEWR,VIDP
57,PANC,VHHH
58,ELLX,KATL
59,EDDF,VOMM
60,RPLL,OMDB
61,KLAX,YMML
62,SAEZ,LEMD
63,OTHH,YMML
64,FACT,EDDF
65,SPJC,LEMD
66,EGLL,KLAX
67,EDDF,VHHH
68,RPLL,OTHH
69,KIAD,OMDB
70,OTHH,WSSS
71,LFPG,RJTT
72,EGLL,KORD
73,OTHH,YSSY
74,RPLL,YBBN
75,FACT,OTHH
76,OMSJ,WSSS
77,KPHX,KBWI
78,VIDP,RJAA
79,LPPT,KEWR
80,SBGR,LEMD
81,EGLL,VHHH
82,EDDF,VOBL
83,EDDF,KATL
84,PANC,RJBB
85,KPHX,KBWI
86,EDDF,VIDP
